id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
26001;ES-LO;ES-RI;Ábalos;2021-03-15;32;43;0.26;2725.87;4616.23;0.41
26002;ES-LO;ES-RI;Agoncillo;2021-03-15;29;63;0.54;3023.81;11988.69;0.75
26003;ES-LO;ES-RI;Aguilar del Río Alhama;2021-03-15;77;78;0.01;5414.32;5502.59;0.02
26004;ES-LO;ES-RI;Ajamil;2021-03-15;11;11;0.00;1101.21;1101.21;0.00
26005;ES-LO;ES-RI;Albelda de Iregua;2021-03-15;40;103;0.61;6542.49;18330.23;0.64
26006;ES-LO;ES-RI;Alberite;2021-03-15;64;64;0.00;9310.90;9310.90;0.00
26007;ES-LO;ES-RI;Alcanadre;2021-03-15;75;103;0.27;4757.67;8724.04;0.45
26008;ES-LO;ES-RI;Aldeanueva de Ebro;2021-03-15;47;139;0.66;6981.92;25435.32;0.73
26009;ES-LO;ES-RI;Alesanco;2021-03-15;8;46;0.83;893.62;6661.83;0.87
26010;ES-LO;ES-RI;Alesón;2021-03-15;13;13;0.00;1268.77;1268.77;0.00
26011;ES-LO;ES-RI;Alfaro;2021-03-15;84;304;0.72;12940.38;42415.67;0.69
26012;ES-LO;ES-RI;Almarza de Cameros;2021-03-15;15;15;0.00;1403.42;1403.42;0.00
26013;ES-LO;ES-RI;Anguciana;2021-03-15;17;45;0.62;2101.11;6364.48;0.67
26014;ES-LO;ES-RI;Anguiano;2021-03-15;6;207;0.97;328.12;7224.21;0.95
26015;ES-LO;ES-RI;Arenzana de Abajo;2021-03-15;25;25;0.00;3302.25;3302.25;0.00
26016;ES-LO;ES-RI;Arenzana de Arriba;2021-03-15;9;9;0.00;1242.95;1242.95;0.00
26017;ES-LO;ES-RI;Arnedillo;2021-03-15;46;47;0.02;4697.65;5183.42;0.09
26018;ES-LO;ES-RI;Arnedo;2021-03-15;93;273;0.66;11124.78;33866.61;0.67
26019;ES-LO;ES-RI;Arrúbal;2021-03-15;43;78;0.45;9879.14;17304.24;0.43
26020;ES-LO;ES-RI;Ausejo;2021-03-15;70;70;0.00;10905.04;10905.04;0.00
26021;ES-LO;ES-RI;Autol;2021-03-15;66;104;0.37;7144.12;12225.93;0.42
26022;ES-LO;ES-RI;Azofra;2021-03-15;21;38;0.45;2316.51;4402.99;0.47
26023;ES-LO;ES-RI;Badarán;2021-03-15;36;36;0.00;5626.77;5626.77;0.00
26024;ES-LO;ES-RI;Bañares;2021-03-15;60;61;0.02;9745.02;9763.11;0.00
26025;ES-LO;ES-RI;Baños de Rioja;2021-03-15;16;16;0.00;1702.81;1702.81;0.00
26026;ES-LO;ES-RI;Baños de Río Tobía;2021-03-15;39;39;0.00;7554.40;7554.40;0.00
26027;ES-LO;ES-RI;Berceo;2021-03-15;18;18;0.00;2787.07;2787.07;0.00
26028;ES-LO;ES-RI;Bergasa;2021-03-15;16;16;0.00;1954.06;1954.06;0.00
26029;ES-LO;ES-RI;Bergasillas Bajera;2021-03-15;3;3;0.00;443.48;443.48;0.00
26030;ES-LO;ES-RI;Bezares;2021-03-15;10;10;0.00;1031.57;1031.57;0.00
26031;ES-LO;ES-RI;Bobadilla;2021-03-15;5;5;0.00;710.06;710.06;0.00
26032;ES-LO;ES-RI;Brieva de Cameros;2021-03-15;13;13;0.00;1396.48;1396.48;0.00
26033;ES-LO;ES-RI;Briñas;2021-03-15;27;40;0.33;1931.31;3674.44;0.47
26034;ES-LO;ES-RI;Briones;2021-03-15;42;71;0.41;7184.24;11842.55;0.39
26035;ES-LO;ES-RI;Cabezón de Cameros;2021-03-15;6;6;0.00;496.83;496.83;0.00
26036;ES-LO;ES-RI;Calahorra;2021-03-15;84;242;0.65;9432.81;40545.90;0.77
26037;ES-LO;ES-RI;Camprovín;2021-03-15;8;8;0.00;1395.07;1395.07;0.00
26038;ES-LO;ES-RI;Canales de la Sierra;2021-03-15;3;3;0.00;410.92;410.92;0.00
26039;ES-LO;ES-RI;Canillas de Río Tuerto;2021-03-15;13;13;0.00;2032.80;2032.80;0.00
