id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
31001,ES-NA,ES-NC,Abáigar,2021-03-15,4,21,0.81,222.43,1834.73,0.88
31002,ES-NA,ES-NC,Abárzuza,2021-03-15,44,54,0.19,4280.64,5023.42,0.15
31003,ES-NA,ES-NC,Abaurregaina/Abaurrea Alta,2021-03-15,0,22,1.00,0.00,3199.08,1.00
31004,ES-NA,ES-NC,Abaurrepea/Abaurrea Baja,2021-03-15,0,9,1.00,0.00,844.82,1.00
31005,ES-NA,ES-NC,Aberin,2021-03-15,15,15,0.00,2368.23,2368.23,0.00
31006,ES-NA,ES-NC,Ablitas,2021-03-15,68,76,0.11,12869.00,13943.07,0.08
31007,ES-NA,ES-NC,Adiós,2021-03-15,1,16,0.94,45.63,1930.13,0.98
31008,ES-NA,ES-NC,Aguilar de Codés,2021-03-15,1,12,0.92,29.36,2378.93,0.99
31009,ES-NA,ES-NC,Aibar/Oibar,2021-03-15,31,31,0.00,5165.56,5165.56,0.00
31010,ES-NA,ES-NC,Altsasu/Alsasua,2021-03-15,95,160,0.41,9134.17,18988.83,0.52
31011,ES-NA,ES-NC,Allín,2021-03-15,77,79,0.03,11029.11,11248.27,0.02
31012,ES-NA,ES-NC,Allo,2021-03-15,44,45,0.02,6354.09,6611.71,0.04
31013,ES-NA,ES-NC,Améscoa Baja,2021-03-15,69,94,0.27,7338.55,10787.56,0.32
31014,ES-NA,ES-NC,Ancín,2021-03-15,33,33,0.00,5689.31,5689.31,0.00
31015,ES-NA,ES-NC,Andosilla,2021-03-15,86,86,0.00,10611.40,10611.40,0.00
31016,ES-NA,ES-NC,Ansoáin,2021-03-15,11,57,0.81,1216.06,10410.84,0.88
31017,ES-NA,ES-NC,Anue,2021-03-15,20,20,0.00,2426.18,2426.18,0.00
31018,ES-NA,ES-NC,Añorbe,2021-03-15,18,18,0.00,3595.04,3595.04,0.00
31019,ES-NA,ES-NC,Aoiz/Agoitz,2021-03-15,12,61,0.80,1571.96,11950.52,0.87
31020,ES-NA,ES-NC,Araitz,2021-03-15,4,29,0.86,121.56,3227.71,0.96
31021,ES-NA,ES-NC,Aranarache,2021-03-15,0,13,1.00,0.00,1470.41,1.00
31022,ES-NA,ES-NC,Arantza,2021-03-15,27,29,0.07,1830.02,2296.72,0.20
31023,ES-NA,ES-NC,Aranguren,2021-03-15,62,374,0.83,4900.00,43472.32,0.89
31024,ES-NA,ES-NC,Arano,2021-03-15,0,10,1.00,0.00,703.76,1.00
31025,ES-NA,ES-NC,Arakil,2021-03-15,8,82,0.90,1104.63,10094.94,0.89
31026,ES-NA,ES-NC,Aras,2021-03-15,19,43,0.56,1751.26,3333.79,0.47
31027,ES-NA,ES-NC,Arbizu,2021-03-15,18,37,0.51,1693.53,4615.78,0.63
31028,ES-NA,ES-NC,Arce/Artzi,2021-03-15,38,56,0.32,3007.49,5439.93,0.45
31029,ES-NA,ES-NC,Los Arcos,2021-03-15,32,47,0.32,4087.94,5924.20,0.31
31030,ES-NA,ES-NC,Arellano,2021-03-15,17,17,0.00,2915.86,2915.86,0.00
31031,ES-NA,ES-NC,Areso,2021-03-15,2,31,0.94,1084.13,4117.99,0.74
31032,ES-NA,ES-NC,Arguedas,2021-03-15,82,129,0.36,7622.14,12907.74,0.41
31033,ES-NA,ES-NC,Aria,2021-03-15,0,11,1.00,0.00,978.30,1.00
31034,ES-NA,ES-NC,Aribe,2021-03-15,0,5,1.00,0.00,380.88,1.00
31035,ES-NA,ES-NC,Armañanzas,2021-03-15,12,12,0.00,1300.56,1300.56,0.00
31036,ES-NA,ES-NC,Arróniz,2021-03-15,47,47,0.00,6745.72,6745.72,0.00
31037,ES-NA,ES-NC,Arruazu,2021-03-15,0,11,1.00,0.00,879.93,1.00
31038,ES-NA,ES-NC,Artajona,2021-03-15,56,60,0.07,8689.39,9958.88,0.13
31039,ES-NA,ES-NC,Artazu,2021-03-15,8,8,0.00,1001.35,1001.35,0.00
31040,ES-NA,ES-NC,Atez,2021-03-15,15,15,0.00,2515.92,2515.92,0.00
31041,ES-NA,ES-NC,Ayegui,2021-03-15,57,108,0.47,15722.84,20504.90,0.23
31042,ES-NA,ES-NC,Azagra,2021-03-15,68,77,0.12,11359.57,13557.19,0.16
31043,ES-NA,ES-NC,Azuelo,2021-03-15,0,13,1.00,0.00,1059.26,1.00
31044,ES-NA,ES-NC,Bakaiku,2021-03-15,3,31,0.90,76.33,2722.37,0.97
31045,ES-NA,ES-NC,Barásoain,2021-03-15,34,34,0.00,5209.24,5209.24,0.00
31046,ES-NA,ES-NC,Barbarin,2021-03-15,8,8,0.00,1338.69,1338.69,0.00
31047,ES-NA,ES-NC,Bargota,2021-03-15,25,25,0.00,3786.29,3786.29,0.00
31048,ES-NA,ES-NC,Barillas,2021-03-15,15,22,0.32,1175.07,3209.65,0.63
31049,ES-NA,ES-NC,Basaburúa Mayor,2021-03-15,6,97,0.94,1426.49,10529.87,0.86
31050,ES-NA,ES-NC,Baztan,2021-03-15,209,262,0.20,25045.68,36423.50,0.31
31051,ES-NA,ES-NC,Beire,2021-03-15,22,28,0.21,2396.49,3719.11,0.36
31052,ES-NA,ES-NC,Belascoáin,2021-03-15,7,16,0.56,540.51,1995.76,0.73
31053,ES-NA,ES-NC,Berbinzana,2021-03-15,0,35,1.00,0.00,4757.27,1.00
31054,ES-NA,ES-NC,Bertizarana,2021-03-15,3,26,0.88,496.60,2951.84,0.83
31055,ES-NA,ES-NC,Betelu,2021-03-15,0,23,1.00,0.00,2876.35,1.00
31056,ES-NA,ES-NC,Biurrun-Olcoz,2021-03-15,33,41,0.20,4573.21,5680.23,0.19
31057,ES-NA,ES-NC,Buñuel,2021-03-15,15,81,0.81,1239.41,18074.95,0.93
31058,ES-NA,ES-NC,Auritz/Burguete,2021-03-15,4,18,0.78,192.69,2431.31,0.92
31059,ES-NA,ES-NC,Burgui/Burgi,2021-03-15,6,15,0.60,624.06,2329.84,0.73
31060,ES-NA,ES-NC,Burlada/Burlata,2021-03-15,24,181,0.87,2117.93,20125.25,0.89
31061,ES-NA,ES-NC,El Busto,2021-03-15,11,11,0.00,1682.79,1682.79,0.00
31062,ES-NA,ES-NC,Cabanillas,2021-03-15,4,28,0.86,623.86,8840.48,0.93
31063,ES-NA,ES-NC,Cabredo,2021-03-15,0,0,1,0.00,0.00,1
31064,ES-NA,ES-NC,Cadreita,2021-03-15,50,50,0.00,11210.76,11210.76,0.00
31065,ES-NA,ES-NC,Caparroso,2021-03-15,63,66,0.05,10491.57,11046.62,0.05
31066,ES-NA,ES-NC,Cárcar,2021-03-15,25,25,0.00,6023.79,6023.79,0.00
31067,ES-NA,ES-NC,Carcastillo,2021-03-15,68,107,0.36,9959.20,17162.77,0.42
31068,ES-NA,ES-NC,Cascante,2021-03-15,19,115,0.83,1994.73,14781.24,0.87
31069,ES-NA,ES-NC,Cáseda,2021-03-15,31,33,0.06,8154.21,8470.81,0.04
31070,ES-NA,ES-NC,Castejón,2021-03-15,16,84,0.81,3387.03,22382.13,0.85
31071,ES-NA,ES-NC,Castillonuevo,2021-03-15,1,6,0.83,49.30,514.97,0.90
31072,ES-NA,ES-NC,Cintruénigo,2021-03-15,13,185,0.93,1759.18,41967.64,0.96
31073,ES-NA,ES-NC,Ziordia,2021-03-15,3,26,0.88,435.48,3279.01,0.87
31074,ES-NA,ES-NC,Cirauqui,2021-03-15,50,58,0.14,4630.04,5386.64,0.14
31075,ES-NA,ES-NC,Ciriza,2021-03-15,10,10,0.00,1613.89,1613.89,0.00
31076,ES-NA,ES-NC,Cizur,2021-03-15,18,215,0.92,1439.67,24637.03,0.94
31077,ES-NA,ES-NC,Corella,2021-03-15,103,179,0.42,16978.37,30323.17,0.44
31078,ES-NA,ES-NC,Cortes,2021-03-15,65,98,0.34,10248.56,15266.23,0.33
31079,ES-NA,ES-NC,Desojo,2021-03-15,10,10,0.00,1819.63,1819.63,0.00
31080,ES-NA,ES-NC,Dicastillo,2021-03-15,21,21,0.00,3225.76,3225.76,0.00
31081,ES-NA,ES-NC,Donamaria,2021-03-15,7,7,0.00,1108.71,1108.71,0.00
31082,ES-NA,ES-NC,Etxalar,2021-03-15,12,24,0.50,1010.59,2807.87,0.64
31083,ES-NA,ES-NC,Echarri/Etxarri,2021-03-15,5,5,0.00,685.60,685.60,0.00
31084,ES-NA,ES-NC,Etxarri-Aranatz,2021-03-15,27,119,0.77,2898.36,12999.83,0.78
31085,ES-NA,ES-NC,Etxauri,2021-03-15,35,44,0.20,3784.09,5414.54,0.30
31086,ES-NA,ES-NC,Egüés,2021-03-15,171,413,0.59,14357.36,66872.09,0.79
31087,ES-NA,ES-NC,Elgorriaga,2021-03-15,2,2,0.00,237.03,237.03,0.00
31088,ES-NA,ES-NC,Noáin (Valle de Elorz),2021-03-15,140,162,0.14,22507.45,27228.30,0.17
31089,ES-NA,ES-NC,Enériz/Eneritz,2021-03-15,22,36,0.39,1781.24,4018.70,0.56
31090,ES-NA,ES-NC,Eratsun,2021-03-15,0,5,1.00,0.00,916.25,1.00
31091,ES-NA,ES-NC,Ergoiena,2021-03-15,6,55,0.89,905.28,6285.15,0.86
31092,ES-NA,ES-NC,Erro,2021-03-15,12,112,0.89,1863.90,14403.18,0.87
31093,ES-NA,ES-NC,Ezcároz/Ezkaroze,2021-03-15,6,19,0.68,371.22,1878.96,0.80
31094,ES-NA,ES-NC,Eslava,2021-03-15,14,14,0.00,1893.48,1893.48,0.00
31095,ES-NA,ES-NC,Esparza de Salazar,2021-03-15,2,16,0.88,139.62,2003.65,0.93
31096,ES-NA,ES-NC,Espronceda,2021-03-15,22,22,0.00,2025.28,2025.28,0.00
31097,ES-NA,ES-NC,Estella/Lizarra,2021-03-15,147,206,0.29,20403.75,29228.27,0.30
31098,ES-NA,ES-NC,Esteribar,2021-03-15,10,195,0.95,681.28,21406.84,0.97
31099,ES-NA,ES-NC,Etayo,2021-03-15,7,7,0.00,1440.33,1440.33,0.00
31100,ES-NA,ES-NC,Eulate,2021-03-15,0,32,1.00,0.00,4357.38,1.00
31101,ES-NA,ES-NC,Ezcabarte,2021-03-15,18,148,0.88,1117.68,15507.29,0.93
31102,ES-NA,ES-NC,Ezkurra,2021-03-15,6,13,0.54,442.21,1777.07,0.75
31103,ES-NA,ES-NC,Ezprogui,2021-03-15,4,4,0.00,486.81,486.81,0.00
31104,ES-NA,ES-NC,Falces,2021-03-15,49,126,0.61,5226.49,12591.06,0.58
31105,ES-NA,ES-NC,Fitero,2021-03-15,14,79,0.82,2778.63,11583.50,0.76
31106,ES-NA,ES-NC,Fontellas,2021-03-15,5,40,0.88,460.49,7723.43,0.94
31107,ES-NA,ES-NC,Funes,2021-03-15,112,114,0.02,14579.95,14826.89,0.02
31108,ES-NA,ES-NC,Fustiñana,2021-03-15,43,58,0.26,9852.88,15148.08,0.35
31109,ES-NA,ES-NC,Galar,2021-03-15,40,147,0.73,6482.12,20663.57,0.69
31110,ES-NA,ES-NC,Gallipienzo,2021-03-15,19,22,0.14,2840.15,3052.99,0.07
31111,ES-NA,ES-NC,Gallués/Galoze,2021-03-15,9,19,0.53,616.56,1885.82,0.67
31112,ES-NA,ES-NC,Garaioa,2021-03-15,2,16,0.88,225.98,2414.25,0.91
31113,ES-NA,ES-NC,Garde,2021-03-15,2,23,0.91,201.54,1769.93,0.89
31114,ES-NA,ES-NC,Garínoain,2021-03-15,25,25,0.00,3527.54,3527.54,0.00
31115,ES-NA,ES-NC,Garralda,2021-03-15,3,27,0.89,82.33,3422.18,0.98
31116,ES-NA,ES-NC,Genevilla,2021-03-15,2,15,0.87,95.01,1959.76,0.95
31117,ES-NA,ES-NC,Goizueta,2021-03-15,3,23,0.87,134.36,2598.64,0.95
31118,ES-NA,ES-NC,Goñi,2021-03-15,51,51,0.00,5462.00,5462.00,0.00
31119,ES-NA,ES-NC,Güesa/Gorza,2021-03-15,0,10,1.00,0.00,904.17,1.00
31120,ES-NA,ES-NC,Guesálaz,2021-03-15,79,84,0.06,8434.80,9167.73,0.08
31121,ES-NA,ES-NC,Guirguillano/Girgillao,2021-03-15,18,18,0.00,1487.21,1487.21,0.00
31122,ES-NA,ES-NC,Huarte/Uharte,2021-03-15,142,192,0.26,9566.07,15990.50,0.40
31123,ES-NA,ES-NC,Uharte-Arakil,2021-03-15,0,53,1.00,0.00,5260.48,1.00
31124,ES-NA,ES-NC,Ibargoiti,2021-03-15,23,35,0.34,3407.42,4700.66,0.28
31125,ES-NA,ES-NC,Igúzquiza,2021-03-15,32,41,0.22,2845.98,3602.60,0.21
31126,ES-NA,ES-NC,Imotz,2021-03-15,36,44,0.18,4401.08,5348.82,0.18
31127,ES-NA,ES-NC,Irañeta,2021-03-15,4,15,0.73,383.27,2642.66,0.85
31128,ES-NA,ES-NC,Isaba/Izaba,2021-03-15,4,29,0.86,99.17,3050.03,0.97
31129,ES-NA,ES-NC,Ituren,2021-03-15,22,31,0.29,1944.21,3122.32,0.38
31130,ES-NA,ES-NC,Iturmendi,2021-03-15,15,43,0.65,1475.93,4007.54,0.63
31131,ES-NA,ES-NC,Iza,2021-03-15,23,139,0.83,893.50,18270.75,0.95
31132,ES-NA,ES-NC,Izagaondoa,2021-03-15,33,34,0.03,3708.24,4058.10,0.09
31133,ES-NA,ES-NC,Izalzu/Itzaltzu,2021-03-15,0,7,1.00,0.00,431.90,1.00
31134,ES-NA,ES-NC,Jaurrieta,2021-03-15,3,25,0.88,176.20,2357.71,0.93
31135,ES-NA,ES-NC,Javier,2021-03-15,2,8,0.75,150.27,971.92,0.85
31136,ES-NA,ES-NC,Juslapeña,2021-03-15,45,48,0.06,5751.52,6052.24,0.05
31137,ES-NA,ES-NC,Beintza-Labaien,2021-03-15,29,32,0.09,3589.18,3896.46,0.08
31138,ES-NA,ES-NC,Lakuntza,2021-03-15,32,32,0.00,5375.41,5375.41,0.00
31139,ES-NA,ES-NC,Lana,2021-03-15,35,35,0.00,3803.95,3803.95,0.00
31140,ES-NA,ES-NC,Lantz,2021-03-15,1,10,0.90,24.11,1556.45,0.98
31141,ES-NA,ES-NC,Lapoblación,2021-03-15,2,37,0.95,123.91,4807.41,0.97
31142,ES-NA,ES-NC,Larraga,2021-03-15,80,137,0.42,5893.96,12958.48,0.55
31143,ES-NA,ES-NC,Larraona,2021-03-15,0,22,1.00,0.00,2247.13,1.00
31144,ES-NA,ES-NC,Larraun,2021-03-15,132,134,0.01,12617.37,13457.89,0.06
31145,ES-NA,ES-NC,Lazagurría,2021-03-15,4,4,0.00,418.70,418.70,0.00
31146,ES-NA,ES-NC,Leatxe/Leache,2021-03-15,8,8,0.00,1230.85,1230.85,0.00
31147,ES-NA,ES-NC,Legarda,2021-03-15,0,14,1.00,0.00,1480.28,1.00
31148,ES-NA,ES-NC,Legaria,2021-03-15,29,29,0.00,2948.67,2948.67,0.00
31149,ES-NA,ES-NC,Leitza,2021-03-15,66,66,0.00,6482.02,6482.02,0.00
31150,ES-NA,ES-NC,Leoz,2021-03-15,49,49,0.00,4597.69,4597.69,0.00
31151,ES-NA,ES-NC,Lerga,2021-03-15,9,9,0.00,809.05,809.05,0.00
31152,ES-NA,ES-NC,Lerín,2021-03-15,25,61,0.59,3876.55,10079.88,0.62
31153,ES-NA,ES-NC,Lesaka,2021-03-15,27,44,0.39,2591.53,5805.54,0.55
31154,ES-NA,ES-NC,Lezaun,2021-03-15,17,18,0.06,2557.55,3137.77,0.18
