id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
36001,ES-PO,ES-GA,Arbo,2021-03-15,388,389,0.00,63192.79,63282.55,0.00
36002,ES-PO,ES-GA,Barro,2021-03-15,85,85,0.00,26880.86,26880.86,0.00
36003,ES-PO,ES-GA,Baiona,2021-03-15,148,364,0.59,21606.03,58836.94,0.63
36004,ES-PO,ES-GA,Bueu,2021-03-15,201,257,0.22,52888.52,66185.57,0.20
36005,ES-PO,ES-GA,Caldas de Reis,2021-03-15,174,208,0.16,41864.40,47119.52,0.11
36006,ES-PO,ES-GA,Cambados,2021-03-15,319,377,0.15,71176.74,82878.59,0.14
36007,ES-PO,ES-GA,Campo Lameiro,2021-03-15,169,169,0.00,27843.28,27843.28,0.00
36008,ES-PO,ES-GA,Cangas,2021-03-15,316,547,0.42,65638.89,108874.44,0.40
36009,ES-PO,ES-GA,A Cañiza,2021-03-15,424,452,0.06,62290.32,66261.69,0.06
36010,ES-PO,ES-GA,Catoira,2021-03-15,88,88,0.00,20579.92,20579.92,0.00
36011,ES-PO,ES-GA,Cerdedo,2021-03-15,205,218,0.06,24705.82,26596.01,0.07
36012,ES-PO,ES-GA,Cotobade,2021-03-15,350,351,0.00,54978.71,55470.57,0.01
36013,ES-PO,ES-GA,Covelo,2021-03-15,466,472,0.01,79465.34,80353.36,0.01
36014,ES-PO,ES-GA,Crecente,2021-03-15,292,292,0.00,54827.34,54827.34,0.00
36015,ES-PO,ES-GA,Cuntis,2021-03-15,79,90,0.12,24764.05,25774.45,0.04
36016,ES-PO,ES-GA,Dozón,2021-03-15,99,99,0.00,16048.94,16048.94,0.00
36017,ES-PO,ES-GA,A Estrada,2021-03-15,116,183,0.37,17983.83,32267.43,0.44
36018,ES-PO,ES-GA,Forcarei,2021-03-15,301,321,0.06,37113.76,39821.78,0.07
36019,ES-PO,ES-GA,Fornelos de Montes,2021-03-15,121,126,0.04,19453.47,19865.23,0.02
36020,ES-PO,ES-GA,Agolada,2021-03-15,325,341,0.05,38606.94,40000.61,0.03
36021,ES-PO,ES-GA,Gondomar,2021-03-15,207,216,0.04,44909.54,47631.65,0.06
36022,ES-PO,ES-GA,O Grove,2021-03-15,234,332,0.30,34360.89,50842.25,0.32
36023,ES-PO,ES-GA,A Guarda,2021-03-15,173,312,0.45,26572.82,48598.87,0.45
36024,ES-PO,ES-GA,Lalín,2021-03-15,687,830,0.17,98755.98,120389.81,0.18
36025,ES-PO,ES-GA,A Lama,2021-03-15,211,212,0.00,32299.70,32402.00,0.00
36026,ES-PO,ES-GA,Marín,2021-03-15,291,335,0.13,78753.91,86711.81,0.09
36027,ES-PO,ES-GA,Meaño,2021-03-15,151,151,0.00,35610.77,35610.77,0.00
36028,ES-PO,ES-GA,Meis,2021-03-15,245,245,0.00,57958.41,57958.41,0.00
36029,ES-PO,ES-GA,Moaña,2021-03-15,270,310,0.13,76748.09,85803.63,0.11
36030,ES-PO,ES-GA,Mondariz,2021-03-15,534,553,0.03,86246.06,89271.00,0.03
