id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
25001;ES-L;ES-CT;Abella de la Conca;2019-11-01;5;16;0.69;66.32;1282.86;0.95
25002;ES-L;ES-CT;Àger;2019-11-01;10;106;0.91;482.52;11730.38;0.96
25003;ES-L;ES-CT;Agramunt;2019-11-01;62;255;0.76;3718.08;31905.69;0.88
25004;ES-L;ES-CT;els Alamús;2019-11-01;5;37;0.86;305.99;4542.57;0.93
25005;ES-L;ES-CT;Alàs i Cerc;2019-11-01;5;64;0.92;190.85;5032.16;0.96
25006;ES-L;ES-CT;l'Albagés;2019-11-01;12;30;0.60;1211.69;3401.20;0.64
25007;ES-L;ES-CT;Albatàrrec;2019-11-01;15;51;0.71;733.94;9445.51;0.92
25008;ES-L;ES-CT;Albesa;2019-11-01;14;66;0.79;2126.26;10519.64;0.80
25009;ES-L;ES-CT;l'Albi;2019-11-01;19;76;0.75;955.85;8198.67;0.88
25010;ES-L;ES-CT;Alcanó;2019-11-01;11;27;0.59;802.37;2492.47;0.68
25011;ES-L;ES-CT;Alcarràs;2019-11-01;10;166;0.94;1615.46;30427.73;0.95
25012;ES-L;ES-CT;Alcoletge;2019-11-01;44;120;0.63;4473.07;18270.46;0.76
25013;ES-L;ES-CT;Alfarràs;2019-11-01;1;97;0.99;29.09;11714.57;1.00
25014;ES-L;ES-CT;Alfés;2019-11-01;2;27;0.93;88.49;2743.62;0.97
25015;ES-L;ES-CT;Algerri;2019-11-01;6;37;0.84;234.40;4371.30;0.95
25016;ES-L;ES-CT;Alguaire;2019-11-01;66;137;0.52;7234.29;19999.18;0.64
25017;ES-L;ES-CT;Alins;2019-11-01;1;52;0.98;11.29;4433.12;1.00
25019;ES-L;ES-CT;Almacelles;2019-11-01;7;128;0.95;969.13;30931.31;0.97
25020;ES-L;ES-CT;Almatret;2019-11-01;5;24;0.79;1297.34;3399.70;0.62
25021;ES-L;ES-CT;Almenar;2019-11-01;18;126;0.86;2197.46;16975.18;0.87
25022;ES-L;ES-CT;Alòs de Balaguer;2019-11-01;4;19;0.79;92.21;1906.79;0.95
25023;ES-L;ES-CT;Alpicat;2019-11-01;33;187;0.82;3654.75;34274.86;0.89
25024;ES-L;ES-CT;Alt Àneu;2019-11-01;25;138;0.82;1747.66;7831.23;0.78
25025;ES-L;ES-CT;Naut Aran;2019-11-01;22;280;0.92;861.05;25398.82;0.97
