id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
37001;ES-SA;ES-CL;Abusejo;2019-11-01;0;58;1.00;0.00;6367.00;1.00
37002;ES-SA;ES-CL;Agallas;2019-11-01;0;74;1.00;0.00;4867.26;1.00
37003;ES-SA;ES-CL;Ahigal de los Aceiteros;2019-11-01;0;33;1.00;0.00;3365.16;1.00
37004;ES-SA;ES-CL;Ahigal de Villarino;2019-11-01;0;20;1.00;0.00;1973.74;1.00
37005;ES-SA;ES-CL;La Alameda de Gardón;2019-11-01;0;43;1.00;0.00;3408.87;1.00
37006;ES-SA;ES-CL;La Alamedilla;2019-11-01;0;31;1.00;0.00;1869.73;1.00
37007;ES-SA;ES-CL;Alaraz;2019-11-01;0;74;1.00;0.00;9346.97;1.00
37008;ES-SA;ES-CL;Alba de Tormes;2019-11-01;5;261;0.98;748.45;26461.77;0.97
37009;ES-SA;ES-CL;Alba de Yeltes;2019-11-01;0;47;1.00;0.00;3291.25;1.00
37010;ES-SA;ES-CL;La Alberca;2019-11-01;3;125;0.98;82.00;12160.52;0.99
37011;ES-SA;ES-CL;La Alberguería de Argañán;2019-11-01;0;60;1.00;0.00;5862.20;1.00
37012;ES-SA;ES-CL;Alconada;2019-11-01;0;39;1.00;0.00;3018.99;1.00
37013;ES-SA;ES-CL;Aldeacipreste;2019-11-01;1;59;0.98;32.67;3727.29;0.99
37014;ES-SA;ES-CL;Aldeadávila de la Ribera;2019-11-01;0;156;1.00;0.00;16972.20;1.00
37015;ES-SA;ES-CL;Aldea del Obispo;2019-11-01;0;87;1.00;0.00;7490.02;1.00
37016;ES-SA;ES-CL;Aldealengua;2019-11-01;0;49;1.00;0.00;5325.77;1.00
37017;ES-SA;ES-CL;Aldeanueva de Figueroa;2019-11-01;0;74;1.00;0.00;6041.73;1.00
37018;ES-SA;ES-CL;Aldeanueva de la Sierra;2019-11-01;0;25;1.00;0.00;2275.36;1.00
37019;ES-SA;ES-CL;Aldearrodrigo;2019-11-01;0;13;1.00;0.00;2220.64;1.00
37020;ES-SA;ES-CL;Aldearrubia;2019-11-01;0;73;1.00;0.00;7196.11;1.00
37021;ES-SA;ES-CL;Aldeaseca de Alba;2019-11-01;0;44;1.00;0.00;3157.60;1.00
37022;ES-SA;ES-CL;Aldeaseca de la Frontera;2019-11-01;0;55;1.00;0.00;4557.81;1.00
37023;ES-SA;ES-CL;Aldeatejada;2019-11-01;0;121;1.00;0.00;18896.95;1.00
37024;ES-SA;ES-CL;Aldeavieja de Tormes;2019-11-01;0;30;1.00;0.00;2984.38;1.00
37025;ES-SA;ES-CL;Aldehuela de la Bóveda;2019-11-01;2;49;0.96;230.89;3355.24;0.93
37026;ES-SA;ES-CL;Aldehuela de Yeltes;2019-11-01;0;23;1.00;0.00;2888.82;1.00
37027;ES-SA;ES-CL;Almenara de Tormes;2019-11-01;0;44;1.00;0.00;3641.93;1.00
37028;ES-SA;ES-CL;Almendra;2019-11-01;0;46;1.00;0.00;4717.48;1.00
37029;ES-SA;ES-CL;Anaya de Alba;2019-11-01;0;65;1.00;0.00;5898.75;1.00
37030;ES-SA;ES-CL;Añover de Tormes;2019-11-01;0;41;1.00;0.00;3142.19;1.00
37031;ES-SA;ES-CL;Arabayona de Mógica;2019-11-01;0;92;1.00;0.00;7128.80;1.00
37032;ES-SA;ES-CL;Arapiles;2019-11-01;0;86;1.00;0.00;6989.92;1.00
37033;ES-SA;ES-CL;Arcediano;2019-11-01;0;29;1.00;0.00;2442.27;1.00
37034;ES-SA;ES-CL;El Arco;2019-11-01;0;9;1.00;0.00;892.18;1.00
37035;ES-SA;ES-CL;Armenteros;2019-11-01;0;78;1.00;0.00;6107.27;1.00
37036;ES-SA;ES-CL;San Miguel del Robledo;2019-11-01;0;18;1.00;0.00;1953.43;1.00
37037;ES-SA;ES-CL;La Atalaya;2019-11-01;0;39;1.00;0.00;3675.45;1.00
37038;ES-SA;ES-CL;Babilafuente;2019-11-01;0;92;1.00;0.00;11442.64;1.00
37039;ES-SA;ES-CL;Bañobárez;2019-11-01;0;53;1.00;0.00;6706.92;1.00
37040;ES-SA;ES-CL;Barbadillo;2019-11-01;0;67;1.00;0.00;5117.90;1.00
37041;ES-SA;ES-CL;Barbalos;2019-11-01;0;33;1.00;0.00;2810.87;1.00
37042;ES-SA;ES-CL;Barceo;2019-11-01;0;29;1.00;0.00;2828.35;1.00
37044;ES-SA;ES-CL;Barruecopardo;2019-11-01;0;82;1.00;0.00;7454.37;1.00
37045;ES-SA;ES-CL;La Bastida;2019-11-01;0;17;1.00;0.00;1086.98;1.00
37046;ES-SA;ES-CL;Béjar;2019-11-01;2;241;0.99;195.95;33722.63;0.99
37047;ES-SA;ES-CL;Beleña;2019-11-01;0;23;1.00;0.00;2413.85;1.00
37049;ES-SA;ES-CL;Bermellar;2019-11-01;0;44;1.00;0.00;3914.02;1.00
37050;ES-SA;ES-CL;Berrocal de Huebra;2019-11-01;0;27;1.00;0.00;2518.30;1.00
37051;ES-SA;ES-CL;Berrocal de Salvatierra;2019-11-01;0;32;1.00;0.00;3251.32;1.00
37052;ES-SA;ES-CL;Boada;2019-11-01;0;69;1.00;0.00;5475.72;1.00
37054;ES-SA;ES-CL;El Bodón;2019-11-01;0;58;1.00;0.00;5725.67;1.00
37055;ES-SA;ES-CL;Bogajo;2019-11-01;0;36;1.00;0.00;3903.80;1.00
37056;ES-SA;ES-CL;La Bouza;2019-11-01;0;35;1.00;0.00;2476.40;1.00
37057;ES-SA;ES-CL;Bóveda del Río Almar;2019-11-01;0;59;1.00;0.00;5846.95;1.00
37058;ES-SA;ES-CL;Brincones;2019-11-01;0;22;1.00;0.00;2416.62;1.00
37059;ES-SA;ES-CL;Buenamadre;2019-11-01;0;35;1.00;0.00;3729.47;1.00
37060;ES-SA;ES-CL;Buenavista;2019-11-01;0;130;1.00;0.00;14904.79;1.00
37061;ES-SA;ES-CL;El Cabaco;2019-11-01;1;45;0.98;231.04;3063.58;0.92
37062;ES-SA;ES-CL;Cabezabellosa de la Calzada;2019-11-01;0;26;1.00;0.00;2120.36;1.00
37063;ES-SA;ES-CL;La Cabeza de Béjar;2019-11-01;0;33;1.00;0.00;3072.56;1.00
37065;ES-SA;ES-CL;Cabeza del Caballo;2019-11-01;0;92;1.00;0.00;8113.52;1.00
37067;ES-SA;ES-CL;Cabrerizos;2019-11-01;0;151;1.00;0.00;21869.24;1.00
37068;ES-SA;ES-CL;Cabrillas;2019-11-01;0;57;1.00;0.00;6874.28;1.00
37069;ES-SA;ES-CL;Calvarrasa de Abajo;2019-11-01;0;137;1.00;0.00;15530.40;1.00
37070;ES-SA;ES-CL;Calvarrasa de Arriba;2019-11-01;0;71;1.00;0.00;8522.11;1.00
37071;ES-SA;ES-CL;La Calzada de Béjar;2019-11-01;0;35;1.00;0.00;2420.18;1.00
37072;ES-SA;ES-CL;Calzada de Don Diego;2019-11-01;0;59;1.00;0.00;3682.06;1.00
37073;ES-SA;ES-CL;Calzada de Valdunciel;2019-11-01;0;83;1.00;0.00;8003.47;1.00
37074;ES-SA;ES-CL;Campillo de Azaba;2019-11-01;0;43;1.00;0.00;3240.35;1.00
37077;ES-SA;ES-CL;El Campo de Peñaranda;2019-11-01;0;36;1.00;0.00;4107.06;1.00
37078;ES-SA;ES-CL;Candelario;2019-11-01;0;103;1.00;0.00;7554.47;1.00
37079;ES-SA;ES-CL;Canillas de Abajo;2019-11-01;0;38;1.00;0.00;2352.33;1.00
37080;ES-SA;ES-CL;Cantagallo;2019-11-01;0;36;1.00;0.00;3846.82;1.00
37081;ES-SA;ES-CL;Cantalapiedra;2019-11-01;0;74;1.00;0.00;8667.29;1.00
