id,ES-A,ES-VC,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
03001,ES-A,ES-VC,l'Atzúbia,2020-01-01,2,23,0.91,100.11,4176.81,0.98
03002,ES-A,ES-VC,Agost,2020-01-01,11,104,0.89,855.86,17506.53,0.95
03003,ES-A,ES-VC,Agres,2020-01-01,1,20,0.95,17.36,1851.65,0.99
03004,ES-A,ES-VC,Aigües,2020-01-01,12,61,0.80,2088.92,10158.00,0.79
03005,ES-A,ES-VC,Albatera,2020-01-01,70,241,0.71,17367.54,52704.75,0.67
03006,ES-A,ES-VC,Alcalalí,2020-01-01,64,97,0.34,12186.93,14795.10,0.18
03007,ES-A,ES-VC,Alcocer de Planes,2020-01-01,6,7,0.14,821.60,953.65,0.14
03008,ES-A,ES-VC,Alcoleja,2020-01-01,2,12,0.83,96.41,1139.81,0.92
03009,ES-A,ES-VC,Alcoi / Alcoy,2020-01-01,140,763,0.82,16396.59,121419.91,0.86
03010,ES-A,ES-VC,Alfafara,2020-01-01,3,12,0.75,138.74,2242.11,0.94
03011,ES-A,ES-VC,l'Alfàs del Pi,2020-01-01,209,682,0.69,33719.92,118966.48,0.72
03012,ES-A,ES-VC,Algorfa,2020-01-01,6,230,0.97,1136.69,44826.30,0.97
03013,ES-A,ES-VC,Algueña,2020-01-01,5,145,0.97,476.74,17120.40,0.97
03014,ES-A,ES-VC,Alacant / Alicante,2020-01-01,459,3326,0.86,47475.16,547607.61,0.91
03015,ES-A,ES-VC,Almoradí,2020-01-01,68,380,0.82,8867.29,70097.08,0.87
03016,ES-A,ES-VC,Almudaina,2020-01-01,4,18,0.78,88.59,1294.81,0.93
03017,ES-A,ES-VC,l'Alqueria d'Asnar,2020-01-01,11,32,0.66,644.09,3320.19,0.81
03018,ES-A,ES-VC,Altea,2020-01-01,420,636,0.34,107254.95,150901.63,0.29
03019,ES-A,ES-VC,Aspe,2020-01-01,45,427,0.89,5288.81,81485.18,0.94
03020,ES-A,ES-VC,Balones,2020-01-01,5,25,0.80,288.13,1537.12,0.81
03021,ES-A,ES-VC,Banyeres de Mariola,2020-01-01,85,248,0.66,13781.77,39309.02,0.65
03022,ES-A,ES-VC,Benasau,2020-01-01,0,10,1.00,0.00,1956.27,1.00
03023,ES-A,ES-VC,Beneixama,2020-01-01,10,55,0.82,838.76,13824.35,0.94
03024,ES-A,ES-VC,Benejúzar,2020-01-01,7,160,0.96,662.94,28027.71,0.98
03025,ES-A,ES-VC,Benferri,2020-01-01,10,142,0.93,1359.90,20357.18,0.93
03026,ES-A,ES-VC,Beniarbeig,2020-01-01,23,104,0.78,1840.54,13038.62,0.86
03027,ES-A,ES-VC,Beniardá,2020-01-01,3,7,0.57,199.23,454.64,0.56
03028,ES-A,ES-VC,Beniarrés,2020-01-01,23,38,0.39,1778.22,3149.79,0.44
03029,ES-A,ES-VC,Benigembla,2020-01-01,6,30,0.80,354.87,3271.15,0.89
03030,ES-A,ES-VC,Benidoleig,2020-01-01,34,61,0.44,6177.35,11673.81,0.47
03031,ES-A,ES-VC,Benidorm,2020-01-01,309,919,0.66,40277.23,152208.14,0.74
03032,ES-A,ES-VC,Benifallim,2020-01-01,2,20,0.90,414.71,1499.03,0.72
03033,ES-A,ES-VC,Benifato,2020-01-01,1,4,0.75,7.17,178.31,0.96
03034,ES-A,ES-VC,Benijófar,2020-01-01,24,171,0.86,4209.78,31278.34,0.87
03035,ES-A,ES-VC,Benilloba,2020-01-01,0,43,1.00,0.00,4376.48,1.00
03036,ES-A,ES-VC,Benillup,2020-01-01,0,6,1.00,0.00,665.75,1.00
03037,ES-A,ES-VC,Benimantell,2020-01-01,1,4,0.75,60.65,399.78,0.85
03038,ES-A,ES-VC,Benimarfull,2020-01-01,10,33,0.70,493.60,3598.23,0.86
03039,ES-A,ES-VC,Benimassot,2020-01-01,11,13,0.15,610.44,903.11,0.32
03040,ES-A,ES-VC,Benimeli,2020-01-01,7,19,0.63,370.99,1432.25,0.74
03041,ES-A,ES-VC,Benissa,2020-01-01,282,548,0.49,68992.16,128880.67,0.46
03042,ES-A,ES-VC,el Poble Nou de Benitatxell / Benitachell,2020-01-01,219,297,0.26,51284.11,72058.56,0.29
03043,ES-A,ES-VC,Biar,2020-01-01,18,167,0.89,2555.35,22034.17,0.88
03044,ES-A,ES-VC,Bigastro,2020-01-01,28,215,0.87,2932.81,27878.90,0.89
03045,ES-A,ES-VC,Bolulla,2020-01-01,1,15,0.93,33.14,1001.27,0.97
03046,ES-A,ES-VC,Busot,2020-01-01,44,155,0.72,6127.42,42141.68,0.85
03047,ES-A,ES-VC,Calp,2020-01-01,404,837,0.52,79256.48,172768.82,0.54
03048,ES-A,ES-VC,Callosa d'en Sarrià,2020-01-01,43,135,0.68,15872.96,24607.04,0.35
03049,ES-A,ES-VC,Callosa de Segura,2020-01-01,117,519,0.77,21761.58,76398.38,0.72
03050,ES-A,ES-VC,el Campello,2020-01-01,127,648,0.80,13552.79,121135.75,0.89
03051,ES-A,ES-VC,el Camp de Mirra / Campo de Mirra,2020-01-01,13,33,0.61,2072.86,5432.16,0.62
