id,ES-AL,ES-AN,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
04001,ES-AL,ES-AN,Abla,2020-01-01,27,148,0.82,881.30,10597.66,0.92
04002,ES-AL,ES-AN,Abrucena,2020-01-01,13,90,0.86,544.17,8019.21,0.93
04003,ES-AL,ES-AN,Adra,2020-01-01,39,627,0.94,4654.84,81451.10,0.94
04004,ES-AL,ES-AN,Albánchez,2020-01-01,18,61,0.70,4138.45,7873.95,0.47
04005,ES-AL,ES-AN,Alboloduy,2020-01-01,7,68,0.90,346.76,5632.12,0.94
04006,ES-AL,ES-AN,Albox,2020-01-01,99,273,0.64,15879.74,41258.30,0.62
04007,ES-AL,ES-AN,Alcolea,2020-01-01,18,74,0.76,741.10,5560.60,0.87
04008,ES-AL,ES-AN,Alcóntar,2020-01-01,12,43,0.72,2212.70,6663.98,0.67
04009,ES-AL,ES-AN,Alcudia de Monteagud,2020-01-01,0,27,1.00,0.00,1828.95,1.00
04010,ES-AL,ES-AN,Alhabia,2020-01-01,3,42,0.93,90.80,3702.74,0.98
04011,ES-AL,ES-AN,Alhama de Almería,2020-01-01,15,116,0.87,1924.69,15412.77,0.88
04012,ES-AL,ES-AN,Alicún,2020-01-01,1,21,0.95,68.72,1631.34,0.96
04013,ES-AL,ES-AN,Almería,2020-01-01,422,3074,0.86,33892.12,396879.70,0.91
04014,ES-AL,ES-AN,Almócita,2020-01-01,2,31,0.94,167.80,2652.76,0.94
04015,ES-AL,ES-AN,Alsodux,2020-01-01,0,12,1.00,0.00,993.33,1.00
04016,ES-AL,ES-AN,Antas,2020-01-01,59,174,0.66,9486.60,23735.90,0.60
04017,ES-AL,ES-AN,Arboleas,2020-01-01,51,430,0.88,3267.26,66910.91,0.95
04018,ES-AL,ES-AN,Armuña de Almanzora,2020-01-01,5,32,0.84,1073.09,3952.50,0.73
04019,ES-AL,ES-AN,Bacares,2020-01-01,1,47,0.98,14.88,3607.53,1.00
04020,ES-AL,ES-AN,Bayárcal,2020-01-01,19,66,0.71,732.75,3193.21,0.77
04021,ES-AL,ES-AN,Bayarque,2020-01-01,1,35,0.97,65.46,3134.13,0.98
04022,ES-AL,ES-AN,Bédar,2020-01-01,34,120,0.72,7698.74,16290.15,0.53
04023,ES-AL,ES-AN,Beires,2020-01-01,1,34,0.97,26.32,1957.59,0.99
04024,ES-AL,ES-AN,Benahadux,2020-01-01,25,144,0.83,1677.90,16879.96,0.90
04026,ES-AL,ES-AN,Benitagla,2020-01-01,0,28,1.00,0.00,1646.50,1.00
04027,ES-AL,ES-AN,Benizalón,2020-01-01,3,41,0.93,151.48,2474.74,0.94
04028,ES-AL,ES-AN,Bentarique,2020-01-01,3,31,0.90,236.48,1982.60,0.88
04029,ES-AL,ES-AN,Berja,2020-01-01,88,205,0.57,9739.64,27234.28,0.64
04030,ES-AL,ES-AN,Canjáyar,2020-01-01,2,88,0.98,90.33,6564.28,0.99
04031,ES-AL,ES-AN,Cantoria,2020-01-01,68,132,0.48,11813.65,31297.36,0.62
04032,ES-AL,ES-AN,Carboneras,2020-01-01,136,318,0.57,14731.31,44902.07,0.67
04033,ES-AL,ES-AN,Castro de Filabres,2020-01-01,18,53,0.66,1551.18,3832.78,0.60
04034,ES-AL,ES-AN,Cóbdar,2020-01-01,0,21,1.00,0.00,2214.52,1.00
04035,ES-AL,ES-AN,Cuevas del Almanzora,2020-01-01,270,628,0.57,26602.68,76123.01,0.65
04036,ES-AL,ES-AN,Chercos,2020-01-01,0,14,1.00,0.00,2010.68,1.00
04037,ES-AL,ES-AN,Chirivel,2020-01-01,18,177,0.90,2013.31,23539.57,0.91
04038,ES-AL,ES-AN,Dalías,2020-01-01,70,100,0.30,5972.57,10251.63,0.42
04041,ES-AL,ES-AN,Enix,2020-01-01,9,62,0.85,779.41,5713.13,0.86
04043,ES-AL,ES-AN,Felix,2020-01-01,6,91,0.93,229.20,4889.63,0.95
04044,ES-AL,ES-AN,Fines,2020-01-01,13,106,0.88,1221.26,22658.18,0.95
04045,ES-AL,ES-AN,Fiñana,2020-01-01,10,155,0.94,355.97,15436.30,0.98
04046,ES-AL,ES-AN,Fondón,2020-01-01,14,88,0.84,979.67,9667.82,0.90
04047,ES-AL,ES-AN,Gádor,2020-01-01,8,118,0.93,169.00,9744.96,0.98
04048,ES-AL,ES-AN,Los Gallardos,2020-01-01,19,93,0.80,1132.78,15243.73,0.93
04049,ES-AL,ES-AN,Garrucha,2020-01-01,33,190,0.83,1985.77,28000.55,0.93
04050,ES-AL,ES-AN,Gérgal,2020-01-01,59,180,0.67,8616.24,25322.91,0.66
04051,ES-AL,ES-AN,Huécija,2020-01-01,0,35,1.00,0.00,3742.89,1.00
04052,ES-AL,ES-AN,Huércal de Almería,2020-01-01,48,508,0.91,3220.11,69589.90,0.95
04053,ES-AL,ES-AN,Huércal-Overa,2020-01-01,381,718,0.47,39534.13,90988.36,0.57
04054,ES-AL,ES-AN,Íllar,2020-01-01,6,41,0.85,163.58,3354.15,0.95
04055,ES-AL,ES-AN,Instinción,2020-01-01,2,58,0.97,646.73,5564.68,0.88
04056,ES-AL,ES-AN,Laroya,2020-01-01,1,18,0.94,12.31,1679.80,0.99
04057,ES-AL,ES-AN,Láujar de Andarax,2020-01-01,10,46,0.78,1741.45,7011.46,0.75
04058,ES-AL,ES-AN,Líjar,2020-01-01,5,33,0.85,269.05,2624.56,0.90
04059,ES-AL,ES-AN,Lubrín,2020-01-01,38,107,0.64,3267.89,8489.21,0.62
04060,ES-AL,ES-AN,Lucainena de las Torres,2020-01-01,6,72,0.92,737.25,6002.11,0.88
04061,ES-AL,ES-AN,Lúcar,2020-01-01,23,110,0.79,2299.01,11466.02,0.80
04062,ES-AL,ES-AN,Macael,2020-01-01,32,185,0.83,1332.45,18842.92,0.93
04063,ES-AL,ES-AN,María,2020-01-01,26,134,0.81,3788.91,15475.10,0.76
04064,ES-AL,ES-AN,Mojácar,2020-01-01,169,393,0.57,16993.39,68547.48,0.75
04065,ES-AL,ES-AN,Nacimiento,2020-01-01,13,60,0.78,1002.41,4724.84,0.79
04066,ES-AL,ES-AN,Níjar,2020-01-01,305,1308,0.77,31500.28,181538.85,0.83
04067,ES-AL,ES-AN,Ohanes,2020-01-01,2,91,0.98,64.22,7609.17,0.99
04068,ES-AL,ES-AN,Olula de Castro,2020-01-01,6,48,0.88,345.64,3950.11,0.91
04069,ES-AL,ES-AN,Olula del Río,2020-01-01,76,262,0.71,5029.91,26208.40,0.81
04070,ES-AL,ES-AN,Oria,2020-01-01,12,124,0.90,1232.32,12556.60,0.90
04071,ES-AL,ES-AN,Padules,2020-01-01,1,47,0.98,43.60,5272.97,0.99
04072,ES-AL,ES-AN,Partaloa,2020-01-01,4,48,0.92,1349.32,7212.76,0.81
04073,ES-AL,ES-AN,Paterna del Río,2020-01-01,6,80,0.93,315.97,6547.07,0.95
04074,ES-AL,ES-AN,Pechina,2020-01-01,10,111,0.91,1784.87,13855.72,0.87
04075,ES-AL,ES-AN,Pulpí,2020-01-01,370,732,0.49,40124.03,107605.18,0.63
04076,ES-AL,ES-AN,Purchena,2020-01-01,17,114,0.85,1403.80,10787.91,0.87
04077,ES-AL,ES-AN,Rágol,2020-01-01,1,33,0.97,30.96,2713.54,0.99
04078,ES-AL,ES-AN,Rioja,2020-01-01,2,59,0.97,105.81,6971.65,0.98
04079,ES-AL,ES-AN,Roquetas de Mar,2020-01-01,324,1884,0.83,29201.93,283548.80,0.90
04080,ES-AL,ES-AN,Santa Cruz de Marchena,2020-01-01,5,32,0.84,164.65,2240.66,0.93
04081,ES-AL,ES-AN,Santa Fe de Mondújar,2020-01-01,9,37,0.76,176.42,2543.16,0.93
04082,ES-AL,ES-AN,Senés,2020-01-01,9,89,0.90,213.93,7235.22,0.97
04083,ES-AL,ES-AN,Serón,2020-01-01,23,125,0.82,1632.61,13706.48,0.88
04084,ES-AL,ES-AN,Sierro,2020-01-01,6,34,0.82,155.06,2402.23,0.94
04085,ES-AL,ES-AN,Somontín,2020-01-01,5,58,0.91,198.74,6162.76,0.97
04086,ES-AL,ES-AN,Sorbas,2020-01-01,7,201,0.97,334.29,18081.40,0.98
04087,ES-AL,ES-AN,Suflí,2020-01-01,4,27,0.85,221.45,2713.60,0.92
04088,ES-AL,ES-AN,Tabernas,2020-01-01,81,215,0.62,5569.97,21195.83,0.74
04089,ES-AL,ES-AN,Taberno,2020-01-01,19,108,0.82,1093.41,9047.03,0.88
04090,ES-AL,ES-AN,Tahal,2020-01-01,5,68,0.93,134.70,6109.92,0.98
04091,ES-AL,ES-AN,Terque,2020-01-01,16,60,0.73,634.52,6257.70,0.90
04092,ES-AL,ES-AN,Tíjola,2020-01-01,18,229,0.92,1447.17,22906.97,0.94
04093,ES-AL,ES-AN,Turre,2020-01-01,42,146,0.71,4586.13,20877.49,0.78
04094,ES-AL,ES-AN,Turrillas,2020-01-01,6,41,0.85,282.04,2601.19,0.89
04095,ES-AL,ES-AN,Uleila del Campo,2020-01-01,9,94,0.90,626.22,8546.72,0.93
04096,ES-AL,ES-AN,Urrácal,2020-01-01,3,30,0.90,79.76,2461.46,0.97
04097,ES-AL,ES-AN,Velefique,2020-01-01,6,75,0.92,644.57,5646.40,0.89
04098,ES-AL,ES-AN,Vélez-Blanco,2020-01-01,78,151,0.48,8272.72,16265.44,0.49
04099,ES-AL,ES-AN,Vélez-Rubio,2020-01-01,76,417,0.82,7692.35,38084.43,0.80
04100,ES-AL,ES-AN,Vera,2020-01-01,728,1186,0.39,73877.44,172433.06,0.57
04101,ES-AL,ES-AN,Viator,2020-01-01,19,205,0.91,2281.09,29802.73,0.92
04102,ES-AL,ES-AN,Vícar,2020-01-01,75,516,0.85,4910.98,84276.25,0.94
04103,ES-AL,ES-AN,Zurgena,2020-01-01,83,314,0.74,9136.81,44032.57,0.79
04901,ES-AL,ES-AN,Las Tres Villas,2020-01-01,10,63,0.84,1256.43,5383.31,0.77
04902,ES-AL,ES-AN,El Ejido,2020-01-01,282,1997,0.86,19552.91,311460.79,0.94
04903,ES-AL,ES-AN,La Mojonera,2020-01-01,16,244,0.93,1748.17,34285.68,0.95
04904,ES-AL,ES-AN,Balanegra,2020-01-01,4,67,0.94,469.61,11591.41,0.96
