id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
04001,Abla,2020-01-01,27,148,0.82,881.30,10597.66,0.92
04002,Abrucena,2020-01-01,13,90,0.86,544.17,8019.21,0.93
04003,Adra,2020-01-01,39,627,0.94,4654.84,81451.10,0.94
04004,Albánchez,2020-01-01,18,61,0.70,4138.45,7873.95,0.47
04005,Alboloduy,2020-01-01,7,68,0.90,346.76,5632.12,0.94
04006,Albox,2020-01-01,99,273,0.64,15879.74,41258.30,0.62
04007,Alcolea,2020-01-01,18,74,0.76,741.10,5560.60,0.87
04008,Alcóntar,2020-01-01,12,43,0.72,2212.70,6663.98,0.67
04009,Alcudia de Monteagud,2020-01-01,0,27,1.00,0.00,1828.95,1.00
04010,Alhabia,2020-01-01,3,42,0.93,90.80,3702.74,0.98
04011,Alhama de Almería,2020-01-01,15,116,0.87,1924.69,15412.77,0.88
04012,Alicún,2020-01-01,1,21,0.95,68.72,1631.34,0.96
04013,Almería,2020-01-01,422,3074,0.86,33892.12,396879.70,0.91
04014,Almócita,2020-01-01,2,31,0.94,167.80,2652.76,0.94
04015,Alsodux,2020-01-01,0,12,1.00,0.00,993.33,1.00
04016,Antas,2020-01-01,59,174,0.66,9486.60,23735.90,0.60
04017,Arboleas,2020-01-01,51,430,0.88,3267.26,66910.91,0.95
04018,Armuña de Almanzora,2020-01-01,5,32,0.84,1073.09,3952.50,0.73
04019,Bacares,2020-01-01,1,47,0.98,14.88,3607.53,1.00
04020,Bayárcal,2020-01-01,19,66,0.71,732.75,3193.21,0.77
04021,Bayarque,2020-01-01,1,35,0.97,65.46,3134.13,0.98
04022,Bédar,2020-01-01,34,120,0.72,7698.74,16290.15,0.53
04023,Beires,2020-01-01,1,34,0.97,26.32,1957.59,0.99
04024,Benahadux,2020-01-01,25,144,0.83,1677.90,16879.96,0.90
04026,Benitagla,2020-01-01,0,28,1.00,0.00,1646.50,1.00
04027,Benizalón,2020-01-01,3,41,0.93,151.48,2474.74,0.94
04028,Bentarique,2020-01-01,3,31,0.90,236.48,1982.60,0.88
04029,Berja,2020-01-01,88,205,0.57,9739.64,27234.28,0.64
04030,Canjáyar,2020-01-01,2,88,0.98,90.33,6564.28,0.99
04031,Cantoria,2020-01-01,68,132,0.48,11813.65,31297.36,0.62
04032,Carboneras,2020-01-01,136,318,0.57,14731.31,44902.07,0.67
04033,Castro de Filabres,2020-01-01,18,53,0.66,1551.18,3832.78,0.60
04034,Cóbdar,2020-01-01,0,21,1.00,0.00,2214.52,1.00
04035,Cuevas del Almanzora,2020-01-01,270,628,0.57,26602.68,76123.01,0.65
04036,Chercos,2020-01-01,0,14,1.00,0.00,2010.68,1.00
04037,Chirivel,2020-01-01,18,177,0.90,2013.31,23539.57,0.91
04038,Dalías,2020-01-01,70,100,0.30,5972.57,10251.63,0.42
04041,Enix,2020-01-01,9,62,0.85,779.41,5713.13,0.86
04043,Felix,2020-01-01,6,91,0.93,229.20,4889.63,0.95
04044,Fines,2020-01-01,13,106,0.88,1221.26,22658.18,0.95
04045,Fiñana,2020-01-01,10,155,0.94,355.97,15436.30,0.98
04046,Fondón,2020-01-01,14,88,0.84,979.67,9667.82,0.90
04047,Gádor,2020-01-01,8,118,0.93,169.00,9744.96,0.98
04048,Los Gallardos,2020-01-01,19,93,0.80,1132.78,15243.73,0.93
04049,Garrucha,2020-01-01,33,190,0.83,1985.77,28000.55,0.93
04050,Gérgal,2020-01-01,59,180,0.67,8616.24,25322.91,0.66
04051,Huécija,2020-01-01,0,35,1.00,0.00,3742.89,1.00
04052,Huércal de Almería,2020-01-01,48,508,0.91,3220.11,69589.90,0.95
04053,Huércal-Overa,2020-01-01,381,718,0.47,39534.13,90988.36,0.57
04054,Íllar,2020-01-01,6,41,0.85,163.58,3354.15,0.95
04055,Instinción,2020-01-01,2,58,0.97,646.73,5564.68,0.88
04056,Laroya,2020-01-01,1,18,0.94,12.31,1679.80,0.99
04057,Láujar de Andarax,2020-01-01,10,46,0.78,1741.45,7011.46,0.75
04058,Líjar,2020-01-01,5,33,0.85,269.05,2624.56,0.90
04059,Lubrín,2020-01-01,38,107,0.64,3267.89,8489.21,0.62
04060,Lucainena de las Torres,2020-01-01,6,72,0.92,737.25,6002.11,0.88
04061,Lúcar,2020-01-01,23,110,0.79,2299.01,11466.02,0.80
04062,Macael,2020-01-01,32,185,0.83,1332.45,18842.92,0.93
04063,María,2020-01-01,26,134,0.81,3788.91,15475.10,0.76
04064,Mojácar,2020-01-01,169,393,0.57,16993.39,68547.48,0.75
04065,Nacimiento,2020-01-01,13,60,0.78,1002.41,4724.84,0.79
04066,Níjar,2020-01-01,305,1308,0.77,31500.28,181538.85,0.83
04067,Ohanes,2020-01-01,2,91,0.98,64.22,7609.17,0.99
04068,Olula de Castro,2020-01-01,6,48,0.88,345.64,3950.11,0.91
04069,Olula del Río,2020-01-01,76,262,0.71,5029.91,26208.40,0.81
04070,Oria,2020-01-01,12,124,0.90,1232.32,12556.60,0.90
04071,Padules,2020-01-01,1,47,0.98,43.60,5272.97,0.99
04072,Partaloa,2020-01-01,4,48,0.92,1349.32,7212.76,0.81
04073,Paterna del Río,2020-01-01,6,80,0.93,315.97,6547.07,0.95
04074,Pechina,2020-01-01,10,111,0.91,1784.87,13855.72,0.87
04075,Pulpí,2020-01-01,370,732,0.49,40124.03,107605.18,0.63
04076,Purchena,2020-01-01,17,114,0.85,1403.80,10787.91,0.87
04077,Rágol,2020-01-01,1,33,0.97,30.96,2713.54,0.99
04078,Rioja,2020-01-01,2,59,0.97,105.81,6971.65,0.98
04079,Roquetas de Mar,2020-01-01,324,1884,0.83,29201.93,283548.80,0.90
04080,Santa Cruz de Marchena,2020-01-01,5,32,0.84,164.65,2240.66,0.93
04081,Santa Fe de Mondújar,2020-01-01,9,37,0.76,176.42,2543.16,0.93
04082,Senés,2020-01-01,9,89,0.90,213.93,7235.22,0.97
04083,Serón,2020-01-01,23,125,0.82,1632.61,13706.48,0.88
04084,Sierro,2020-01-01,6,34,0.82,155.06,2402.23,0.94
04085,Somontín,2020-01-01,5,58,0.91,198.74,6162.76,0.97
04086,Sorbas,2020-01-01,7,201,0.97,334.29,18081.40,0.98
04087,Suflí,2020-01-01,4,27,0.85,221.45,2713.60,0.92
04088,Tabernas,2020-01-01,81,215,0.62,5569.97,21195.83,0.74
04089,Taberno,2020-01-01,19,108,0.82,1093.41,9047.03,0.88
04090,Tahal,2020-01-01,5,68,0.93,134.70,6109.92,0.98
04091,Terque,2020-01-01,16,60,0.73,634.52,6257.70,0.90
04092,Tíjola,2020-01-01,18,229,0.92,1447.17,22906.97,0.94
04093,Turre,2020-01-01,42,146,0.71,4586.13,20877.49,0.78
04094,Turrillas,2020-01-01,6,41,0.85,282.04,2601.19,0.89
04095,Uleila del Campo,2020-01-01,9,94,0.90,626.22,8546.72,0.93
04096,Urrácal,2020-01-01,3,30,0.90,79.76,2461.46,0.97
04097,Velefique,2020-01-01,6,75,0.92,644.57,5646.40,0.89
04098,Vélez-Blanco,2020-01-01,78,151,0.48,8272.72,16265.44,0.49
04099,Vélez-Rubio,2020-01-01,76,417,0.82,7692.35,38084.43,0.80
04100,Vera,2020-01-01,728,1186,0.39,73877.44,172433.06,0.57
04101,Viator,2020-01-01,19,205,0.91,2281.09,29802.73,0.92
04102,Vícar,2020-01-01,75,516,0.85,4910.98,84276.25,0.94
04103,Zurgena,2020-01-01,83,314,0.74,9136.81,44032.57,0.79
04901,Las Tres Villas,2020-01-01,10,63,0.84,1256.43,5383.31,0.77
04902,El Ejido,2020-01-01,282,1997,0.86,19552.91,311460.79,0.94
04903,La Mojonera,2020-01-01,16,244,0.93,1748.17,34285.68,0.95
04904,Balanegra,2020-01-01,4,67,0.94,469.61,11591.41,0.96
11001,Alcalá de los Gazules,2020-01-01,21,127,0.83,2411.01,13683.50,0.82
11002,Alcalá del Valle,2020-01-01,76,84,0.10,12861.29,13931.52,0.08
11003,Algar,2020-01-01,7,67,0.90,220.73,5806.20,0.96
11004,Algeciras,2020-01-01,1135,1891,0.40,128819.24,258816.88,0.50
11005,Algodonales,2020-01-01,42,108,0.61,5729.77,17589.91,0.67
11006,Arcos de la Frontera,2020-01-01,463,723,0.36,74162.32,112725.39,0.34
11007,Barbate,2020-01-01,367,620,0.41,52536.65,98720.93,0.47
