id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
22001,Abiego,2020-01-01,3,31,0.90,2985.03,218.88,0.93
22002,Abizanda,2020-01-01,21,30,0.30,2527.85,1513.19,0.40
22003,Adahuesca,2020-01-01,1,13,0.92,1311.48,284.68,0.78
22004,Agüero,2020-01-01,29,50,0.42,3714.55,1802.79,0.51
22006,Aísa,2020-01-01,22,56,0.61,5490.75,2588.17,0.53
22007,Albalate de Cinca,2020-01-01,43,70,0.39,8626.41,5048.59,0.41
22008,Albalatillo,2020-01-01,16,16,0.00,3008.00,3008.00,0.00
22009,Albelda,2020-01-01,10,30,0.67,3308.98,701.04,0.79
22011,Albero Alto,2020-01-01,2,20,0.90,2166.41,258.11,0.88
22012,Albero Bajo,2020-01-01,9,24,0.63,2827.71,524.39,0.81
22013,Alberuela de Tubo,2020-01-01,24,24,0.00,3977.83,3977.83,0.00
22014,Alcalá de Gurrea,2020-01-01,0,36,1.00,4630.65,0.00,1.00
22015,Alcalá del Obispo,2020-01-01,10,39,0.74,4719.29,1408.53,0.70
22016,Alcampell,2020-01-01,3,55,0.95,5982.10,315.22,0.95
22017,Alcolea de Cinca,2020-01-01,23,52,0.56,7075.65,1912.83,0.73
22018,Alcubierre,2020-01-01,8,32,0.75,4666.69,792.82,0.83
22019,Alerre,2020-01-01,0,19,1.00,2467.32,0.00,1.00
22020,Alfántega,2020-01-01,20,29,0.31,2407.34,1097.66,0.54
22021,Almudévar,2020-01-01,25,140,0.82,25764.99,3347.54,0.87
22022,Almunia de San Juan,2020-01-01,25,51,0.51,7512.00,1815.06,0.76
22023,Almuniente,2020-01-01,21,42,0.50,6852.98,4681.70,0.32
22024,Alquézar,2020-01-01,19,34,0.44,4473.96,2862.73,0.36
22025,Altorricón,2020-01-01,17,80,0.79,9050.82,1159.80,0.87
22027,Angüés,2020-01-01,18,54,0.67,5178.98,1797.34,0.65
22028,Ansó,2020-01-01,6,49,0.88,3439.01,398.84,0.88
22029,Antillón,2020-01-01,5,20,0.75,1299.51,146.84,0.89
22032,Aragüés del Puerto,2020-01-01,6,52,0.88,2615.22,300.92,0.88
22035,Arén,2020-01-01,13,26,0.50,2820.39,1506.89,0.47
22036,Argavieso,2020-01-01,13,13,0.00,1681.37,1681.37,0.00
22037,Arguis,2020-01-01,2,39,0.95,3343.05,297.04,0.91
22039,Ayerbe,2020-01-01,1,52,0.98,7111.70,63.23,0.99
22040,Azanuy-Alins,2020-01-01,19,31,0.39,3164.01,1910.35,0.40
22041,Azara,2020-01-01,8,8,0.00,1352.09,1352.09,0.00
22042,Azlor,2020-01-01,5,5,0.00,1516.21,1516.21,0.00
22043,Baells,2020-01-01,8,14,0.43,1412.42,1043.75,0.26
22044,Bailo,2020-01-01,38,68,0.44,5519.39,2409.38,0.56
22045,Baldellou,2020-01-01,2,3,0.33,602.86,179.07,0.70
22046,Ballobar,2020-01-01,14,45,0.69,5978.81,1576.04,0.74
22047,Banastás,2020-01-01,0,22,1.00,3711.55,0.00,1.00
22048,Barbastro,2020-01-01,106,448,0.76,62550.61,9881.06,0.84
22049,Barbués,2020-01-01,0,11,1.00,1045.71,0.00,1.00
22050,Barbuñales,2020-01-01,7,15,0.53,2464.38,479.97,0.81
22051,Bárcabo,2020-01-01,15,15,0.00,1177.11,1177.11,0.00
22052,Belver de Cinca,2020-01-01,19,41,0.54,7090.26,1881.67,0.73
22053,Benabarre,2020-01-01,34,100,0.66,9978.97,2846.43,0.71
22054,Benasque,2020-01-01,82,139,0.41,14066.41,8231.09,0.41
22055,Berbegal,2020-01-01,10,35,0.71,3004.80,778.53,0.74
22057,Bielsa,2020-01-01,23,43,0.47,4148.84,2053.55,0.51
22058,Bierge,2020-01-01,11,40,0.73,3646.13,1099.98,0.70
22059,Biescas,2020-01-01,107,308,0.65,25986.40,9438.20,0.64
22060,Binaced,2020-01-01,27,80,0.66,9949.03,1793.88,0.82
22061,Binéfar,2020-01-01,63,228,0.72,30357.45,6892.96,0.77
22062,Bisaurri,2020-01-01,33,36,0.08,2595.29,2316.98,0.11
22063,Biscarrués,2020-01-01,0,20,1.00,2526.98,0.00,1.00
22064,Blecua y Torres,2020-01-01,15,30,0.50,3228.44,1533.03,0.53
22066,Boltaña,2020-01-01,28,83,0.66,9152.55,2894.23,0.68
22067,Bonansa,2020-01-01,5,12,0.58,962.94,277.14,0.71
22068,Borau,2020-01-01,5,14,0.64,943.83,272.05,0.71
22069,Broto,2020-01-01,39,82,0.52,10055.46,4821.02,0.52
22072,Caldearenas,2020-01-01,16,45,0.64,4325.27,938.25,0.78
22074,Campo,2020-01-01,16,37,0.57,4190.15,1223.56,0.71
22075,Camporrells,2020-01-01,2,2,0.00,237.92,237.92,0.00
22076,Canal de Berdún,2020-01-01,25,84,0.70,6611.70,2168.47,0.67
22077,Candasnos,2020-01-01,5,35,0.86,6604.12,655.87,0.90
22078,Canfranc,2020-01-01,15,34,0.56,4202.42,1200.12,0.71
22079,Capdesaso,2020-01-01,13,13,0.00,3347.61,3347.61,0.00
22080,Capella,2020-01-01,26,44,0.41,3855.88,2238.46,0.42
22081,Casbas de Huesca,2020-01-01,21,50,0.58,5897.98,2719.04,0.54
