id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
33001,Allande,2020-01-01,388,399,0.03,41085.79,42598.46,0.04
33002,Aller,2020-01-01,223,316,0.29,22741.86,34429.74,0.34
33003,Amieva,2020-01-01,69,69,0.00,8662.98,8662.98,0.00
33004,Avilés,2020-01-01,288,996,0.71,32888.16,113790.92,0.71
33005,Belmonte de Miranda,2020-01-01,119,151,0.21,13815.24,15788.91,0.13
33006,Bimenes,2020-01-01,44,44,0.00,5518.22,5518.22,0.00
33007,Boal,2020-01-01,36,42,0.14,9011.99,10951.63,0.18
33008,Cabrales,2020-01-01,49,83,0.41,5373.64,8342.33,0.36
33009,Cabranes,2020-01-01,78,78,0.00,7787.08,7787.08,0.00
33010,Candamo,2020-01-01,22,22,0.00,3605.52,3605.52,0.00
33011,Cangas del Narcea,2020-01-01,1250,1333,0.06,135534.96,145212.99,0.07
33012,Cangas de Onís,2020-01-01,145,196,0.26,17975.45,23664.77,0.24
33013,Caravia,2020-01-01,21,27,0.22,4006.77,5128.66,0.22
33014,Carreño,2020-01-01,115,265,0.57,13368.63,30631.91,0.56
33015,Caso,2020-01-01,194,221,0.12,21926.50,25337.63,0.13
33016,Castrillón,2020-01-01,217,422,0.49,47825.85,85212.52,0.44
33017,Castropol,2020-01-01,210,277,0.24,37211.57,48179.66,0.23
33018,Coaña,2020-01-01,104,110,0.05,20987.99,21710.06,0.03
33019,Colunga,2020-01-01,221,282,0.22,29478.47,42691.66,0.31
33020,Corvera de Asturias,2020-01-01,117,297,0.61,15917.84,39265.16,0.59
33021,Cudillero,2020-01-01,280,289,0.03,60743.65,61821.94,0.02
33022,Degaña,2020-01-01,72,72,0.00,8807.45,8807.45,0.00
33023,El Franco,2020-01-01,52,76,0.32,9978.12,17391.48,0.43
33024,Gijón/Xixón,2020-01-01,201,3330,0.94,16075.57,386730.90,0.96
33025,Gozón,2020-01-01,105,255,0.59,22683.67,41061.41,0.45
33026,Grau/Grado,2020-01-01,158,302,0.48,29330.85,44829.68,0.35
33027,Grandas de Salime,2020-01-01,153,176,0.13,20680.31,23567.03,0.12
33028,Ibias,2020-01-01,337,337,0.00,38972.41,38972.41,0.00
33029,Illano,2020-01-01,43,43,0.00,17811.82,17811.82,0.00
33030,Illas,2020-01-01,6,11,0.45,1604.35,2339.57,0.31
33031,Llangréu/Langreo,2020-01-01,195,832,0.77,24665.66,96085.51,0.74
33032,Laviana,2020-01-01,235,304,0.23,25123.18,35733.49,0.30
33033,Lena,2020-01-01,573,702,0.18,48267.13,59972.14,0.20
33034,Valdés,2020-01-01,421,536,0.21,122126.38,137306.76,0.11
33035,Llanera,2020-01-01,145,348,0.58,24269.61,52256.56,0.54
33036,Llanes,2020-01-01,490,677,0.28,55726.50,78733.30,0.29
33037,Mieres,2020-01-01,323,577,0.44,45829.36,75294.49,0.39
33038,Morcín,2020-01-01,82,84,0.02,9276.07,9869.11,0.06
33039,Muros de Nalón,2020-01-01,47,108,0.56,6645.09,15673.79,0.58
33040,Nava,2020-01-01,99,154,0.36,21136.13,27916.58,0.24
33041,Navia,2020-01-01,219,298,0.27,53255.82,61818.02,0.14
33042,Noreña,2020-01-01,46,211,0.78,1877.57,19392.46,0.90
33043,Onís,2020-01-01,67,67,0.00,8124.43,8124.43,0.00
33044,Oviedo,2020-01-01,821,2721,0.70,89770.40,276523.08,0.68
33045,Parres,2020-01-01,72,106,0.32,10525.18,16326.23,0.36
33046,Peñamellera Alta,2020-01-01,63,64,0.02,8878.74,9070.86,0.02
33047,Peñamellera Baja,2020-01-01,72,72,0.00,11475.80,11475.80,0.00
33048,Pesoz,2020-01-01,57,57,0.00,5723.40,5723.40,0.00
33049,Piloña,2020-01-01,146,192,0.24,26165.28,32362.29,0.19
33050,Ponga,2020-01-01,81,129,0.37,8088.55,12778.54,0.37
33051,Pravia,2020-01-01,49,140,0.65,13508.29,21224.63,0.36
33052,Proaza,2020-01-01,158,163,0.03,16148.01,16814.15,0.04
33053,Quirós,2020-01-01,324,324,0.00,28881.51,28881.51,0.00
33054,Las Regueras,2020-01-01,32,32,0.00,6010.99,6010.99,0.00
33055,Ribadedeva,2020-01-01,76,79,0.04,9752.28,10265.71,0.05
33056,Ribadesella,2020-01-01,138,313,0.56,22659.57,43122.46,0.47
33057,Ribera de Arriba,2020-01-01,41,41,0.00,6622.96,6622.96,0.00
33058,Riosa,2020-01-01,59,78,0.24,5802.30,8080.86,0.28
33059,Salas,2020-01-01,155,201,0.23,27300.41,36309.34,0.25
33060,Samartín del Rei Aurelio,2020-01-01,181,390,0.54,23850.81,45265.39,0.47
33061,San Martín de Oscos,2020-01-01,94,94,0.00,12426.80,12426.80,0.00
33062,Santa Eulalia de Oscos,2020-01-01,94,97,0.03,11090.17,11614.73,0.05
33063,San Tirso de Abres,2020-01-01,89,92,0.03,9662.84,10059.82,0.04
33064,Santo Adriano,2020-01-01,40,49,0.18,3607.35,4657.65,0.23
33065,Sariego,2020-01-01,37,50,0.26,7113.38,8719.68,0.18
33066,Siero,2020-01-01,335,813,0.59,46699.21,98212.59,0.52
33067,Sobrescobio,2020-01-01,180,180,0.00,13010.09,13010.09,0.00
33068,Somiedo,2020-01-01,382,401,0.05,34348.75,35866.20,0.04
33069,Soto del Barco,2020-01-01,81,131,0.38,15637.90,25412.31,0.38
33070,Tapia de Casariego,2020-01-01,130,201,0.35,30128.89,42805.11,0.30
33071,Taramundi,2020-01-01,153,175,0.13,14924.41,16701.04,0.11
33072,Teverga,2020-01-01,321,328,0.02,30245.56,30928.65,0.02
33073,Tineo,2020-01-01,451,468,0.04,90929.20,94643.34,0.04
33074,Vegadeo,2020-01-01,209,246,0.15,31064.07,35992.07,0.14
33075,Villanueva de Oscos,2020-01-01,61,61,0.00,7114.32,7114.32,0.00
33076,Villaviciosa,2020-01-01,148,262,0.44,28988.69,46670.01,0.38
33077,Villayón,2020-01-01,59,59,0.00,18753.95,18753.95,0.00
33078,Yernes y Tameza,2020-01-01,41,41,0.00,3433.42,3433.42,0.00
