id,ES-AV,ES-CL,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
05001,ES-AV,ES-CL,Adanero,2020-01-01,1,53,0.98,61.66,6643.38,0.99
05002,ES-AV,ES-CL,La Adrada,2020-01-01,130,190,0.32,27706.10,37951.63,0.27
05005,ES-AV,ES-CL,Albornos,2020-01-01,0,27,1.00,0.00,3350.28,1.00
05007,ES-AV,ES-CL,Aldeanueva de Santa Cruz,2020-01-01,6,25,0.76,780.90,2219.45,0.65
05008,ES-AV,ES-CL,Aldeaseca,2020-01-01,0,23,1.00,0.00,3254.17,1.00
05010,ES-AV,ES-CL,La Aldehuela,2020-01-01,4,4,0.00,777.02,777.02,0.00
05012,ES-AV,ES-CL,Amavida,2020-01-01,9,42,0.79,496.76,2991.02,0.83
05013,ES-AV,ES-CL,El Arenal,2020-01-01,40,46,0.13,5171.36,6155.35,0.16
05014,ES-AV,ES-CL,Arenas de San Pedro,2020-01-01,165,258,0.36,29928.17,41440.67,0.28
05015,ES-AV,ES-CL,Arevalillo,2020-01-01,28,28,0.00,2636.58,2636.58,0.00
05016,ES-AV,ES-CL,Arévalo,2020-01-01,6,279,0.98,422.43,39061.11,0.99
05017,ES-AV,ES-CL,Aveinte,2020-01-01,6,33,0.82,162.49,3419.70,0.95
05018,ES-AV,ES-CL,Avellaneda,2020-01-01,10,10,0.00,1020.61,1020.61,0.00
05019,ES-AV,ES-CL,Ávila,2020-01-01,106,1558,0.93,9152.41,228003.28,0.96
05021,ES-AV,ES-CL,El Barco de Ávila,2020-01-01,105,132,0.20,14352.45,18589.13,0.23
05022,ES-AV,ES-CL,El Barraco,2020-01-01,192,352,0.45,12461.13,34389.43,0.64
05023,ES-AV,ES-CL,Barromán,2020-01-01,0,29,1.00,0.00,3905.70,1.00
05024,ES-AV,ES-CL,Becedas,2020-01-01,38,57,0.33,4439.16,6176.78,0.28
05025,ES-AV,ES-CL,Becedillas,2020-01-01,15,37,0.59,1393.53,3749.62,0.63
05026,ES-AV,ES-CL,Bercial de Zapardiel,2020-01-01,0,28,1.00,0.00,3255.52,1.00
05027,ES-AV,ES-CL,Las Berlanas,2020-01-01,0,50,1.00,0.00,7224.28,1.00
05029,ES-AV,ES-CL,Bernuy-Zapardiel,2020-01-01,3,21,0.86,326.69,3130.86,0.90
05030,ES-AV,ES-CL,Berrocalejo de Aragona,2020-01-01,8,30,0.73,289.83,2594.06,0.89
05033,ES-AV,ES-CL,Blascomillán,2020-01-01,0,35,1.00,0.00,4347.35,1.00
05034,ES-AV,ES-CL,Blasconuño de Matacabras,2020-01-01,0,10,1.00,0.00,844.06,1.00
05035,ES-AV,ES-CL,Blascosancho,2020-01-01,5,52,0.90,374.83,5277.46,0.93
05036,ES-AV,ES-CL,El Bohodón,2020-01-01,6,32,0.81,652.74,4146.97,0.84
05037,ES-AV,ES-CL,Bohoyo,2020-01-01,29,30,0.03,3828.16,3922.72,0.02
05038,ES-AV,ES-CL,Bonilla de la Sierra,2020-01-01,0,41,1.00,0.00,5631.81,1.00
05039,ES-AV,ES-CL,Brabos,2020-01-01,2,40,0.95,127.80,3395.82,0.96
05040,ES-AV,ES-CL,Bularros,2020-01-01,0,38,1.00,0.00,4220.56,1.00
05041,ES-AV,ES-CL,Burgohondo,2020-01-01,70,90,0.22,9694.51,13217.45,0.27
05042,ES-AV,ES-CL,Cabezas de Alambre,2020-01-01,0,24,1.00,0.00,3411.19,1.00
05043,ES-AV,ES-CL,Cabezas del Pozo,2020-01-01,0,20,1.00,0.00,2544.79,1.00
05044,ES-AV,ES-CL,Cabezas del Villar,2020-01-01,17,77,0.78,996.62,10173.52,0.90
05045,ES-AV,ES-CL,Cabizuela,2020-01-01,4,18,0.78,426.69,2474.65,0.83
05046,ES-AV,ES-CL,Canales,2020-01-01,6,14,0.57,507.21,1626.95,0.69
05047,ES-AV,ES-CL,Candeleda,2020-01-01,90,182,0.51,11027.34,26229.96,0.58
05048,ES-AV,ES-CL,Cantiveros,2020-01-01,8,29,0.72,957.23,3366.78,0.72
05049,ES-AV,ES-CL,Cardeñosa,2020-01-01,0,38,1.00,0.00,5347.42,1.00
05051,ES-AV,ES-CL,La Carrera,2020-01-01,36,37,0.03,3927.93,4011.12,0.02
05052,ES-AV,ES-CL,Casas del Puerto,2020-01-01,4,30,0.87,382.19,2815.83,0.86
05053,ES-AV,ES-CL,Casasola,2020-01-01,21,39,0.46,1900.39,3372.36,0.44
05054,ES-AV,ES-CL,Casavieja,2020-01-01,20,108,0.81,1342.45,13892.91,0.90
05055,ES-AV,ES-CL,Casillas,2020-01-01,23,50,0.54,1619.10,6611.51,0.76
05056,ES-AV,ES-CL,Castellanos de Zapardiel,2020-01-01,2,19,0.89,217.11,2621.81,0.92
05057,ES-AV,ES-CL,Cebreros,2020-01-01,67,228,0.71,10382.09,29835.10,0.65
