id,ES-B,ES-CT,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
08001,ES-B,ES-CT,Abrera,2020-01-01,14,303,0.95,985.69,62574.81,0.98
08002,ES-B,ES-CT,Aguilar de Segarra,2020-01-01,0,5,1.00,0.00,570.85,1.00
08003,ES-B,ES-CT,Alella,2020-01-01,33,282,0.88,2697.35,55776.91,0.95
08004,ES-B,ES-CT,Alpens,2020-01-01,19,46,0.59,1059.30,3992.48,0.73
08005,ES-B,ES-CT,l'Ametlla del Vallès,2020-01-01,43,271,0.84,5337.74,70530.46,0.92
08006,ES-B,ES-CT,Arenys de Mar,2020-01-01,38,249,0.85,2017.68,38788.76,0.95
08007,ES-B,ES-CT,Arenys de Munt,2020-01-01,30,179,0.83,4319.83,36143.75,0.88
08008,ES-B,ES-CT,Argençola,2020-01-01,4,35,0.89,181.93,3341.69,0.95
08009,ES-B,ES-CT,Argentona,2020-01-01,47,287,0.84,5339.30,56028.63,0.90
08010,ES-B,ES-CT,Artés,2020-01-01,48,164,0.71,2578.27,24926.73,0.90
08011,ES-B,ES-CT,Avià,2020-01-01,3,60,0.95,284.65,9185.89,0.97
08012,ES-B,ES-CT,Avinyó,2020-01-01,34,99,0.66,4793.81,15990.09,0.70
08013,ES-B,ES-CT,Avinyonet del Penedès,2020-01-01,0,108,1.00,0.00,15261.34,1.00
08014,ES-B,ES-CT,Aiguafreda,2020-01-01,12,98,0.88,381.41,14634.22,0.97
08015,ES-B,ES-CT,Badalona,2020-01-01,1,1677,1.00,2.90,230567.77,1.00
08016,ES-B,ES-CT,Bagà,2020-01-01,16,102,0.84,570.29,9047.00,0.94
08017,ES-B,ES-CT,Balenyà,2020-01-01,59,125,0.53,6059.10,16849.45,0.64
08018,ES-B,ES-CT,Balsareny,2020-01-01,4,94,0.96,205.01,11357.92,0.98
08019,ES-B,ES-CT,Barcelona,2020-01-01,98,6850,0.99,6952.89,922493.11,0.99
08020,ES-B,ES-CT,Begues,2020-01-01,4,301,0.99,270.04,53451.75,0.99
08021,ES-B,ES-CT,Bellprat,2020-01-01,0,15,1.00,0.00,1075.61,1.00
08022,ES-B,ES-CT,Berga,2020-01-01,23,335,0.93,656.96,43696.52,0.98
08023,ES-B,ES-CT,Bigues i Riells,2020-01-01,46,311,0.85,4164.88,90462.88,0.95
08024,ES-B,ES-CT,Borredà,2020-01-01,0,39,1.00,0.00,3964.13,1.00
08025,ES-B,ES-CT,el Bruc,2020-01-01,0,106,1.00,0.00,21324.32,1.00
