id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
48001,ES-BI,ES-PV,Abadiño,2020-01-01,113,186,0.39,11722.36,20827.41,0.44
48002,ES-BI,ES-PV,Abanto y Ciérvana-Abanto Zierbena,2020-01-01,59,122,0.52,9227.55,22151.24,0.58
48003,ES-BI,ES-PV,Amorebieta-Etxano,2020-01-01,164,265,0.38,25243.17,42160.75,0.40
48004,ES-BI,ES-PV,Amoroto,2020-01-01,9,9,0.00,1088.35,1088.35,0.00
48005,ES-BI,ES-PV,Arakaldo,2020-01-01,0,17,1.00,0.00,3472.47,1.00
48006,ES-BI,ES-PV,Arantzazu,2020-01-01,9,10,0.10,843.68,969.23,0.13
48007,ES-BI,ES-PV,Munitibar-Arbatzegi Gerrikaitz,2020-01-01,10,17,0.41,1374.59,2132.55,0.36
48008,ES-BI,ES-PV,Artzentales,2020-01-01,17,18,0.06,884.24,974.57,0.09
48009,ES-BI,ES-PV,Arrankudiaga,2020-01-01,30,34,0.12,4560.21,5218.66,0.13
48010,ES-BI,ES-PV,Arrieta,2020-01-01,21,21,0.00,1120.47,1120.47,0.00
48011,ES-BI,ES-PV,Arrigorriaga,2020-01-01,56,124,0.55,4283.94,13323.85,0.68
48012,ES-BI,ES-PV,Bakio,2020-01-01,74,87,0.15,10169.69,12567.70,0.19
48013,ES-BI,ES-PV,Barakaldo,2020-01-01,145,1040,0.86,7553.01,100504.98,0.92
48014,ES-BI,ES-PV,Barrika,2020-01-01,19,44,0.57,1920.37,7080.30,0.73
48015,ES-BI,ES-PV,Basauri,2020-01-01,135,374,0.64,8948.55,44149.43,0.80
48016,ES-BI,ES-PV,Berango,2020-01-01,39,113,0.65,4193.88,17182.85,0.76
48017,ES-BI,ES-PV,Bermeo,2020-01-01,84,185,0.55,7058.50,19947.53,0.65
48018,ES-BI,ES-PV,Berriatua,2020-01-01,17,25,0.32,2396.41,3585.68,0.33
48019,ES-BI,ES-PV,Berriz,2020-01-01,103,122,0.16,11737.72,14789.34,0.21
48020,ES-BI,ES-PV,Bilbao,2020-01-01,469,2278,0.79,27021.98,289749.99,0.91
48021,ES-BI,ES-PV,Busturia,2020-01-01,65,73,0.11,7711.35,9275.41,0.17
48022,ES-BI,ES-PV,Karrantza Harana / Valle de Carranza,2020-01-01,50,75,0.33,6684.13,13483.53,0.50
48023,ES-BI,ES-PV,Artea,2020-01-01,6,17,0.65,1351.37,2928.74,0.54
48024,ES-BI,ES-PV,Zeanuri,2020-01-01,26,26,0.00,3159.08,3159.08,0.00
48025,ES-BI,ES-PV,Zeberio,2020-01-01,12,12,0.00,1439.23,1439.23,0.00
48026,ES-BI,ES-PV,Dima,2020-01-01,49,52,0.06,4355.94,5093.02,0.14
48027,ES-BI,ES-PV,Durango,2020-01-01,153,332,0.54,11962.53,40998.67,0.71
48028,ES-BI,ES-PV,Ea,2020-01-01,20,34,0.41,1624.09,3312.09,0.51
48029,ES-BI,ES-PV,Etxebarri,2020-01-01,72,196,0.63,3660.62,19845.43,0.82
48030,ES-BI,ES-PV,Etxebarria,2020-01-01,25,25,0.00,2927.50,2927.50,0.00
48031,ES-BI,ES-PV,Elantxobe,2020-01-01,6,16,0.63,290.71,1750.71,0.83
48032,ES-BI,ES-PV,Elorrio,2020-01-01,79,131,0.40,11050.98,18519.74,0.40
48033,ES-BI,ES-PV,Ereño,2020-01-01,2,2,0.00,216.83,216.83,0.00
48034,ES-BI,ES-PV,Ermua,2020-01-01,65,138,0.53,4013.63,11637.70,0.66
48035,ES-BI,ES-PV,Fruiz,2020-01-01,26,26,0.00,2024.80,2024.80,0.00
48036,ES-BI,ES-PV,Galdakao,2020-01-01,224,406,0.45,22180.33,53020.65,0.58
48037,ES-BI,ES-PV,Galdames,2020-01-01,10,22,0.55,1544.44,6859.18,0.77
48038,ES-BI,ES-PV,Gamiz-Fika,2020-01-01,27,39,0.31,3794.38,4660.00,0.19
48039,ES-BI,ES-PV,Garai,2020-01-01,7,7,0.00,668.02,668.02,0.00
48040,ES-BI,ES-PV,Gatika,2020-01-01,16,32,0.50,863.74,3363.23,0.74
48041,ES-BI,ES-PV,Gautegiz Arteaga,2020-01-01,43,43,0.00,5782.10,5782.10,0.00
48042,ES-BI,ES-PV,Gordexola,2020-01-01,45,47,0.04,9120.40,9645.23,0.05
48043,ES-BI,ES-PV,Gorliz,2020-01-01,70,133,0.47,10381.51,21975.30,0.53
48044,ES-BI,ES-PV,Getxo,2020-01-01,126,625,0.80,12123.36,94417.75,0.87
48045,ES-BI,ES-PV,Güeñes,2020-01-01,116,130,0.11,14522.37,16206.37,0.10
48046,ES-BI,ES-PV,Gernika-Lumo,2020-01-01,128,258,0.50,12308.41,30520.02,0.60
48047,ES-BI,ES-PV,Gizaburuaga,2020-01-01,1,1,0.00,121.56,121.56,0.00
48048,ES-BI,ES-PV,Ibarrangelu,2020-01-01,21,21,0.00,1470.96,1470.96,0.00
48049,ES-BI,ES-PV,Ispaster,2020-01-01,22,22,0.00,2349.09,2349.09,0.00
48050,ES-BI,ES-PV,Izurtza,2020-01-01,6,6,0.00,920.72,920.72,0.00
48051,ES-BI,ES-PV,Lanestosa,2020-01-01,9,22,0.59,582.38,2824.84,0.79
48052,ES-BI,ES-PV,Larrabetzu,2020-01-01,35,74,0.53,1449.14,6152.92,0.76
48053,ES-BI,ES-PV,Laukiz,2020-01-01,25,25,0.00,5109.49,5109.49,0.00
48054,ES-BI,ES-PV,Leioa,2020-01-01,166,406,0.59,12444.92,49277.07,0.75
48055,ES-BI,ES-PV,Lemoa,2020-01-01,69,69,0.00,9304.89,9304.89,0.00
48056,ES-BI,ES-PV,Lemoiz,2020-01-01,65,79,0.18,4428.26,5980.11,0.26
48057,ES-BI,ES-PV,Lekeitio,2020-01-01,73,151,0.52,5745.12,15441.60,0.63
48058,ES-BI,ES-PV,Mallabia,2020-01-01,36,38,0.05,6839.45,7050.35,0.03
48059,ES-BI,ES-PV,Mañaria,2020-01-01,10,29,0.66,513.64,1464.21,0.65
48060,ES-BI,ES-PV,Markina-Xemein,2020-01-01,40,99,0.60,2366.98,7854.56,0.70
