id,ES-BU,ES-CL,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
09001,ES-BU,ES-CL,Abajas,2020-01-01,1,40,0.98,7.46,2506.00,1.00
09003,ES-BU,ES-CL,Adrada de Haza,2020-01-01,9,21,0.57,547.80,2500.33,0.78
09006,ES-BU,ES-CL,Aguas Cándidas,2020-01-01,20,23,0.13,1722.34,2096.34,0.18
09007,ES-BU,ES-CL,Aguilar de Bureba,2020-01-01,1,14,0.93,66.31,1811.41,0.96
09009,ES-BU,ES-CL,Albillos,2020-01-01,8,50,0.84,269.78,2827.82,0.90
09010,ES-BU,ES-CL,Alcocero de Mola,2020-01-01,8,14,0.43,495.90,1538.06,0.68
09011,ES-BU,ES-CL,Alfoz de Bricia,2020-01-01,54,70,0.23,7085.34,8369.16,0.15
09012,ES-BU,ES-CL,Alfoz de Santa Gadea,2020-01-01,10,57,0.82,1673.40,6154.50,0.73
09013,ES-BU,ES-CL,Altable,2020-01-01,0,12,1.00,0.00,1187.95,1.00
09014,ES-BU,ES-CL,Los Altos,2020-01-01,41,155,0.74,2726.84,11026.27,0.75
09016,ES-BU,ES-CL,Ameyugo,2020-01-01,14,28,0.50,629.34,1582.52,0.60
09017,ES-BU,ES-CL,Anguix,2020-01-01,25,25,0.00,2812.58,2812.58,0.00
09018,ES-BU,ES-CL,Aranda de Duero,2020-01-01,192,666,0.71,23020.21,101546.67,0.77
09019,ES-BU,ES-CL,Arandilla,2020-01-01,10,57,0.82,570.68,3222.28,0.82
09020,ES-BU,ES-CL,Arauzo de Miel,2020-01-01,6,94,0.94,346.63,6206.26,0.94
09021,ES-BU,ES-CL,Arauzo de Salce,2020-01-01,13,13,0.00,1047.25,1047.25,0.00
09022,ES-BU,ES-CL,Arauzo de Torre,2020-01-01,20,20,0.00,1787.17,1787.17,0.00
09023,ES-BU,ES-CL,Arcos,2020-01-01,23,88,0.74,2457.46,12279.45,0.80
09024,ES-BU,ES-CL,Arenillas de Riopisuerga,2020-01-01,8,45,0.82,275.60,3912.15,0.93
09025,ES-BU,ES-CL,Arija,2020-01-01,1,50,0.98,26.09,8096.02,1.00
09026,ES-BU,ES-CL,Arlanzón,2020-01-01,110,166,0.34,4776.02,9945.19,0.52
09027,ES-BU,ES-CL,Arraya de Oca,2020-01-01,0,14,1.00,0.00,1480.27,1.00
09029,ES-BU,ES-CL,Atapuerca,2020-01-01,30,90,0.67,1116.47,4882.74,0.77
09030,ES-BU,ES-CL,Los Ausines,2020-01-01,18,59,0.69,1329.91,3788.64,0.65
