id,ES-C,ES-GA,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
15001,ES-C,ES-GA,Abegondo,2020-01-01,148,151,0.02,33502.18,33685.08,0.01
15002,ES-C,ES-GA,Ames,2020-01-01,335,484,0.31,45939.14,71601.25,0.36
15003,ES-C,ES-GA,Aranga,2020-01-01,65,65,0.00,10130.88,10130.88,0.00
15004,ES-C,ES-GA,Ares,2020-01-01,13,230,0.94,841.51,39190.44,0.98
15005,ES-C,ES-GA,Arteixo,2020-01-01,335,882,0.62,46868.23,116175.69,0.60
15006,ES-C,ES-GA,Arzúa,2020-01-01,104,166,0.37,16739.91,25544.21,0.34
15007,ES-C,ES-GA,A Baña,2020-01-01,119,122,0.02,17242.99,17728.38,0.03
15008,ES-C,ES-GA,Bergondo,2020-01-01,100,387,0.74,11479.83,88524.67,0.87
15009,ES-C,ES-GA,Betanzos,2020-01-01,113,293,0.61,16911.62,38793.32,0.56
15010,ES-C,ES-GA,Boimorto,2020-01-01,27,27,0.00,7434.61,7434.61,0.00
15011,ES-C,ES-GA,Boiro,2020-01-01,215,302,0.29,31924.62,45267.92,0.29
15012,ES-C,ES-GA,Boqueixón,2020-01-01,44,44,0.00,9409.65,9409.65,0.00
15013,ES-C,ES-GA,Brión,2020-01-01,132,159,0.17,22156.52,28487.13,0.22
15014,ES-C,ES-GA,Cabana de Bergantiños,2020-01-01,276,278,0.01,53423.09,53909.53,0.01
15015,ES-C,ES-GA,Cabanas,2020-01-01,98,125,0.22,18729.21,24192.72,0.23
15016,ES-C,ES-GA,Camariñas,2020-01-01,311,428,0.27,30344.99,48107.99,0.37
15017,ES-C,ES-GA,Cambre,2020-01-01,265,425,0.38,52913.23,70843.78,0.25
15018,ES-C,ES-GA,A Capela,2020-01-01,74,74,0.00,5704.33,5704.33,0.00
15019,ES-C,ES-GA,Carballo,2020-01-01,222,595,0.63,67282.39,123259.80,0.45
15020,ES-C,ES-GA,Carnota,2020-01-01,296,299,0.01,39857.46,40292.84,0.01
15021,ES-C,ES-GA,Carral,2020-01-01,106,162,0.35,12260.97,24126.75,0.49
15022,ES-C,ES-GA,Cedeira,2020-01-01,185,321,0.42,25551.80,40314.18,0.37
