id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
10001,ES-CC,ES-EX,Abadía,2020-01-01,3,45,0.93,309.28,3864.28,0.92
10002,ES-CC,ES-EX,Abertura,2020-01-01,8,95,0.92,745.48,6722.58,0.89
10003,ES-CC,ES-EX,Acebo,2020-01-01,6,86,0.93,306.54,6488.40,0.95
10004,ES-CC,ES-EX,Acehúche,2020-01-01,11,78,0.86,1171.21,9627.74,0.88
10005,ES-CC,ES-EX,Aceituna,2020-01-01,7,60,0.88,648.31,4768.67,0.86
10006,ES-CC,ES-EX,Ahigal,2020-01-01,74,76,0.03,11026.78,11257.86,0.02
10007,ES-CC,ES-EX,Albalá,2020-01-01,6,104,0.94,852.88,12623.57,0.93
10008,ES-CC,ES-EX,Alcántara,2020-01-01,44,126,0.65,4326.48,15316.44,0.72
10009,ES-CC,ES-EX,Alcollarín,2020-01-01,7,76,0.91,653.43,6900.07,0.91
10010,ES-CC,ES-EX,Alcuéscar,2020-01-01,57,133,0.57,5644.82,17925.63,0.69
10011,ES-CC,ES-EX,Aldeacentenera,2020-01-01,48,96,0.50,6127.74,12023.35,0.49
10012,ES-CC,ES-EX,Aldea del Cano,2020-01-01,22,44,0.50,2439.23,6378.23,0.62
10013,ES-CC,ES-EX,La Aldea del Obispo,2020-01-01,6,48,0.88,205.72,5281.43,0.96
10014,ES-CC,ES-EX,Aldeanueva de la Vera,2020-01-01,45,134,0.66,3625.56,11916.88,0.70
10015,ES-CC,ES-EX,Aldeanueva del Camino,2020-01-01,38,42,0.10,5004.45,5796.32,0.14
10016,ES-CC,ES-EX,Aldehuela de Jerte,2020-01-01,0,28,1.00,0.00,2408.75,1.00
10017,ES-CC,ES-EX,Alía,2020-01-01,11,198,0.94,943.73,19461.06,0.95
10018,ES-CC,ES-EX,Aliseda,2020-01-01,10,112,0.91,1216.68,14598.45,0.92
10019,ES-CC,ES-EX,Almaraz,2020-01-01,60,86,0.30,7709.08,10830.10,0.29
