id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
02001,Abengibre,2020-01-01,11,76,0.86,9092.71,311.04,0.97
02002,Alatoz,2020-01-01,19,68,0.72,8395.23,884.94,0.89
02003,Albacete,2020-01-01,385,2068,0.81,345236.43,52765.61,0.85
02004,Albatana,2020-01-01,30,75,0.60,9801.72,2734.84,0.72
02005,Alborea,2020-01-01,23,79,0.71,10096.96,1964.10,0.81
02006,Alcadozo,2020-01-01,49,108,0.55,12962.39,3895.08,0.70
02007,Alcalá del Júcar,2020-01-01,79,162,0.51,19947.95,7970.12,0.60
02008,Alcaraz,2020-01-01,77,210,0.63,20598.28,5577.82,0.73
02009,Almansa,2020-01-01,103,437,0.76,84500.32,16732.61,0.80
02010,Alpera,2020-01-01,26,101,0.74,18440.43,3599.09,0.80
02011,Ayna,2020-01-01,100,204,0.51,13791.89,7363.99,0.47
02012,Balazote,2020-01-01,62,157,0.61,21205.87,8078.57,0.62
02013,Balsa de Ves,2020-01-01,18,91,0.80,9485.66,1434.99,0.85
02014,El Ballestero,2020-01-01,9,53,0.83,7391.70,1006.72,0.86
02015,Barrax,2020-01-01,36,149,0.76,24712.81,5636.07,0.77
02016,Bienservida,2020-01-01,19,99,0.81,8225.30,956.93,0.88
02017,Bogarra,2020-01-01,133,240,0.45,13669.45,6487.47,0.53
02018,Bonete,2020-01-01,27,66,0.59,8418.55,2523.47,0.70
02019,El Bonillo,2020-01-01,36,119,0.70,25999.72,8705.12,0.67
02020,Carcelén,2020-01-01,8,89,0.91,7003.61,645.80,0.91
02021,Casas de Juan Núñez,2020-01-01,11,75,0.85,13942.29,1670.61,0.88
02022,Casas de Lázaro,2020-01-01,68,110,0.38,9916.53,5061.26,0.49
02023,Casas de Ves,2020-01-01,7,75,0.91,12387.02,692.81,0.94
02024,Casas-Ibáñez,2020-01-01,28,181,0.85,24836.68,2317.63,0.91
02025,Caudete,2020-01-01,66,311,0.79,53353.03,11249.53,0.79
02026,Cenizate,2020-01-01,17,86,0.80,12601.64,1489.01,0.88
02027,Corral-Rubio,2020-01-01,12,44,0.73,3732.51,790.59,0.79
02028,Cotillas,2020-01-01,11,71,0.85,3456.17,302.65,0.91
02029,Chinchilla de Monte-Aragón,2020-01-01,150,430,0.65,52029.87,18199.30,0.65
02030,Elche de la Sierra,2020-01-01,177,481,0.63,44857.03,10661.77,0.76
02031,Férez,2020-01-01,41,99,0.59,8034.64,2422.00,0.70
02032,Fuensanta,2020-01-01,30,78,0.62,7096.87,1487.42,0.79
02033,Fuente-Álamo,2020-01-01,23,170,0.86,24709.01,1942.23,0.92
02034,Fuentealbilla,2020-01-01,26,145,0.82,18135.57,2596.95,0.86
02035,La Gineta,2020-01-01,48,171,0.72,24135.44,4372.48,0.82
02036,Golosalvo,2020-01-01,3,26,0.88,2470.63,105.39,0.96
02037,Hellín,2020-01-01,283,967,0.71,121251.19,27820.53,0.77
02038,La Herrera,2020-01-01,17,43,0.60,5868.50,1417.75,0.76
02039,Higueruela,2020-01-01,16,145,0.89,14629.25,1500.09,0.90
02040,Hoya-Gonzalo,2020-01-01,3,69,0.96,7062.53,184.40,0.97
02041,Jorquera,2020-01-01,9,65,0.86,6044.28,735.92,0.88
02042,Letur,2020-01-01,164,335,0.51,19330.40,9163.19,0.53
02043,Lezuza,2020-01-01,69,200,0.66,22362.81,5380.08,0.76
02044,Liétor,2020-01-01,46,169,0.73,12023.66,2185.76,0.82
02045,Madrigueras,2020-01-01,29,226,0.87,35313.20,2746.46,0.92
02046,Mahora,2020-01-01,23,90,0.74,12971.16,2466.95,0.81
02047,Masegoso,2020-01-01,45,98,0.54,6841.88,2910.36,0.57
02048,Minaya,2020-01-01,11,92,0.88,19705.21,981.09,0.95
02049,Molinicos,2020-01-01,250,336,0.26,21577.91,15196.87,0.30
02050,Montalvos,2020-01-01,25,52,0.52,9590.98,7259.17,0.24
02051,Montealegre del Castillo,2020-01-01,9,96,0.91,13843.97,912.20,0.93
02052,Motilleja,2020-01-01,4,55,0.93,6810.66,192.75,0.97
02053,Munera,2020-01-01,38,230,0.83,36163.35,6023.61,0.83
02054,Navas de Jorquera,2020-01-01,7,62,0.89,6264.77,601.01,0.90
02055,Nerpio,2020-01-01,192,325,0.41,21866.94,13816.12,0.37
