id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
28001,La Acebeda,2020-01-01,6,13,0.54,896.41,240.00,0.73
28002,Ajalvir,2020-01-01,5,127,0.96,16672.31,637.88,0.96
28003,Alameda del Valle,2020-01-01,7,41,0.83,5242.64,479.40,0.91
28004,El Álamo,2020-01-01,53,271,0.80,54184.97,3959.73,0.93
28005,Alcalá de Henares,2020-01-01,349,2256,0.85,312137.07,29482.32,0.91
28006,Alcobendas,2020-01-01,557,1544,0.64,188297.06,36546.20,0.81
28007,Alcorcón,2020-01-01,115,1132,0.90,180517.63,6394.95,0.96
28008,Aldea del Fresno,2020-01-01,43,157,0.73,31455.79,10308.23,0.67
28009,Algete,2020-01-01,93,296,0.69,69971.84,10368.38,0.85
28010,Alpedrete,2020-01-01,78,400,0.81,69431.08,5460.21,0.92
28011,Ambite,2020-01-01,49,65,0.25,17009.35,14646.01,0.14
28012,Anchuelo,2020-01-01,3,69,0.96,8782.98,122.05,0.99
28013,Aranjuez,2020-01-01,78,664,0.88,143222.71,5423.56,0.96
28014,Arganda del Rey,2020-01-01,177,945,0.81,150735.17,19019.96,0.87
28015,Arroyomolinos,2020-01-01,23,307,0.93,71377.04,1757.15,0.98
28016,El Atazar,2020-01-01,4,34,0.88,2252.48,105.34,0.95
28017,Batres,2020-01-01,4,87,0.95,17610.22,928.91,0.95
28018,Becerril de la Sierra,2020-01-01,19,367,0.95,52182.46,1009.63,0.98
28019,Belmonte de Tajo,2020-01-01,80,91,0.12,11152.32,9910.70,0.11
28020,Berzosa del Lozoya,2020-01-01,12,47,0.74,4754.10,456.39,0.90
28021,El Berrueco,2020-01-01,9,52,0.83,7104.68,877.81,0.88
28022,Boadilla del Monte,2020-01-01,183,976,0.81,235917.71,35803.02,0.85
28023,El Boalo,2020-01-01,123,362,0.66,56774.88,17549.22,0.69
28024,Braojos,2020-01-01,9,41,0.78,3985.83,493.39,0.88
28025,Brea de Tajo,2020-01-01,8,56,0.86,6509.70,1043.44,0.84
28026,Brunete,2020-01-01,21,229,0.91,34975.56,3923.98,0.89
28027,Buitrago del Lozoya,2020-01-01,13,119,0.89,12973.79,358.30,0.97
28028,Bustarviejo,2020-01-01,35,189,0.81,24836.89,2965.68,0.88
28029,Cabanillas de la Sierra,2020-01-01,6,55,0.89,10806.66,438.77,0.96
28030,La Cabrera,2020-01-01,36,218,0.83,24235.34,2140.59,0.91
28031,Cadalso de los Vidrios,2020-01-01,34,155,0.78,31179.34,11529.74,0.63
28032,Camarma de Esteruelas,2020-01-01,23,196,0.88,40477.71,3097.53,0.92
28033,Campo Real,2020-01-01,29,162,0.82,22738.74,2936.96,0.87
28034,Canencia,2020-01-01,10,53,0.81,6734.79,215.62,0.97
28035,Carabaña,2020-01-01,15,105,0.86,12309.43,1126.17,0.91
28036,Casarrubuelos,2020-01-01,46,153,0.70,17507.10,3557.79,0.80
28037,Cenicientos,2020-01-01,92,167,0.45,18362.56,7272.14,0.60
28038,Cercedilla,2020-01-01,82,348,0.76,49285.27,5689.57,0.88
28039,Cervera de Buitrago,2020-01-01,5,24,0.79,2222.90,263.08,0.88
28040,Ciempozuelos,2020-01-01,11,267,0.96,49756.36,2385.13,0.95
28041,Cobeña,2020-01-01,29,187,0.84,26445.62,1699.54,0.94
28042,Colmenar del Arroyo,2020-01-01,39,120,0.68,15700.86,1827.47,0.88
28043,Colmenar de Oreja,2020-01-01,96,316,0.70,83304.10,28764.51,0.65
28044,Colmenarejo,2020-01-01,18,300,0.94,49037.34,1531.99,0.97
28045,Colmenar Viejo,2020-01-01,162,902,0.82,161789.13,17228.34,0.89
28046,Collado Mediano,2020-01-01,42,252,0.83,45827.68,5206.11,0.89
28047,Collado Villalba,2020-01-01,98,969,0.90,121222.36,4989.69,0.96
28048,Corpa,2020-01-01,5,38,0.87,5738.17,607.39,0.89
28049,Coslada,2020-01-01,50,578,0.91,85691.93,2972.50,0.97
28050,Cubas de la Sagra,2020-01-01,6,130,0.95,24772.16,667.42,0.97
28051,Chapinería,2020-01-01,30,130,0.77,23951.60,4498.99,0.81
28052,Chinchón,2020-01-01,47,193,0.76,39479.80,11763.23,0.70
28053,Daganzo de Arriba,2020-01-01,30,200,0.85,37366.49,2474.97,0.93
28054,El Escorial,2020-01-01,74,416,0.82,89752.22,8367.71,0.91
28055,Estremera,2020-01-01,22,79,0.72,17131.56,10284.09,0.40
28056,Fresnedillas de la Oliva,2020-01-01,16,103,0.84,11349.34,658.80,0.94
28057,Fresno de Torote,2020-01-01,14,97,0.86,26312.37,1196.27,0.95
28058,Fuenlabrada,2020-01-01,62,724,0.91,113811.03,7820.89,0.93
28059,Fuente el Saz de Jarama,2020-01-01,24,139,0.83,25906.14,1597.91,0.94
28060,Fuentidueña de Tajo,2020-01-01,56,105,0.47,20410.38,10668.51,0.48
