id,ES-MA,ES-AN,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
29001,ES-MA,ES-AN,Alameda,2020-01-01,35,124,0.72,3710.32,22229.72,0.83
29002,ES-MA,ES-AN,Alcaucín,2020-01-01,48,123,0.61,10607.78,22472.13,0.53
29003,ES-MA,ES-AN,Alfarnate,2020-01-01,9,71,0.87,4124.05,9737.84,0.58
29004,ES-MA,ES-AN,Alfarnatejo,2020-01-01,11,37,0.70,1594.12,4094.58,0.61
29005,ES-MA,ES-AN,Algarrobo,2020-01-01,37,159,0.77,3712.77,16776.83,0.78
29006,ES-MA,ES-AN,Algatocín,2020-01-01,7,28,0.75,1865.84,4092.93,0.54
29007,ES-MA,ES-AN,Alhaurín de la Torre,2020-01-01,442,995,0.56,74926.29,207718.12,0.64
29008,ES-MA,ES-AN,Alhaurín el Grande,2020-01-01,224,430,0.48,45261.31,77027.63,0.41
29009,ES-MA,ES-AN,Almáchar,2020-01-01,4,94,0.96,345.49,9352.81,0.96
29010,ES-MA,ES-AN,Almargen,2020-01-01,35,49,0.29,5616.70,9766.72,0.42
29011,ES-MA,ES-AN,Almogía,2020-01-01,55,69,0.20,11732.87,13236.34,0.11
29012,ES-MA,ES-AN,Álora,2020-01-01,159,256,0.38,26298.76,39091.92,0.33
29013,ES-MA,ES-AN,Alozaina,2020-01-01,13,78,0.83,1248.21,10469.09,0.88
29014,ES-MA,ES-AN,Alpandeire,2020-01-01,4,8,0.50,782.87,1182.32,0.34
29015,ES-MA,ES-AN,Antequera,2020-01-01,253,686,0.63,44453.12,120595.72,0.63
29016,ES-MA,ES-AN,Árchez,2020-01-01,2,14,0.86,30.17,806.96,0.96
29017,ES-MA,ES-AN,Archidona,2020-01-01,23,292,0.92,4133.98,39264.10,0.89
29018,ES-MA,ES-AN,Ardales,2020-01-01,0,68,1.00,0.00,8287.97,1.00
29019,ES-MA,ES-AN,Arenas,2020-01-01,17,94,0.82,4874.95,11801.20,0.59
29020,ES-MA,ES-AN,Arriate,2020-01-01,102,102,0.00,11895.06,11895.06,0.00
29021,ES-MA,ES-AN,Atajate,2020-01-01,4,19,0.79,118.49,1855.03,0.94
29022,ES-MA,ES-AN,Benadalid,2020-01-01,33,60,0.45,1302.76,3259.94,0.60
29023,ES-MA,ES-AN,Benahavís,2020-01-01,401,536,0.25,140431.84,169102.98,0.17
29024,ES-MA,ES-AN,Benalauría,2020-01-01,18,20,0.10,2591.41,2857.48,0.09
29025,ES-MA,ES-AN,Benalmádena,2020-01-01,345,1301,0.73,27512.37,208340.51,0.87
29026,ES-MA,ES-AN,Benamargosa,2020-01-01,4,110,0.96,421.16,8021.30,0.95
