id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
30001,Abanilla,2020-01-01,137,371,0.63,52274.67,22261.66,0.57
30002,Abarán,2020-01-01,70,247,0.72,32376.47,8627.40,0.73
30003,Águilas,2020-01-01,437,945,0.54,149138.87,65027.20,0.56
30004,Albudeite,2020-01-01,19,94,0.80,9941.79,1016.72,0.90
30005,Alcantarilla,2020-01-01,146,496,0.71,81529.21,22210.25,0.73
30006,Aledo,2020-01-01,31,81,0.62,8157.19,2602.02,0.68
30007,Alguazas,2020-01-01,63,175,0.64,31343.39,9835.48,0.69
30008,Alhama de Murcia,2020-01-01,267,734,0.64,129752.30,51899.91,0.60
30009,Archena,2020-01-01,123,482,0.74,73623.73,9978.34,0.86
30010,Beniel,2020-01-01,37,206,0.82,29204.92,6015.24,0.79
30011,Blanca,2020-01-01,25,160,0.84,17376.23,1209.46,0.93
30012,Bullas,2020-01-01,112,360,0.69,64604.21,18816.50,0.71
30013,Calasparra,2020-01-01,105,381,0.72,67128.05,23226.92,0.65
30014,Campos del Río,2020-01-01,10,86,0.88,9622.22,538.51,0.94
30015,Caravaca de la Cruz,2020-01-01,328,489,0.33,78281.97,51483.65,0.34
30016,Cartagena,2020-01-01,1513,6390,0.76,807445.96,178639.31,0.78
30017,Cehegín,2020-01-01,247,624,0.60,91422.16,38506.23,0.58
30018,Ceutí,2020-01-01,31,406,0.92,63433.77,2295.75,0.96
30019,Cieza,2020-01-01,46,271,0.83,43720.51,7307.38,0.83
30020,Fortuna,2020-01-01,115,349,0.67,69161.79,28450.78,0.59
30021,Fuente Álamo de Murcia,2020-01-01,522,876,0.40,158157.59,106629.15,0.33
30022,Jumilla,2020-01-01,159,364,0.56,65285.94,22911.12,0.65
30023,Librilla,2020-01-01,54,214,0.75,26292.74,7321.78,0.72
30024,Lorca,2020-01-01,900,2039,0.56,220990.22,87434.12,0.60
30025,Lorquí,2020-01-01,100,375,0.73,70762.24,16150.52,0.77
30026,Mazarrón,2020-01-01,658,1248,0.47,171976.40,82429.69,0.52
30027,Molina de Segura,2020-01-01,670,1520,0.56,357241.33,140567.19,0.61
30028,Moratalla,2020-01-01,266,464,0.43,46515.93,26063.04,0.44
30029,Mula,2020-01-01,109,483,0.77,64558.31,12742.57,0.80
30030,Murcia,2020-01-01,3986,9224,0.57,1519508.44,665439.32,0.56
30031,Ojós,2020-01-01,5,32,0.84,2877.68,228.20,0.92
30032,Pliego,2020-01-01,24,219,0.89,21609.84,1500.38,0.93
30033,Puerto Lumbreras,2020-01-01,74,407,0.82,59383.05,6746.10,0.89
30034,Ricote,2020-01-01,13,98,0.87,8764.29,625.14,0.93
30035,San Javier,2020-01-01,286,1126,0.75,199431.79,34048.63,0.83
30036,San Pedro del Pinatar,2020-01-01,118,771,0.85,146125.17,20881.53,0.86
30037,Torre Pacheco,2020-01-01,310,1988,0.84,285349.12,33687.76,0.88
30038,Las Torres de Cotillas,2020-01-01,147,564,0.74,127567.79,25585.61,0.80
30039,Totana,2020-01-01,225,585,0.62,97502.60,43010.37,0.56
30040,Ulea,2020-01-01,14,64,0.78,5129.00,475.94,0.91
30041,La Unión,2020-01-01,200,678,0.71,78105.30,20962.55,0.73
30042,Villanueva del Río Segura,2020-01-01,30,117,0.74,14194.56,2287.35,0.84
30043,Yecla,2020-01-01,258,482,0.46,107773.04,52258.77,0.52
30901,Santomera,2020-01-01,71,399,0.82,63356.34,20829.08,0.67
30902,Los Alcázares,2020-01-01,8,715,0.99,147798.22,842.26,0.99
