id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
31001,Abáigar,2020-01-01,4,21,0.81,1834.73,222.43,0.88
31002,Abárzuza,2020-01-01,7,56,0.88,5594.22,246.63,0.96
31003,Abaurregaina/Abaurrea Alta,2020-01-01,0,22,1.00,3198.67,0.00,1.00
31004,Abaurrepea/Abaurrea Baja,2020-01-01,0,9,1.00,846.09,0.00,1.00
31005,Aberin,2020-01-01,2,23,0.91,3133.61,243.30,0.92
31006,Ablitas,2020-01-01,2,85,0.98,14574.82,307.69,0.98
31007,Adiós,2020-01-01,0,18,1.00,2137.74,0.00,1.00
31008,Aguilar de Codés,2020-01-01,1,12,0.92,2378.93,29.36,0.99
31009,Aibar/Oibar,2020-01-01,4,59,0.93,7711.75,264.40,0.97
31010,Altsasu/Alsasua,2020-01-01,2,162,0.99,19309.63,276.37,0.99
31011,Allín,2020-01-01,7,94,0.93,12757.80,574.01,0.96
31012,Allo,2020-01-01,0,48,1.00,7416.38,0.00,1.00
31013,Améscoa Baja,2020-01-01,5,113,0.96,11877.40,190.53,0.98
31014,Ancín,2020-01-01,2,39,0.95,6636.34,384.33,0.94
31015,Andosilla,2020-01-01,11,106,0.90,15201.59,736.79,0.95
31016,Ansoáin,2020-01-01,1,58,0.98,10537.47,161.75,0.98
31017,Anue,2020-01-01,1,56,0.98,5453.35,36.63,0.99
31018,Añorbe,2020-01-01,1,31,0.97,4523.85,16.47,1.00
31019,Aoiz/Agoitz,2020-01-01,11,61,0.82,11950.52,1435.61,0.88
31020,Araitz,2020-01-01,4,29,0.86,3223.15,121.08,0.96
31021,Aranarache,2020-01-01,0,13,1.00,1470.41,0.00,1.00
31022,Arantza,2020-01-01,3,30,0.90,2392.06,92.41,0.96
31023,Aranguren,2020-01-01,62,374,0.83,43472.32,4900.00,0.89
31024,Arano,2020-01-01,0,10,1.00,703.76,0.00,1.00
31025,Arakil,2020-01-01,0,84,1.00,10288.05,0.00,1.00
31026,Aras,2020-01-01,0,44,1.00,3461.86,0.00,1.00
31027,Arbizu,2020-01-01,0,37,1.00,4615.78,0.00,1.00
31028,Arce/Artzi,2020-01-01,4,66,0.94,6391.83,144.25,0.98
31029,Los Arcos,2020-01-01,3,50,0.94,6152.85,244.83,0.96
31030,Arellano,2020-01-01,1,17,0.94,2915.86,42.83,0.99
31031,Areso,2020-01-01,3,35,0.91,4878.35,1694.21,0.65
31032,Arguedas,2020-01-01,15,130,0.88,12947.77,641.78,0.95
31033,Aria,2020-01-01,0,11,1.00,978.75,0.00,1.00
31034,Aribe,2020-01-01,0,5,1.00,380.88,0.00,1.00
31035,Armañanzas,2020-01-01,1,13,0.92,1300.56,79.12,0.94
31036,Arróniz,2020-01-01,1,47,0.98,6794.92,21.98,1.00
31037,Arruazu,2020-01-01,0,11,1.00,879.93,0.00,1.00
31038,Artajona,2020-01-01,2,75,0.97,11352.93,263.78,0.98
31039,Artazu,2020-01-01,0,11,1.00,1125.61,0.00,1.00
31040,Atez,2020-01-01,0,35,1.00,4697.21,0.00,1.00
31041,Ayegui,2020-01-01,7,136,0.95,21668.51,646.36,0.97
31042,Azagra,2020-01-01,4,80,0.95,14106.36,492.05,0.97
31043,Azuelo,2020-01-01,0,12,1.00,1059.21,0.00,1.00
31044,Bakaiku,2020-01-01,0,31,1.00,2722.37,0.00,1.00
31045,Barásoain,2020-01-01,10,47,0.79,6199.33,1161.55,0.81
31046,Barbarin,2020-01-01,0,10,1.00,1456.72,0.00,1.00
31047,Bargota,2020-01-01,1,29,0.97,3844.79,72.57,0.98
31048,Barillas,2020-01-01,1,24,0.96,3485.35,43.84,0.99
31049,Basaburúa Mayor,2020-01-01,6,98,0.94,10527.55,1426.47,0.86
31050,Baztan,2020-01-01,28,316,0.91,43004.26,4188.75,0.90
31051,Beire,2020-01-01,1,29,0.97,3719.11,64.16,0.98
31052,Belascoáin,2020-01-01,0,16,1.00,1995.76,0.00,1.00
31053,Berbinzana,2020-01-01,0,35,1.00,4757.27,0.00,1.00
31054,Bertizarana,2020-01-01,1,28,0.96,3093.56,217.37,0.93
31055,Betelu,2020-01-01,0,23,1.00,2876.95,0.00,1.00
31056,Biurrun-Olcoz,2020-01-01,7,43,0.84,5615.24,270.97,0.95
31057,Buñuel,2020-01-01,15,81,0.81,18074.95,1239.41,0.93
31058,Auritz/Burguete,2020-01-01,4,18,0.78,2430.31,192.69,0.92
31059,Burgui/Burgi,2020-01-01,1,23,0.96,2906.84,88.81,0.97
31060,Burlada/Burlata,2020-01-01,23,181,0.87,20125.48,1914.95,0.90
31061,El Busto,2020-01-01,1,15,0.93,1889.65,72.40,0.96
31062,Cabanillas,2020-01-01,0,28,1.00,8840.48,0.00,1.00
31063,Cabredo,2020-01-01,0,0,0,0.00,0.00,0
31064,Cadreita,2020-01-01,1,65,0.98,12755.47,70.14,0.99
31065,Caparroso,2020-01-01,6,67,0.91,12025.68,895.53,0.93
31066,Cárcar,2020-01-01,1,44,0.98,9535.46,66.46,0.99
31067,Carcastillo,2020-01-01,4,121,0.97,18449.10,196.45,0.99
31068,Cascante,2020-01-01,19,115,0.83,14781.24,1994.73,0.87
31069,Cáseda,2020-01-01,1,62,0.98,11474.02,1473.71,0.87
31070,Castejón,2020-01-01,16,84,0.81,22382.13,3387.03,0.85
31071,Castillonuevo,2020-01-01,1,7,0.86,550.76,49.30,0.91
31072,Cintruénigo,2020-01-01,13,185,0.93,41967.64,1759.18,0.96
31073,Ziordia,2020-01-01,1,26,0.96,3279.01,95.43,0.97
31074,Cirauqui,2020-01-01,4,65,0.94,5973.44,95.72,0.98
31075,Ciriza,2020-01-01,2,11,0.82,1707.15,171.85,0.90
31076,Cizur,2020-01-01,39,257,0.85,25218.98,1960.13,0.92
31077,Corella,2020-01-01,25,183,0.86,30636.76,2141.55,0.93
31078,Cortes,2020-01-01,8,107,0.93,15732.55,275.20,0.98
31079,Desojo,2020-01-01,1,15,0.93,2096.37,58.23,0.97
31080,Dicastillo,2020-01-01,0,28,1.00,4374.04,0.00,1.00
31081,Donamaria,2020-01-01,0,14,1.00,2118.24,0.00,1.00
31082,Etxalar,2020-01-01,1,28,0.96,3819.70,10.63,1.00
31083,Echarri/Etxarri,2020-01-01,0,10,1.00,1022.25,0.00,1.00
31084,Etxarri-Aranatz,2020-01-01,1,120,0.99,13032.21,841.38,0.94
31085,Etxauri,2020-01-01,6,49,0.88,5694.06,295.45,0.95
31086,Egüés,2020-01-01,131,422,0.69,67567.47,11373.39,0.83
31087,Elgorriaga,2020-01-01,0,6,1.00,914.15,0.00,1.00
31088,Noáin (Valle de Elorz),2020-01-01,25,193,0.87,29564.45,2919.45,0.90
31089,Enériz/Eneritz,2020-01-01,1,40,0.98,4278.13,68.12,0.98
