id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
32001,ES-OR,ES-GA,Allariz,2020-01-01,215,315,0.32,21146.22,34956.40,0.40
32002,ES-OR,ES-GA,Amoeiro,2020-01-01,179,179,0.00,36290.50,36290.50,0.00
32003,ES-OR,ES-GA,A Arnoia,2020-01-01,95,95,0.00,14438.45,14438.45,0.00
32004,ES-OR,ES-GA,Avión,2020-01-01,209,209,0.00,33575.13,33575.13,0.00
32005,ES-OR,ES-GA,Baltar,2020-01-01,135,137,0.01,18730.27,20853.93,0.10
32006,ES-OR,ES-GA,Bande,2020-01-01,279,289,0.03,28907.44,30269.16,0.04
32007,ES-OR,ES-GA,Baños de Molgas,2020-01-01,249,251,0.01,27309.43,27857.99,0.02
32008,ES-OR,ES-GA,Barbadás,2020-01-01,193,301,0.36,31285.86,50074.84,0.38
32009,ES-OR,ES-GA,O Barco de Valdeorras,2020-01-01,208,428,0.51,25571.33,58151.48,0.56
32010,ES-OR,ES-GA,Beade,2020-01-01,17,27,0.37,3071.97,5691.81,0.46
32011,ES-OR,ES-GA,Beariz,2020-01-01,80,85,0.06,10585.16,12242.44,0.14
32012,ES-OR,ES-GA,Os Blancos,2020-01-01,119,119,0.00,15527.04,15527.04,0.00
32013,ES-OR,ES-GA,Boborás,2020-01-01,283,286,0.01,39116.55,39514.17,0.01
32014,ES-OR,ES-GA,A Bola,2020-01-01,149,149,0.00,16844.68,16844.68,0.00
32015,ES-OR,ES-GA,O Bolo,2020-01-01,223,235,0.05,31127.87,32439.81,0.04
32016,ES-OR,ES-GA,Calvos de Randín,2020-01-01,174,175,0.01,23021.26,23066.50,0.00
32017,ES-OR,ES-GA,Carballeda de Valdeorras,2020-01-01,155,159,0.03,23698.19,25437.34,0.07
32018,ES-OR,ES-GA,Carballeda de Avia,2020-01-01,157,160,0.02,22076.12,22406.35,0.01
32019,ES-OR,ES-GA,O Carballiño,2020-01-01,412,490,0.16,60176.35,74138.84,0.19
32020,ES-OR,ES-GA,Cartelle,2020-01-01,333,334,0.00,47998.82,48081.42,0.00
32021,ES-OR,ES-GA,Castrelo do Val,2020-01-01,221,232,0.05,21838.27,24265.38,0.10
32022,ES-OR,ES-GA,Castrelo de Miño,2020-01-01,149,158,0.06,28455.46,29963.54,0.05
32023,ES-OR,ES-GA,Castro Caldelas,2020-01-01,277,331,0.16,21107.89,28943.16,0.27
32024,ES-OR,ES-GA,Celanova,2020-01-01,355,401,0.11,43414.11,50086.39,0.13
32025,ES-OR,ES-GA,Cenlle,2020-01-01,133,142,0.06,20521.41,21318.12,0.04
32026,ES-OR,ES-GA,Coles,2020-01-01,188,190,0.01,36181.34,36425.34,0.01
32027,ES-OR,ES-GA,Cortegada,2020-01-01,131,145,0.10,19516.66,22546.39,0.13
32028,ES-OR,ES-GA,Cualedro,2020-01-01,226,232,0.03,26174.20,27052.06,0.03
32029,ES-OR,ES-GA,Chandrexa de Queixa,2020-01-01,66,66,0.00,7699.85,7699.85,0.00
32030,ES-OR,ES-GA,Entrimo,2020-01-01,114,116,0.02,19695.59,19780.78,0.00
32031,ES-OR,ES-GA,Esgos,2020-01-01,181,181,0.00,16471.31,16471.31,0.00
32032,ES-OR,ES-GA,Xinzo de Limia,2020-01-01,374,398,0.06,65098.73,70815.68,0.08
32033,ES-OR,ES-GA,Gomesende,2020-01-01,140,140,0.00,18207.22,18207.22,0.00
32034,ES-OR,ES-GA,A Gudiña,2020-01-01,128,166,0.23,14099.64,20371.85,0.31
32035,ES-OR,ES-GA,O Irixo,2020-01-01,247,247,0.00,32371.03,32371.03,0.00
32036,ES-OR,ES-GA,Xunqueira de Ambía,2020-01-01,134,160,0.16,18778.28,20407.68,0.08
32037,ES-OR,ES-GA,Xunqueira de Espadanedo,2020-01-01,106,106,0.00,14789.71,14789.71,0.00
32038,ES-OR,ES-GA,Larouco,2020-01-01,40,75,0.47,5516.21,9409.81,0.41
32039,ES-OR,ES-GA,Laza,2020-01-01,186,227,0.18,28987.81,32857.63,0.12
32040,ES-OR,ES-GA,Leiro,2020-01-01,141,142,0.01,23427.07,23715.98,0.01
32041,ES-OR,ES-GA,Lobeira,2020-01-01,126,130,0.03,18900.90,19646.22,0.04
32042,ES-OR,ES-GA,Lobios,2020-01-01,209,209,0.00,30636.20,30636.20,0.00
32043,ES-OR,ES-GA,Maceda,2020-01-01,320,361,0.11,28795.82,34430.30,0.16
