id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
26001,Ábalos,2020-01-01,32,43,0.26,2725.87,4616.23,0.41
26002,Agoncillo,2020-01-01,29,63,0.54,3023.81,11988.69,0.75
26003,Aguilar del Río Alhama,2020-01-01,77,78,0.01,5414.32,5502.59,0.02
26004,Ajamil,2020-01-01,11,11,0.00,1100.10,1100.10,0.00
26005,Albelda de Iregua,2020-01-01,39,102,0.62,6213.74,18001.49,0.65
26006,Alberite,2020-01-01,64,64,0.00,9310.90,9310.90,0.00
26007,Alcanadre,2020-01-01,75,101,0.26,4757.51,8604.05,0.45
26008,Aldeanueva de Ebro,2020-01-01,47,139,0.66,6981.92,25435.32,0.73
26009,Alesanco,2020-01-01,10,48,0.79,889.38,6656.44,0.87
26010,Alesón,2020-01-01,13,13,0.00,1268.77,1268.77,0.00
26011,Alfaro,2020-01-01,84,304,0.72,12940.38,42415.67,0.69
26012,Almarza de Cameros,2020-01-01,15,15,0.00,1403.42,1403.42,0.00
26013,Anguciana,2020-01-01,17,45,0.62,2101.11,6364.48,0.67
26014,Anguiano,2020-01-01,6,207,0.97,328.12,7708.39,0.96
26015,Arenzana de Abajo,2020-01-01,25,25,0.00,3302.25,3302.25,0.00
26016,Arenzana de Arriba,2020-01-01,9,9,0.00,1242.95,1242.95,0.00
26017,Arnedillo,2020-01-01,46,47,0.02,4697.65,5183.42,0.09
26018,Arnedo,2020-01-01,93,273,0.66,11124.78,33866.61,0.67
26019,Arrúbal,2020-01-01,43,78,0.45,9879.14,17304.24,0.43
26020,Ausejo,2020-01-01,70,70,0.00,10905.04,10905.04,0.00
26021,Autol,2020-01-01,65,104,0.38,7024.94,12225.17,0.43
26022,Azofra,2020-01-01,20,38,0.47,2135.29,4405.07,0.52
26023,Badarán,2020-01-01,36,36,0.00,5626.77,5626.77,0.00
26024,Bañares,2020-01-01,60,61,0.02,9745.02,9763.11,0.00
26025,Baños de Rioja,2020-01-01,16,16,0.00,1702.81,1702.81,0.00
26026,Baños de Río Tobía,2020-01-01,39,39,0.00,7554.40,7554.40,0.00
26027,Berceo,2020-01-01,20,20,0.00,2895.29,2895.29,0.00
26028,Bergasa,2020-01-01,16,16,0.00,1954.06,1954.06,0.00
26029,Bergasillas Bajera,2020-01-01,3,3,0.00,443.48,443.48,0.00
26030,Bezares,2020-01-01,10,10,0.00,1031.57,1031.57,0.00
26031,Bobadilla,2020-01-01,5,5,0.00,710.06,710.06,0.00
26032,Brieva de Cameros,2020-01-01,13,13,0.00,1396.48,1396.48,0.00
26033,Briñas,2020-01-01,19,40,0.53,1278.46,3674.14,0.65
26034,Briones,2020-01-01,42,71,0.41,7184.24,11842.55,0.39
26035,Cabezón de Cameros,2020-01-01,6,6,0.00,496.83,496.83,0.00
26036,Calahorra,2020-01-01,83,242,0.66,9366.05,40545.73,0.77
26037,Camprovín,2020-01-01,8,8,0.00,1395.07,1395.07,0.00
26038,Canales de la Sierra,2020-01-01,5,12,0.58,221.40,669.97,0.67
26039,Canillas de Río Tuerto,2020-01-01,13,13,0.00,2032.80,2032.80,0.00
26040,Cañas,2020-01-01,15,15,0.00,1457.09,1457.09,0.00
26041,Cárdenas,2020-01-01,15,15,0.00,1773.64,1773.64,0.00
26042,Casalarreina,2020-01-01,58,78,0.26,9105.46,13435.60,0.32
26043,Castañares de Rioja,2020-01-01,1,23,0.96,36.24,4163.14,0.99
26044,Castroviejo,2020-01-01,1,1,0.00,563.38,563.38,0.00
26045,Cellorigo,2020-01-01,1,7,0.86,91.04,1436.94,0.94
26046,Cenicero,2020-01-01,33,74,0.55,3281.13,8439.98,0.61
26047,Cervera del Río Alhama,2020-01-01,113,117,0.03,15914.75,16446.95,0.03
26048,Cidamón,2020-01-01,1,1,0.00,66.33,66.33,0.00
26049,Cihuri,2020-01-01,49,50,0.02,6646.20,6667.21,0.00
26050,Cirueña,2020-01-01,33,39,0.15,6789.78,8122.24,0.16
26051,Clavijo,2020-01-01,33,36,0.08,3277.39,3756.16,0.13
26052,Cordovín,2020-01-01,24,24,0.00,3123.86,3123.86,0.00
26053,Corera,2020-01-01,20,20,0.00,2793.92,2793.92,0.00
26054,Cornago,2020-01-01,71,79,0.10,5607.70,6549.35,0.14
26055,Corporales,2020-01-01,13,13,0.00,1582.79,1582.79,0.00
26056,Cuzcurrita de Río Tirón,2020-01-01,44,63,0.30,5745.86,9075.05,0.37
26057,Daroca de Rioja,2020-01-01,8,8,0.00,1186.69,1186.69,0.00
26058,Enciso,2020-01-01,7,41,0.83,416.84,3863.87,0.89
26059,Entrena,2020-01-01,83,83,0.00,11773.04,11773.04,0.00
26060,Estollo,2020-01-01,22,22,0.00,2917.25,2917.25,0.00
26061,Ezcaray,2020-01-01,50,158,0.68,3593.59,16451.27,0.78
26062,Foncea,2020-01-01,13,13,0.00,2102.08,2102.08,0.00
26063,Fonzaleche,2020-01-01,24,48,0.50,1749.25,4294.55,0.59
26064,Fuenmayor,2020-01-01,78,89,0.12,10282.92,11655.75,0.12
26065,Galbárruli,2020-01-01,24,24,0.00,1773.72,1773.72,0.00
26066,Galilea,2020-01-01,27,27,0.00,4248.09,4248.09,0.00
26067,Gallinero de Cameros,2020-01-01,9,9,0.00,811.43,811.43,0.00
26068,Gimileo,2020-01-01,15,15,0.00,1481.58,1481.58,0.00
26069,Grañón,2020-01-01,14,22,0.36,978.16,3004.42,0.67
26070,Grávalos,2020-01-01,15,25,0.40,1638.38,3562.25,0.54
26071,Haro,2020-01-01,119,272,0.56,11840.43,39372.57,0.70
26072,Herce,2020-01-01,8,8,0.00,1323.40,1323.40,0.00
26073,Herramélluri,2020-01-01,9,16,0.44,665.11,1991.37,0.67
26074,Hervías,2020-01-01,22,22,0.00,3137.85,3137.85,0.00
26075,Hormilla,2020-01-01,43,43,0.00,4789.31,4789.31,0.00
