id,ES-Z,ES-AR,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
50001,ES-Z,ES-AR,Abanto,2020-01-01,16,16,0.00,2209.37,2209.37,0.00
50002,ES-Z,ES-AR,Acered,2020-01-01,10,10,0.00,2061.65,2061.65,0.00
50003,ES-Z,ES-AR,Agón,2020-01-01,14,14,0.00,1572.34,1572.34,0.00
50004,ES-Z,ES-AR,Aguarón,2020-01-01,26,26,0.00,4992.41,4992.41,0.00
50005,ES-Z,ES-AR,Aguilón,2020-01-01,23,23,0.00,2768.43,2768.43,0.00
50006,ES-Z,ES-AR,Ainzón,2020-01-01,32,32,0.00,8470.61,8470.61,0.00
50007,ES-Z,ES-AR,Aladrén,2020-01-01,5,5,0.00,1268.64,1268.64,0.00
50008,ES-Z,ES-AR,Alagón,2020-01-01,50,202,0.75,3429.46,24809.39,0.86
50009,ES-Z,ES-AR,Alarba,2020-01-01,14,16,0.13,1574.95,1997.58,0.21
50010,ES-Z,ES-AR,Alberite de San Juan,2020-01-01,7,7,0.00,1038.81,1038.81,0.00
50011,ES-Z,ES-AR,Albeta,2020-01-01,10,10,0.00,1101.26,1101.26,0.00
50012,ES-Z,ES-AR,Alborge,2020-01-01,8,14,0.43,1288.86,2070.66,0.38
50013,ES-Z,ES-AR,Alcalá de Ebro,2020-01-01,3,28,0.89,1185.38,4056.00,0.71
50014,ES-Z,ES-AR,Alcalá de Moncayo,2020-01-01,11,11,0.00,1538.15,1538.15,0.00
50015,ES-Z,ES-AR,Alconchel de Ariza,2020-01-01,14,14,0.00,2532.46,2532.46,0.00
50016,ES-Z,ES-AR,Aldehuela de Liestos,2020-01-01,15,15,0.00,1562.82,1562.82,0.00
50017,ES-Z,ES-AR,Alfajarín,2020-01-01,72,106,0.32,11753.45,21037.91,0.44
50018,ES-Z,ES-AR,Alfamén,2020-01-01,56,56,0.00,12327.14,12327.14,0.00
50019,ES-Z,ES-AR,Alforque,2020-01-01,3,3,0.00,684.63,684.63,0.00
50020,ES-Z,ES-AR,Alhama de Aragón,2020-01-01,3,32,0.91,133.60,4506.66,0.97
50021,ES-Z,ES-AR,Almochuel,2020-01-01,9,10,0.10,1273.98,1329.68,0.04
50022,ES-Z,ES-AR,La Almolda,2020-01-01,9,33,0.73,2733.22,7448.58,0.63
50023,ES-Z,ES-AR,Almonacid de la Cuba,2020-01-01,3,17,0.82,480.23,4813.24,0.90
50024,ES-Z,ES-AR,Almonacid de la Sierra,2020-01-01,43,55,0.22,7010.97,8642.30,0.19
50025,ES-Z,ES-AR,La Almunia de Doña Godina,2020-01-01,29,165,0.82,3288.74,25190.74,0.87
50026,ES-Z,ES-AR,Alpartir,2020-01-01,15,26,0.42,2930.08,3723.68,0.21
50027,ES-Z,ES-AR,Ambel,2020-01-01,24,24,0.00,4623.20,4623.20,0.00
50028,ES-Z,ES-AR,Anento,2020-01-01,5,9,0.44,497.69,998.28,0.50
50029,ES-Z,ES-AR,Aniñón,2020-01-01,24,24,0.00,2609.56,2609.56,0.00
50030,ES-Z,ES-AR,Añón de Moncayo,2020-01-01,10,10,0.00,3341.13,3341.13,0.00
50031,ES-Z,ES-AR,Aranda de Moncayo,2020-01-01,11,11,0.00,2277.96,2277.96,0.00
50032,ES-Z,ES-AR,Arándiga,2020-01-01,10,10,0.00,2205.48,2205.48,0.00
50033,ES-Z,ES-AR,Ardisa,2020-01-01,0,7,1.00,0.00,458.87,1.00
50034,ES-Z,ES-AR,Ariza,2020-01-01,64,119,0.46,8496.06,14191.64,0.40
50035,ES-Z,ES-AR,Artieda,2020-01-01,4,11,0.64,651.57,1126.40,0.42
50036,ES-Z,ES-AR,Asín,2020-01-01,8,8,0.00,1617.79,1617.79,0.00
50037,ES-Z,ES-AR,Atea,2020-01-01,30,30,0.00,3482.09,3482.09,0.00
50038,ES-Z,ES-AR,Ateca,2020-01-01,23,85,0.73,1294.96,8776.39,0.85
50039,ES-Z,ES-AR,Azuara,2020-01-01,39,45,0.13,5953.02,6483.07,0.08
50040,ES-Z,ES-AR,Badules,2020-01-01,18,18,0.00,1968.36,1968.36,0.00
50041,ES-Z,ES-AR,Bagüés,2020-01-01,3,11,0.73,404.18,798.66,0.49
50042,ES-Z,ES-AR,Balconchán,2020-01-01,2,2,0.00,282.76,282.76,0.00
50043,ES-Z,ES-AR,Bárboles,2020-01-01,11,26,0.58,1463.80,3442.83,0.57
50044,ES-Z,ES-AR,Bardallur,2020-01-01,10,16,0.38,869.06,1992.87,0.56
50045,ES-Z,ES-AR,Belchite,2020-01-01,16,54,0.70,1260.81,12212.87,0.90
50046,ES-Z,ES-AR,Belmonte de Gracián,2020-01-01,16,16,0.00,1791.45,1791.45,0.00
50047,ES-Z,ES-AR,Berdejo,2020-01-01,12,12,0.00,1391.58,1391.58,0.00
50048,ES-Z,ES-AR,Berrueco,2020-01-01,18,18,0.00,1356.85,1356.85,0.00
50050,ES-Z,ES-AR,Bijuesca,2020-01-01,3,3,0.00,636.68,636.68,0.00
50051,ES-Z,ES-AR,Biota,2020-01-01,52,52,0.00,7521.90,7521.90,0.00
