id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
46001,ES-V,ES-VC,Ademuz,2020-02-01,23,70,0.67,2608.92,7332.50,0.64
46002,ES-V,ES-VC,Ador,2020-02-01,1,48,0.98,4.99,7930.50,1.00
46003,ES-V,ES-VC,Atzeneta d'Albaida,2020-02-01,10,68,0.85,940.36,5996.97,0.84
46004,ES-V,ES-VC,Agullent,2020-02-01,21,85,0.75,7537.41,15732.24,0.52
46005,ES-V,ES-VC,Alaquàs,2020-02-01,31,231,0.87,3432.88,42859.58,0.92
46006,ES-V,ES-VC,Albaida,2020-02-01,40,222,0.82,2403.32,24057.53,0.90
46007,ES-V,ES-VC,Albal,2020-02-01,32,231,0.86,3352.68,46538.97,0.93
46008,ES-V,ES-VC,Albalat de la Ribera,2020-02-01,2,85,0.98,116.47,12619.15,0.99
46009,ES-V,ES-VC,Albalat dels Sorells,2020-02-01,3,78,0.96,163.02,13346.48,0.99
46010,ES-V,ES-VC,Albalat dels Tarongers,2020-02-01,19,126,0.85,2658.49,20900.04,0.87
46011,ES-V,ES-VC,Alberic,2020-02-01,4,339,0.99,250.67,59242.12,1.00
46012,ES-V,ES-VC,Alborache,2020-02-01,0,63,1.00,0.00,9341.54,1.00
46013,ES-V,ES-VC,Alboraia / Alboraya,2020-02-01,34,309,0.89,2775.81,44624.43,0.94
46014,ES-V,ES-VC,Albuixech,2020-02-01,8,78,0.90,514.52,13900.78,0.96
46015,ES-V,ES-VC,Alcàsser,2020-02-01,34,148,0.77,4395.59,26306.01,0.83
46016,ES-V,ES-VC,Alcàntera de Xúquer,2020-02-01,4,48,0.92,220.32,5734.69,0.96
46017,ES-V,ES-VC,Alzira,2020-02-01,85,747,0.89,6436.68,113913.97,0.94
46018,ES-V,ES-VC,Alcublas,2020-02-01,0,83,1.00,0.00,6897.04,1.00
46019,ES-V,ES-VC,l'Alcúdia,2020-02-01,0,357,1.00,0.00,52556.00,1.00
46020,ES-V,ES-VC,l'Alcúdia de Crespins,2020-02-01,6,133,0.95,381.54,16659.84,0.98
46021,ES-V,ES-VC,Aldaia,2020-02-01,101,437,0.77,18816.38,69208.44,0.73
46022,ES-V,ES-VC,Alfafar,2020-02-01,15,179,0.92,855.74,27530.75,0.97
46023,ES-V,ES-VC,Alfauir,2020-02-01,0,23,1.00,0.00,2315.31,1.00
46024,ES-V,ES-VC,Alfara de la Baronia,2020-02-01,2,45,0.96,416.32,4542.85,0.91
46025,ES-V,ES-VC,Alfara del Patriarca,2020-02-01,24,86,0.72,2697.54,11497.61,0.77
46026,ES-V,ES-VC,Alfarp,2020-02-01,0,57,1.00,0.00,8221.16,1.00
46027,ES-V,ES-VC,Alfarrasí,2020-02-01,0,42,1.00,0.00,5164.86,1.00
46028,ES-V,ES-VC,Algar de Palancia,2020-02-01,0,76,1.00,0.00,8106.63,1.00
46029,ES-V,ES-VC,Algemesí,2020-02-01,29,417,0.93,4378.85,65864.43,0.93
46030,ES-V,ES-VC,Algímia d'Alfara,2020-02-01,0,60,1.00,0.00,7452.43,1.00
46031,ES-V,ES-VC,Alginet,2020-02-01,7,257,0.97,618.98,48965.90,0.99
46032,ES-V,ES-VC,Almàssera,2020-02-01,2,79,0.97,234.83,10631.63,0.98
46033,ES-V,ES-VC,Almiserà,2020-02-01,0,20,1.00,0.00,1791.50,1.00
46034,ES-V,ES-VC,Almoines,2020-02-01,4,57,0.93,201.16,6210.12,0.97
46035,ES-V,ES-VC,Almussafes,2020-02-01,20,182,0.89,1637.13,25224.35,0.94
46036,ES-V,ES-VC,Alpuente,2020-02-01,1,179,0.99,201.63,17514.82,0.99
46037,ES-V,ES-VC,l'Alqueria de la Comtessa,2020-02-01,7,82,0.91,966.25,10147.85,0.90
46038,ES-V,ES-VC,Andilla,2020-02-01,3,30,0.90,129.67,3233.67,0.96
46039,ES-V,ES-VC,Anna,2020-02-01,11,103,0.89,1318.90,11817.74,0.89
46040,ES-V,ES-VC,Antella,2020-02-01,0,55,1.00,0.00,5551.22,1.00
