id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
22001,ES-HU,ES-AR,Abiego,2020-03-01,3,31,0.90,218.88,2985.03,0.93
22002,ES-HU,ES-AR,Abizanda,2020-03-01,21,30,0.30,1513.19,2527.85,0.40
22003,ES-HU,ES-AR,Adahuesca,2020-03-01,1,13,0.92,284.68,1311.48,0.78
22006,ES-HU,ES-AR,Aísa,2020-03-01,22,56,0.61,2588.17,5490.75,0.53
22007,ES-HU,ES-AR,Albalate de Cinca,2020-03-01,43,70,0.39,5048.59,8626.41,0.41
22008,ES-HU,ES-AR,Albalatillo,2020-03-01,16,16,0.00,3008.00,3008.00,0.00
22009,ES-HU,ES-AR,Albelda,2020-03-01,10,30,0.67,701.04,3308.98,0.79
22012,ES-HU,ES-AR,Albero Bajo,2020-03-01,9,24,0.63,524.39,2827.71,0.81
22013,ES-HU,ES-AR,Alberuela de Tubo,2020-03-01,24,24,0.00,3977.83,3977.83,0.00
22016,ES-HU,ES-AR,Alcampell,2020-03-01,3,55,0.95,315.22,5982.10,0.95
22017,ES-HU,ES-AR,Alcolea de Cinca,2020-03-01,23,52,0.56,1912.83,7075.65,0.73
22018,ES-HU,ES-AR,Alcubierre,2020-03-01,8,32,0.75,792.82,4666.69,0.83
22020,ES-HU,ES-AR,Alfántega,2020-03-01,20,29,0.31,1097.66,2407.34,0.54
22022,ES-HU,ES-AR,Almunia de San Juan,2020-03-01,25,51,0.51,1815.06,7512.00,0.76
22023,ES-HU,ES-AR,Almuniente,2020-03-01,21,42,0.50,4681.70,6852.98,0.32
22024,ES-HU,ES-AR,Alquézar,2020-03-01,19,34,0.44,2862.73,4473.96,0.36
22025,ES-HU,ES-AR,Altorricón,2020-03-01,17,80,0.79,1159.80,9050.82,0.87
22028,ES-HU,ES-AR,Ansó,2020-03-01,6,49,0.88,398.84,3439.01,0.88
22032,ES-HU,ES-AR,Aragüés del Puerto,2020-03-01,6,52,0.88,300.92,2615.22,0.88
22035,ES-HU,ES-AR,Arén,2020-03-01,13,26,0.50,1506.89,2820.39,0.47
22039,ES-HU,ES-AR,Ayerbe,2020-03-01,1,52,0.98,63.23,7111.70,0.99
22040,ES-HU,ES-AR,Azanuy-Alins,2020-03-01,19,31,0.39,1910.35,3164.01,0.40
22041,ES-HU,ES-AR,Azara,2020-03-01,8,8,0.00,1352.09,1352.09,0.00
22042,ES-HU,ES-AR,Azlor,2020-03-01,5,5,0.00,1516.21,1516.21,0.00
22043,ES-HU,ES-AR,Baells,2020-03-01,8,14,0.43,1043.75,1412.42,0.26
22044,ES-HU,ES-AR,Bailo,2020-03-01,38,68,0.44,2409.38,5519.39,0.56
22045,ES-HU,ES-AR,Baldellou,2020-03-01,2,3,0.33,179.07,602.86,0.70
22046,ES-HU,ES-AR,Ballobar,2020-03-01,14,45,0.69,1576.04,5978.81,0.74
22047,ES-HU,ES-AR,Banastás,2020-03-01,0,22,1.00,0.00,3711.55,1.00
22048,ES-HU,ES-AR,Barbastro,2020-03-01,107,451,0.76,10517.93,63646.46,0.83
22049,ES-HU,ES-AR,Barbués,2020-03-01,0,11,1.00,0.00,1045.71,1.00
22050,ES-HU,ES-AR,Barbuñales,2020-03-01,7,15,0.53,479.97,2464.38,0.81
22051,ES-HU,ES-AR,Bárcabo,2020-03-01,15,15,0.00,1177.11,1177.11,0.00
22052,ES-HU,ES-AR,Belver de Cinca,2020-03-01,19,41,0.54,1881.67,7090.26,0.73
