id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
25001,ES-L,ES-CT,Abella de la Conca,2021-03-17,5,16,0.69,66.32,1282.86,0.95
25002,ES-L,ES-CT,Àger,2021-03-17,10,106,0.91,482.52,11730.00,0.96
25003,ES-L,ES-CT,Agramunt,2021-03-17,46,255,0.82,2576.68,32944.39,0.92
25004,ES-L,ES-CT,els Alamús,2021-03-17,5,37,0.86,305.99,4542.57,0.93
25005,ES-L,ES-CT,Alàs i Cerc,2021-03-17,5,64,0.92,190.85,5032.16,0.96
25006,ES-L,ES-CT,l'Albagés,2021-03-17,12,30,0.60,1211.69,3401.20,0.64
25007,ES-L,ES-CT,Albatàrrec,2021-03-17,11,52,0.79,410.01,9445.51,0.96
25008,ES-L,ES-CT,Albesa,2021-03-17,12,65,0.82,1835.27,10205.90,0.82
25009,ES-L,ES-CT,l'Albi,2021-03-17,18,75,0.76,946.83,8189.65,0.88
25010,ES-L,ES-CT,Alcanó,2021-03-17,11,27,0.59,802.37,2492.47,0.68
25011,ES-L,ES-CT,Alcarràs,2021-03-17,8,166,0.95,1562.25,30427.73,0.95
25012,ES-L,ES-CT,Alcoletge,2021-03-17,40,118,0.66,4080.79,18186.45,0.78
25013,ES-L,ES-CT,Alfarràs,2021-03-17,1,96,0.99,29.09,11647.09,1.00
25014,ES-L,ES-CT,Alfés,2021-03-17,2,27,0.93,88.49,2743.62,0.97
25015,ES-L,ES-CT,Algerri,2021-03-17,6,37,0.84,234.40,4371.30,0.95
25016,ES-L,ES-CT,Alguaire,2021-03-17,48,125,0.62,4704.74,18095.35,0.74
25017,ES-L,ES-CT,Alins,2021-03-17,1,52,0.98,11.29,4433.12,1.00
25019,ES-L,ES-CT,Almacelles,2021-03-17,7,128,0.95,969.13,30931.31,0.97
25020,ES-L,ES-CT,Almatret,2021-03-17,5,24,0.79,1297.34,3399.70,0.62
25021,ES-L,ES-CT,Almenar,2021-03-17,17,126,0.87,1706.82,16975.18,0.90
25022,ES-L,ES-CT,Alòs de Balaguer,2021-03-17,4,19,0.79,92.21,1906.79,0.95
25023,ES-L,ES-CT,Alpicat,2021-03-17,35,189,0.81,3732.71,34302.53,0.89
25024,ES-L,ES-CT,Alt Àneu,2021-03-17,25,138,0.82,1745.67,7829.23,0.78
25025,ES-L,ES-CT,Naut Aran,2021-03-17,20,270,0.93,758.57,24816.81,0.97
25027,ES-L,ES-CT,Anglesola,2021-03-17,6,67,0.91,554.11,9636.52,0.94
25029,ES-L,ES-CT,Arbeca,2021-03-17,18,133,0.86,596.61,20836.32,0.97
25030,ES-L,ES-CT,el Pont de Bar,2021-03-17,0,50,1.00,0.00,3830.68,1.00
25031,ES-L,ES-CT,Arres,2021-03-17,8,27,0.70,185.00,1136.69,0.84
25032,ES-L,ES-CT,Arsèguel,2021-03-17,0,17,1.00,0.00,1182.01,1.00
25033,ES-L,ES-CT,Artesa de Lleida,2021-03-17,1,70,0.99,95.91,8613.42,0.99
25034,ES-L,ES-CT,Artesa de Segre,2021-03-17,47,282,0.83,2706.71,25071.30,0.89
25035,ES-L,ES-CT,la Sentiu de Sió,2021-03-17,13,53,0.75,1384.24,7186.29,0.81
25036,ES-L,ES-CT,Aspa,2021-03-17,7,29,0.76,469.69,2370.60,0.80
25037,ES-L,ES-CT,les Avellanes i Santa Linya,2021-03-17,12,119,0.90,451.85,7110.68,0.94
25038,ES-L,ES-CT,Aitona,2021-03-17,15,60,0.75,2461.50,9198.00,0.73
25039,ES-L,ES-CT,Baix Pallars,2021-03-17,4,80,0.95,372.84,3923.12,0.90
25040,ES-L,ES-CT,Balaguer,2021-03-17,52,326,0.84,4935.79,46821.55,0.89
25041,ES-L,ES-CT,Barbens,2021-03-17,15,42,0.64,1858.47,6289.94,0.70
25042,ES-L,ES-CT,la Baronia de Rialb,2021-03-17,0,19,1.00,0.00,1128.21,1.00
25043,ES-L,ES-CT,la Vall de Boí,2021-03-17,6,165,0.96,447.09,11843.51,0.96
25044,ES-L,ES-CT,Bassella,2021-03-17,0,18,1.00,0.00,1268.77,1.00
25045,ES-L,ES-CT,Bausen,2021-03-17,0,22,1.00,0.00,1100.30,1.00
25046,ES-L,ES-CT,Belianes,2021-03-17,17,52,0.67,933.34,4982.04,0.81
25047,ES-L,ES-CT,Bellcaire d'Urgell,2021-03-17,0,77,1.00,0.00,10910.23,1.00
25048,ES-L,ES-CT,Bell-lloc d'Urgell,2021-03-17,12,140,0.91,976.48,21772.66,0.96
25049,ES-L,ES-CT,Bellmunt d'Urgell,2021-03-17,0,25,1.00,0.00,3195.24,1.00
25050,ES-L,ES-CT,Bellpuig,2021-03-17,61,180,0.66,6751.65,21780.28,0.69
25051,ES-L,ES-CT,Bellver de Cerdanya,2021-03-17,24,240,0.90,2086.03,29878.02,0.93
25052,ES-L,ES-CT,Bellvís,2021-03-17,17,127,0.87,707.92,17112.80,0.96
25053,ES-L,ES-CT,Benavent de Segrià,2021-03-17,13,47,0.72,800.17,4406.43,0.82
25055,ES-L,ES-CT,Biosca,2021-03-17,3,43,0.93,13.39,2681.74,1.00
25056,ES-L,ES-CT,Bovera,2021-03-17,7,25,0.72,337.59,2559.02,0.87
25057,ES-L,ES-CT,es Bòrdes,2021-03-17,0,41,1.00,0.00,2745.11,1.00
25058,ES-L,ES-CT,les Borges Blanques,2021-03-17,28,144,0.81,4148.53,23892.89,0.83
25059,ES-L,ES-CT,Bossòst,2021-03-17,0,54,1.00,0.00,5214.23,1.00
25060,ES-L,ES-CT,Cabanabona,2021-03-17,16,27,0.41,586.66,1679.59,0.65
25061,ES-L,ES-CT,Cabó,2021-03-17,4,29,0.86,74.93,1396.42,0.95
25062,ES-L,ES-CT,Camarasa,2021-03-17,46,124,0.63,3401.26,9557.45,0.64
25063,ES-L,ES-CT,Canejan,2021-03-17,2,18,0.89,47.59,951.36,0.95
25064,ES-L,ES-CT,Castellar de la Ribera,2021-03-17,0,2,1.00,0.00,320.63,1.00
25068,ES-L,ES-CT,Castellnou de Seana,2021-03-17,17,43,0.60,836.79,5169.70,0.84
25069,ES-L,ES-CT,Castelló de Farfanya,2021-03-17,26,68,0.62,2630.73,6349.12,0.59
25070,ES-L,ES-CT,Castellserà,2021-03-17,0,64,1.00,0.00,8000.80,1.00
25071,ES-L,ES-CT,Cava,2021-03-17,1,27,0.96,31.67,1908.83,0.98
25072,ES-L,ES-CT,Cervera,2021-03-17,60,496,0.88,2421.53,53418.51,0.95
25073,ES-L,ES-CT,Cervià de les Garrigues,2021-03-17,7,38,0.82,335.26,4908.50,0.93
25074,ES-L,ES-CT,Ciutadilla,2021-03-17,3,27,0.89,198.68,2240.70,0.91
25075,ES-L,ES-CT,Clariana de Cardener,2021-03-17,0,3,1.00,0.00,293.40,1.00
25076,ES-L,ES-CT,el Cogul,2021-03-17,0,21,1.00,0.00,2146.60,1.00
25077,ES-L,ES-CT,Coll de Nargó,2021-03-17,12,57,0.79,762.26,4404.73,0.83
25078,ES-L,ES-CT,Corbins,2021-03-17,6,70,0.91,311.97,8232.12,0.96
25079,ES-L,ES-CT,Cubells,2021-03-17,44,78,0.44,2639.93,7240.05,0.64
25081,ES-L,ES-CT,l'Espluga Calba,2021-03-17,15,35,0.57,599.40,3380.29,0.82
25082,ES-L,ES-CT,Espot,2021-03-17,1,65,0.98,30.72,4354.67,0.99
25085,ES-L,ES-CT,Estaràs,2021-03-17,1,37,0.97,23.89,2795.30,0.99
25086,ES-L,ES-CT,Esterri d'Àneu,2021-03-17,7,71,0.90,278.89,8158.59,0.97
25087,ES-L,ES-CT,Esterri de Cardós,2021-03-17,0,24,1.00,0.00,975.26,1.00
25088,ES-L,ES-CT,Estamariu,2021-03-17,0,6,1.00,0.00,1236.44,1.00
25089,ES-L,ES-CT,Farrera,2021-03-17,3,40,0.93,103.96,2497.96,0.96
25092,ES-L,ES-CT,la Floresta,2021-03-17,0,18,1.00,0.00,1827.74,1.00
25093,ES-L,ES-CT,Fondarella,2021-03-17,5,50,0.90,536.21,6467.87,0.92
25094,ES-L,ES-CT,Foradada,2021-03-17,13,38,0.66,1119.46,3613.96,0.69
25096,ES-L,ES-CT,la Fuliola,2021-03-17,0,86,1.00,0.00,9315.23,1.00
25097,ES-L,ES-CT,Fulleda,2021-03-17,14,26,0.46,897.59,1934.70,0.54
25098,ES-L,ES-CT,Gavet de la Conca,2021-03-17,1,79,0.99,55.26,5872.24,0.99
25099,ES-L,ES-CT,Golmés,2021-03-17,51,103,0.50,5015.62,17085.31,0.71
25100,ES-L,ES-CT,Gósol,2021-03-17,0,36,1.00,0.00,3926.02,1.00
25101,ES-L,ES-CT,la Granadella,2021-03-17,14,46,0.70,786.41,4995.91,0.84
25102,ES-L,ES-CT,la Granja d'Escarp,2021-03-17,0,53,1.00,0.00,4612.19,1.00
25103,ES-L,ES-CT,Granyanella,2021-03-17,3,52,0.94,51.65,5675.11,0.99
25104,ES-L,ES-CT,Granyena de Segarra,2021-03-17,1,25,0.96,11.85,1724.56,0.99
25105,ES-L,ES-CT,Granyena de les Garrigues,2021-03-17,5,25,0.80,206.56,1855.56,0.89
25109,ES-L,ES-CT,Guimerà,2021-03-17,7,97,0.93,363.15,3953.76,0.91
25110,ES-L,ES-CT,Guissona,2021-03-17,53,177,0.70,2768.77,23110.29,0.88
25111,ES-L,ES-CT,Guixers,2021-03-17,1,1,0.00,67.13,67.13,0.00
25112,ES-L,ES-CT,Ivars de Noguera,2021-03-17,1,46,0.98,32.83,3928.82,0.99
25113,ES-L,ES-CT,Ivars d'Urgell,2021-03-17,24,74,0.68,2129.91,10309.58,0.79
25114,ES-L,ES-CT,Ivorra,2021-03-17,9,27,0.67,475.60,1312.44,0.64
25115,ES-L,ES-CT,Isona i Conca Dellà,2021-03-17,11,180,0.94,510.27,17746.16,0.97
25118,ES-L,ES-CT,Juncosa,2021-03-17,0,25,1.00,0.00,2304.81,1.00
25119,ES-L,ES-CT,Juneda,2021-03-17,22,129,0.83,1114.20,14414.23,0.92
25120,ES-L,ES-CT,Lleida,2021-03-17,64,1715,0.96,5483.81,243548.32,0.98
25121,ES-L,ES-CT,Les,2021-03-17,2,51,0.96,185.36,5032.96,0.96
25122,ES-L,ES-CT,Linyola,2021-03-17,16,118,0.86,745.41,17111.17,0.96
25123,ES-L,ES-CT,Lladorre,2021-03-17,14,73,0.81,2602.53,6194.91,0.58
25124,ES-L,ES-CT,Lladurs,2021-03-17,0,1,1.00,0.00,296.37,1.00
25125,ES-L,ES-CT,Llardecans,2021-03-17,4,40,0.90,295.92,3779.17,0.92
25126,ES-L,ES-CT,Llavorsí,2021-03-17,7,32,0.78,631.91,3222.08,0.80
25127,ES-L,ES-CT,Lles de Cerdanya,2021-03-17,0,61,1.00,0.00,4642.66,1.00
25128,ES-L,ES-CT,Llimiana,2021-03-17,0,29,1.00,0.00,1592.30,1.00
25129,ES-L,ES-CT,Llobera,2021-03-17,0,1,1.00,0.00,150.12,1.00
25130,ES-L,ES-CT,Maldà,2021-03-17,0,29,1.00,0.00,2060.77,1.00
25131,ES-L,ES-CT,Massalcoreig,2021-03-17,0,36,1.00,0.00,3632.16,1.00
