id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
08001,ES-B,ES-CT,Abrera,2020-06-01,12,302,0.96,842.62,61833.02,0.99
08002,ES-B,ES-CT,Aguilar de Segarra,2020-06-01,0,5,1.00,0.00,570.85,1.00
08003,ES-B,ES-CT,Alella,2020-06-01,5,284,0.98,287.48,55763.68,0.99
08004,ES-B,ES-CT,Alpens,2020-06-01,16,46,0.65,864.57,3992.48,0.78
08005,ES-B,ES-CT,l'Ametlla del Vallès,2020-06-01,46,275,0.83,5746.90,70936.49,0.92
08006,ES-B,ES-CT,Arenys de Mar,2020-06-01,6,253,0.98,318.90,39412.51,0.99
08007,ES-B,ES-CT,Arenys de Munt,2020-06-01,30,179,0.83,4319.83,36143.75,0.88
08008,ES-B,ES-CT,Argençola,2020-06-01,4,35,0.89,181.93,3341.69,0.95
08009,ES-B,ES-CT,Argentona,2020-06-01,42,286,0.85,4843.33,56203.69,0.91
08010,ES-B,ES-CT,Artés,2020-06-01,5,159,0.97,311.46,24799.86,0.99
08011,ES-B,ES-CT,Avià,2020-06-01,3,61,0.95,284.65,9185.89,0.97
08012,ES-B,ES-CT,Avinyó,2020-06-01,4,95,0.96,231.08,13318.17,0.98
08013,ES-B,ES-CT,Avinyonet del Penedès,2020-06-01,0,108,1.00,0.00,15253.45,1.00
08014,ES-B,ES-CT,Aiguafreda,2020-06-01,12,98,0.88,381.41,14634.22,0.97
08015,ES-B,ES-CT,Badalona,2020-06-01,1,1681,1.00,2.90,230546.73,1.00
08016,ES-B,ES-CT,Bagà,2020-06-01,16,100,0.84,570.29,8993.45,0.94
08017,ES-B,ES-CT,Balenyà,2020-06-01,17,129,0.87,615.53,16656.96,0.96
08018,ES-B,ES-CT,Balsareny,2020-06-01,4,94,0.96,205.01,11357.92,0.98
08019,ES-B,ES-CT,Barcelona,2020-06-01,83,6975,0.99,5394.90,921328.97,0.99
08020,ES-B,ES-CT,Begues,2020-06-01,5,311,0.98,308.13,53761.74,0.99
08021,ES-B,ES-CT,Bellprat,2020-06-01,0,15,1.00,0.00,1075.61,1.00
08022,ES-B,ES-CT,Berga,2020-06-01,23,337,0.93,656.96,43710.86,0.98
08023,ES-B,ES-CT,Bigues i Riells,2020-06-01,37,308,0.88,3082.55,90175.55,0.97
08024,ES-B,ES-CT,Borredà,2020-06-01,0,39,1.00,0.00,3964.13,1.00
08025,ES-B,ES-CT,el Bruc,2020-06-01,0,106,1.00,0.00,21324.32,1.00
08026,ES-B,ES-CT,el Brull,2020-06-01,1,5,0.80,41.56,1106.03,0.96
08027,ES-B,ES-CT,les Cabanyes,2020-06-01,1,38,0.97,16.55,6017.12,1.00
08028,ES-B,ES-CT,Cabrera d'Anoia,2020-06-01,0,116,1.00,0.00,32115.52,1.00
08029,ES-B,ES-CT,Cabrera de Mar,2020-06-01,4,174,0.98,154.58,28217.21,0.99
08030,ES-B,ES-CT,Cabrils,2020-06-01,6,257,0.98,84.50,49504.35,1.00
08031,ES-B,ES-CT,Calaf,2020-06-01,12,126,0.90,611.68,17701.05,0.97
08032,ES-B,ES-CT,Caldes d'Estrac,2020-06-01,7,75,0.91,542.77,11948.44,0.95
08033,ES-B,ES-CT,Caldes de Montbui,2020-06-01,45,371,0.88,3132.59,74286.49,0.96
08034,ES-B,ES-CT,Calders,2020-06-01,1,57,0.98,30.43,13241.08,1.00
08035,ES-B,ES-CT,Calella,2020-06-01,5,171,0.97,1203.82,34858.59,0.97
08036,ES-B,ES-CT,Calonge de Segarra,2020-06-01,3,20,0.85,216.73,1786.90,0.88
