id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
-10906955,ES-CA,ES-AN,San Martín del Tesorillo,2020-06-01,29,54,0.46,5978.64,10682.93,0.44
11001,ES-CA,ES-AN,Alcalá de los Gazules,2020-06-01,21,127,0.83,2411.01,13683.50,0.82
11002,ES-CA,ES-AN,Alcalá del Valle,2020-06-01,76,84,0.10,12861.29,13931.52,0.08
11003,ES-CA,ES-AN,Algar,2020-06-01,7,67,0.90,220.73,5806.20,0.96
11004,ES-CA,ES-AN,Algeciras,2020-06-01,1139,1895,0.40,128990.94,258924.16,0.50
11005,ES-CA,ES-AN,Algodonales,2020-06-01,42,108,0.61,5729.77,17589.91,0.67
11006,ES-CA,ES-AN,Arcos de la Frontera,2020-06-01,403,749,0.46,61465.94,113664.27,0.46
11007,ES-CA,ES-AN,Barbate,2020-06-01,367,620,0.41,52536.65,98720.93,0.47
11008,ES-CA,ES-AN,Los Barrios,2020-06-01,340,513,0.34,54331.72,83231.54,0.35
11009,ES-CA,ES-AN,Benaocaz,2020-06-01,19,76,0.75,1527.15,6118.35,0.75
11010,ES-CA,ES-AN,Bornos,2020-06-01,27,214,0.87,2154.59,27099.10,0.92
11011,ES-CA,ES-AN,El Bosque,2020-06-01,40,97,0.59,4772.61,13781.65,0.65
11012,ES-CA,ES-AN,Cádiz,2020-06-01,248,999,0.75,20413.03,105153.38,0.81
11013,ES-CA,ES-AN,Castellar de la Frontera,2020-06-01,36,132,0.73,4771.99,18126.43,0.74
11014,ES-CA,ES-AN,Conil de la Frontera,2020-06-01,412,868,0.53,81416.28,154379.44,0.47
11015,ES-CA,ES-AN,Chiclana de la Frontera,2020-06-01,1201,2634,0.54,212006.84,497160.61,0.57
11016,ES-CA,ES-AN,Chipiona,2020-06-01,270,604,0.55,41145.56,102393.08,0.60
11017,ES-CA,ES-AN,Espera,2020-06-01,79,87,0.09,14626.72,15600.53,0.06
11018,ES-CA,ES-AN,El Gastor,2020-06-01,25,64,0.61,7080.55,11415.33,0.38
11019,ES-CA,ES-AN,Grazalema,2020-06-01,45,106,0.58,3719.92,13101.24,0.72
11020,ES-CA,ES-AN,Jerez de la Frontera,2020-06-01,644,3698,0.83,84066.47,524493.99,0.84
11021,ES-CA,ES-AN,Jimena de la Frontera,2020-06-01,46,106,0.57,10362.08,22367.54,0.54
11022,ES-CA,ES-AN,La Línea de la Concepción,2020-06-01,512,950,0.46,69167.54,133346.87,0.48
11023,ES-CA,ES-AN,Medina Sidonia,2020-06-01,182,288,0.37,30691.98,49088.98,0.37
11024,ES-CA,ES-AN,Olvera,2020-06-01,31,219,0.86,2306.53,25909.55,0.91
11025,ES-CA,ES-AN,Paterna de Rivera,2020-06-01,24,232,0.90,1184.41,24891.80,0.95
11026,ES-CA,ES-AN,Prado del Rey,2020-06-01,34,159,0.79,2472.47,21144.15,0.88
11027,ES-CA,ES-AN,El Puerto de Santa María,2020-06-01,677,1785,0.62,127723.59,363002.65,0.65
11028,ES-CA,ES-AN,Puerto Real,2020-06-01,450,883,0.49,51999.06,141032.30,0.63
11029,ES-CA,ES-AN,Puerto Serrano,2020-06-01,9,220,0.96,518.07,29912.04,0.98
11030,ES-CA,ES-AN,Rota,2020-06-01,320,795,0.60,40228.72,113293.51,0.64
11031,ES-CA,ES-AN,San Fernando,2020-06-01,449,937,0.52,45182.43,126457.35,0.64
11032,ES-CA,ES-AN,Sanlúcar de Barrameda,2020-06-01,726,1160,0.37,129929.31,224359.09,0.42
11033,ES-CA,ES-AN,San Roque,2020-06-01,432,975,0.56,78546.45,181353.63,0.57
11034,ES-CA,ES-AN,Setenil de las Bodegas,2020-06-01,36,97,0.63,3957.92,13494.97,0.71
11035,ES-CA,ES-AN,Tarifa,2020-06-01,517,804,0.36,88126.13,127770.51,0.31
11036,ES-CA,ES-AN,Torre Alháquime,2020-06-01,27,27,0.00,4367.45,4367.45,0.00
11037,ES-CA,ES-AN,Trebujena,2020-06-01,130,160,0.19,24396.24,30514.90,0.20
11038,ES-CA,ES-AN,Ubrique,2020-06-01,160,353,0.55,19764.99,39907.32,0.50
11039,ES-CA,ES-AN,Vejer de la Frontera,2020-06-01,309,419,0.26,54759.03,75598.55,0.28
11040,ES-CA,ES-AN,Villaluenga del Rosario,2020-06-01,36,36,0.00,4207.24,4207.24,0.00
11041,ES-CA,ES-AN,Villamartín,2020-06-01,82,295,0.72,11365.19,51999.71,0.78
11042,ES-CA,ES-AN,Zahara,2020-06-01,19,63,0.70,2297.19,7678.18,0.70
11901,ES-CA,ES-AN,Benalup-Casas Viejas,2020-06-01,84,191,0.56,11121.31,30598.97,0.64
11902,ES-CA,ES-AN,San José del Valle,2020-06-01,24,138,0.83,4294.18,20182.92,0.79
