id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
-10973818,ES-M,ES-MD,El Redegüelo,2020-07-01,0,0,1,0.00,0.00,1
-10973901,ES-M,ES-MD,Los Baldíos,2020-07-01,0,9,1.00,0.00,1961.27,1.00
28001,ES-M,ES-MD,La Acebeda,2020-07-01,6,13,0.54,240.00,896.41,0.73
28002,ES-M,ES-MD,Ajalvir,2020-07-01,4,126,0.97,242.94,16277.37,0.99
28003,ES-M,ES-MD,Alameda del Valle,2020-07-01,7,41,0.83,479.40,5242.64,0.91
28004,ES-M,ES-MD,El Álamo,2020-07-01,53,271,0.80,3959.73,54184.97,0.93
28005,ES-M,ES-MD,Alcalá de Henares,2020-07-01,350,2325,0.85,29107.48,312985.41,0.91
28006,ES-M,ES-MD,Alcobendas,2020-07-01,512,1610,0.68,33087.85,196701.04,0.83
28007,ES-M,ES-MD,Alcorcón,2020-07-01,109,1135,0.90,6171.99,180398.14,0.97
28008,ES-M,ES-MD,Aldea del Fresno,2020-07-01,34,151,0.77,9874.68,31229.61,0.68
28009,ES-M,ES-MD,Algete,2020-07-01,93,302,0.69,10354.60,69959.30,0.85
28010,ES-M,ES-MD,Alpedrete,2020-07-01,42,403,0.90,2960.92,70234.85,0.96
28011,ES-M,ES-MD,Ambite,2020-07-01,1,79,0.99,239.99,18405.15,0.99
28012,ES-M,ES-MD,Anchuelo,2020-07-01,3,69,0.96,122.05,8782.98,0.99
28013,ES-M,ES-MD,Aranjuez,2020-07-01,78,671,0.88,5314.99,142616.81,0.96
28014,ES-M,ES-MD,Arganda del Rey,2020-07-01,176,966,0.82,18516.40,151250.30,0.88
28015,ES-M,ES-MD,Arroyomolinos,2020-07-01,23,308,0.93,1757.15,71379.91,0.98
28016,ES-M,ES-MD,El Atazar,2020-07-01,4,36,0.89,105.34,2252.48,0.95
28017,ES-M,ES-MD,Batres,2020-07-01,4,87,0.95,928.91,17610.22,0.95
28018,ES-M,ES-MD,Becerril de la Sierra,2020-07-01,19,367,0.95,1009.63,52182.46,0.98
28019,ES-M,ES-MD,Belmonte de Tajo,2020-07-01,2,100,0.98,90.76,10978.37,0.99
28020,ES-M,ES-MD,Berzosa del Lozoya,2020-07-01,12,47,0.74,456.39,4754.10,0.90
