id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
17001,ES-GI,,Agullana,2021-03-13,1,60,0.98,46.67,6511.22,0.99
17002,ES-GI,,Aiguaviva,2021-03-13,3,55,0.95,207.75,9886.49,0.98
17003,ES-GI,,Albanyà,2021-03-13,2,25,0.92,40.20,1650.19,0.98
17004,ES-GI,,Albons,2021-03-13,0,75,1.00,0.00,8470.50,1.00
17005,ES-GI,,el Far d'Empordà,2021-03-13,0,60,1.00,0.00,6197.29,1.00
17006,ES-GI,,Alp,2021-03-13,10,122,0.92,519.15,21421.56,0.98
17007,ES-GI,,Amer,2021-03-13,5,95,0.95,125.53,10153.17,0.99
17008,ES-GI,,Anglès,2021-03-13,14,155,0.91,743.96,18981.31,0.96
17009,ES-GI,,Arbúcies,2021-03-13,1,130,0.99,9.71,23067.61,1.00
17010,ES-GI,,Argelaguer,2021-03-13,7,42,0.83,625.20,4411.25,0.86
17011,ES-GI,,l'Armentera,2021-03-13,0,93,1.00,0.00,10669.40,1.00
17012,ES-GI,,Avinyonet de Puigventós,2021-03-13,0,78,1.00,0.00,10094.66,1.00
17013,ES-GI,,Begur,2021-03-13,18,434,0.96,1001.97,89913.04,0.99
17014,ES-GI,,la Vajol,2021-03-13,0,20,1.00,0.00,1543.91,1.00
17015,ES-GI,,Banyoles,2021-03-13,25,636,0.96,1864.83,72470.34,0.97
17016,ES-GI,,Bàscara,2021-03-13,0,89,1.00,0.00,10350.22,1.00
17018,ES-GI,,Bellcaire d'Empordà,2021-03-13,0,36,1.00,0.00,5549.72,1.00
17019,ES-GI,,Besalú,2021-03-13,31,183,0.83,996.19,20228.78,0.95
17020,ES-GI,,Bescanó,2021-03-13,8,193,0.96,418.48,35656.35,0.99
17021,ES-GI,,Beuda,2021-03-13,0,5,1.00,0.00,294.84,1.00
17022,ES-GI,,la Bisbal d'Empordà,2021-03-13,4,208,0.98,321.99,29275.57,0.99
17023,ES-GI,,Blanes,2021-03-13,27,634,0.96,2312.46,89475.99,0.97
17024,ES-GI,,Bolvir,2021-03-13,2,76,0.97,101.33,14833.98,0.99
17025,ES-GI,,Bordils,2021-03-13,11,52,0.79,482.49,10182.48,0.95
17026,ES-GI,,Borrassà,2021-03-13,0,46,1.00,0.00,5612.51,1.00
17027,ES-GI,,Breda,2021-03-13,1,107,0.99,62.39,17114.22,1.00
17028,ES-GI,,Brunyola i Sant Martí Sapresa,2021-03-13,3,15,0.80,299.95,1462.54,0.79
17029,ES-GI,,Boadella i les Escaules,2021-03-13,0,31,1.00,0.00,2647.00,1.00
17030,ES-GI,,Cabanes,2021-03-13,0,32,1.00,0.00,3775.74,1.00
17031,ES-GI,,Cabanelles,2021-03-13,0,13,1.00,0.00,517.62,1.00
17032,ES-GI,,Cadaqués,2021-03-13,32,279,0.89,1142.36,33827.06,0.97
17033,ES-GI,,Caldes de Malavella,2021-03-13,15,360,0.96,947.59,74846.89,0.99
17034,ES-GI,,Calonge i Sant Antoni,2021-03-13,14,640,0.98,361.39,126147.14,1.00
17035,ES-GI,,Camós,2021-03-13,12,43,0.72,711.74,3465.69,0.79
17036,ES-GI,,Campdevànol,2021-03-13,3,139,0.98,171.96,15234.16,0.99
17037,ES-GI,,Campelles,2021-03-13,0,19,1.00,0.00,2047.92,1.00
17038,ES-GI,,Campllong,2021-03-13,1,28,0.96,34.40,4167.16,0.99
17039,ES-GI,,Camprodon,2021-03-13,15,144,0.90,493.92,18460.82,0.97
17040,ES-GI,,Canet d'Adri,2021-03-13,0,20,1.00,0.00,4939.93,1.00
17041,ES-GI,,Cantallops,2021-03-13,0,56,1.00,0.00,5520.08,1.00
17042,ES-GI,,Capmany,2021-03-13,0,78,1.00,0.00,6033.72,1.00
17043,ES-GI,,Queralbs,2021-03-13,0,27,1.00,0.00,2962.46,1.00
17044,ES-GI,,Cassà de la Selva,2021-03-13,2,222,0.99,218.80,38179.34,0.99
17046,ES-GI,,Castellfollit de la Roca,2021-03-13,7,30,0.77,266.71,2846.39,0.91
17047,ES-GI,,Castelló d'Empúries,2021-03-13,4,572,0.99,1404.21,88615.37,0.98
17048,ES-GI,,Castell-Platja d'Aro,2021-03-13,8,624,0.99,329.51,113014.48,1.00
17049,ES-GI,,Celrà,2021-03-13,12,183,0.93,1030.27,35094.04,0.97
17050,ES-GI,,Cervià de Ter,2021-03-13,0,65,1.00,0.00,7203.20,1.00
17051,ES-GI,,Cistella,2021-03-13,1,33,0.97,68.93,3085.49,0.98
17052,ES-GI,,Siurana,2021-03-13,0,14,1.00,0.00,1034.74,1.00
17054,ES-GI,,Colera,2021-03-13,1,64,0.98,69.89,9299.07,0.99
17055,ES-GI,,Colomers,2021-03-13,1,41,0.98,27.76,3141.02,0.99
17056,ES-GI,,Cornellà del Terri,2021-03-13,20,167,0.88,949.71,16788.97,0.94
17057,ES-GI,,Corçà,2021-03-13,0,106,1.00,0.00,11049.30,1.00
17058,ES-GI,,Crespià,2021-03-13,2,45,0.96,29.99,2588.97,0.99
17060,ES-GI,,Darnius,2021-03-13,0,39,1.00,0.00,4435.30,1.00
17061,ES-GI,,Das,2021-03-13,0,35,1.00,0.00,7301.47,1.00
17062,ES-GI,,l'Escala,2021-03-13,26,771,0.97,3151.98,126147.94,0.98
17063,ES-GI,,Espinelves,2021-03-13,0,17,1.00,0.00,2685.24,1.00
17064,ES-GI,,Espolla,2021-03-13,0,68,1.00,0.00,4664.66,1.00
17065,ES-GI,,Esponellà,2021-03-13,6,23,0.74,430.25,3489.43,0.88
17066,ES-GI,,Figueres,2021-03-13,15,944,0.98,706.53,98242.86,0.99
17067,ES-GI,,Flaçà,2021-03-13,2,51,0.96,58.01,7170.78,0.99
17068,ES-GI,,Foixà,2021-03-13,0,16,1.00,0.00,2380.53,1.00
17069,ES-GI,,Fontanals de Cerdanya,2021-03-13,2,103,0.98,149.94,14183.83,0.99
17070,ES-GI,,Fontanilles,2021-03-13,0,26,1.00,0.00,2855.36,1.00
17071,ES-GI,,Fontcoberta,2021-03-13,19,95,0.80,1038.22,10261.60,0.90
17073,ES-GI,,Fornells de la Selva,2021-03-13,3,134,0.98,1263.96,25753.10,0.95
17074,ES-GI,,Fortià,2021-03-13,0,59,1.00,0.00,7894.67,1.00
17075,ES-GI,,Garrigàs,2021-03-13,0,41,1.00,0.00,3460.16,1.00
17076,ES-GI,,Garrigoles,2021-03-13,0,29,1.00,0.00,2259.99,1.00
17077,ES-GI,,Garriguella,2021-03-13,3,117,0.97,179.64,11678.88,0.98
17078,ES-GI,,Ger,2021-03-13,2,65,0.97,65.53,10423.36,0.99
17079,ES-GI,,Girona,2021-03-13,55,2077,0.97,2551.38,218527.06,0.99
17080,ES-GI,,Gombrèn,2021-03-13,0,28,1.00,0.00,2638.25,1.00
17081,ES-GI,,Gualta,2021-03-13,0,22,1.00,0.00,4118.21,1.00
17082,ES-GI,,Guils de Cerdanya,2021-03-13,0,71,1.00,0.00,11311.64,1.00
17083,ES-GI,,Hostalric,2021-03-13,8,118,0.93,450.38,17983.52,0.97
17084,ES-GI,,Isòvol,2021-03-13,9,48,0.81,734.82,6823.67,0.89
17085,ES-GI,,Jafre,2021-03-13,2,36,0.94,89.05,3934.82,0.98
17086,ES-GI,,la Jonquera,2021-03-13,9,174,0.95,176.45,19271.80,0.99
17087,ES-GI,,Juià,2021-03-13,0,24,1.00,0.00,2861.50,1.00
17088,ES-GI,,Lladó,2021-03-13,1,68,0.99,33.65,7443.26,1.00
17089,ES-GI,,Llagostera,2021-03-13,2,236,0.99,168.13,46855.59,1.00
17090,ES-GI,,Llambilles,2021-03-13,0,28,1.00,0.00,4408.21,1.00
17091,ES-GI,,Llanars,2021-03-13,0,45,1.00,0.00,5344.08,1.00
17092,ES-GI,,Llançà,2021-03-13,3,397,0.99,217.80,51862.35,1.00
17093,ES-GI,,Llers,2021-03-13,0,70,1.00,0.00,10491.33,1.00
17094,ES-GI,,Llívia,2021-03-13,0,84,1.00,0.00,14533.98,1.00
17095,ES-GI,,Lloret de Mar,2021-03-13,27,884,0.97,1163.41,182890.06,0.99
17096,ES-GI,,les Llosses,2021-03-13,0,5,1.00,0.00,379.39,1.00
17097,ES-GI,,Madremanya,2021-03-13,6,24,0.75,371.05,2761.17,0.87
17098,ES-GI,,Maià de Montcal,2021-03-13,0,24,1.00,0.00,4788.67,1.00
17099,ES-GI,,Meranges,2021-03-13,0,26,1.00,0.00,2512.08,1.00
17100,ES-GI,,Masarac,2021-03-13,2,58,0.97,52.25,4544.31,0.99
17101,ES-GI,,Massanes,2021-03-13,1,38,0.97,67.63,10646.65,0.99
17102,ES-GI,,Maçanet de Cabrenys,2021-03-13,4,84,0.95,94.66,10471.80,0.99
17103,ES-GI,,Maçanet de la Selva,2021-03-13,9,269,0.97,572.65,82163.53,0.99
17105,ES-GI,,Mieres,2021-03-13,1,22,0.95,46.71,2273.45,0.98
17106,ES-GI,,Mollet de Peralada,2021-03-13,0,25,1.00,0.00,1619.56,1.00
17107,ES-GI,,Molló,2021-03-13,0,54,1.00,0.00,7104.85,1.00
17109,ES-GI,,Montagut i Oix,2021-03-13,5,58,0.91,236.87,5468.62,0.96
17110,ES-GI,,Mont-ras,2021-03-13,4,102,0.96,335.16,14538.11,0.98
17111,ES-GI,,Navata,2021-03-13,0,93,1.00,0.00,12529.32,1.00
17112,ES-GI,,Ogassa,2021-03-13,0,21,1.00,0.00,2694.74,1.00
17114,ES-GI,,Olot,2021-03-13,29,870,0.97,1375.64,118547.42,0.99
17115,ES-GI,,Ordis,2021-03-13,4,33,0.88,119.94,2483.77,0.95
17116,ES-GI,,Osor,2021-03-13,4,46,0.91,147.57,4455.21,0.97
17117,ES-GI,,Palafrugell,2021-03-13,41,920,0.96,1910.03,114264.04,0.98
17118,ES-GI,,Palamós,2021-03-13,2,423,1.00,171.03,62837.23,1.00
