id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
42001,ES-SO,ES-CL,Abejar,2021-03-13,32,57,0.44,2949.11,6788.74,0.57
42003,ES-SO,ES-CL,Adradas,2021-03-13,24,24,0.00,4020.47,4020.47,0.00
42004,ES-SO,ES-CL,Ágreda,2021-03-13,87,146,0.40,10573.30,19834.10,0.47
42006,ES-SO,ES-CL,Alconaba,2021-03-13,13,44,0.70,1829.05,5784.18,0.68
42007,ES-SO,ES-CL,Alcubilla de Avellaneda,2021-03-13,0,32,1.00,0.00,2415.58,1.00
42008,ES-SO,ES-CL,Alcubilla de las Peñas,2021-03-13,30,36,0.17,3952.68,4617.64,0.14
42009,ES-SO,ES-CL,Aldealafuente,2021-03-13,17,36,0.53,1232.61,2749.01,0.55
42010,ES-SO,ES-CL,Aldealices,2021-03-13,8,8,0.00,1122.46,1122.46,0.00
42011,ES-SO,ES-CL,Aldealpozo,2021-03-13,10,10,0.00,1071.77,1071.77,0.00
42012,ES-SO,ES-CL,Aldealseñor,2021-03-13,12,12,0.00,1565.89,1565.89,0.00
42013,ES-SO,ES-CL,Aldehuela de Periáñez,2021-03-13,6,13,0.54,494.17,1485.29,0.67
42014,ES-SO,ES-CL,Las Aldehuelas,2021-03-13,34,43,0.21,1758.43,2419.20,0.27
42015,ES-SO,ES-CL,Alentisque,2021-03-13,11,11,0.00,1242.64,1242.64,0.00
42016,ES-SO,ES-CL,Aliud,2021-03-13,11,11,0.00,948.22,948.22,0.00
42017,ES-SO,ES-CL,Almajano,2021-03-13,13,32,0.59,1447.74,2795.73,0.48
42018,ES-SO,ES-CL,Almaluez,2021-03-13,35,35,0.00,4559.00,4559.00,0.00
42019,ES-SO,ES-CL,Almarza,2021-03-13,17,151,0.89,1786.50,15181.35,0.88
42020,ES-SO,ES-CL,Almazán,2021-03-13,22,244,0.91,2442.66,31482.16,0.92
42021,ES-SO,ES-CL,Almazul,2021-03-13,19,19,0.00,3108.93,3108.93,0.00
42022,ES-SO,ES-CL,Almenar de Soria,2021-03-13,45,65,0.31,5960.09,7766.23,0.23
42023,ES-SO,ES-CL,Alpanseque,2021-03-13,17,17,0.00,2261.18,2261.18,0.00
42024,ES-SO,ES-CL,Arancón,2021-03-13,21,35,0.40,1851.44,3132.43,0.41
42025,ES-SO,ES-CL,Arcos de Jalón,2021-03-13,153,240,0.36,19501.05,28811.56,0.32
42026,ES-SO,ES-CL,Arenillas,2021-03-13,12,12,0.00,1559.78,1559.78,0.00
42027,ES-SO,ES-CL,Arévalo de la Sierra,2021-03-13,7,37,0.81,920.77,3711.13,0.75
42028,ES-SO,ES-CL,Ausejo de la Sierra,2021-03-13,22,22,0.00,3080.05,3080.05,0.00
42029,ES-SO,ES-CL,Baraona,2021-03-13,57,60,0.05,5899.71,6249.85,0.06
42030,ES-SO,ES-CL,Barca,2021-03-13,3,35,0.91,131.93,3462.85,0.96
42031,ES-SO,ES-CL,Barcones,2021-03-13,11,11,0.00,1784.53,1784.53,0.00
42032,ES-SO,ES-CL,Bayubas de Abajo,2021-03-13,6,26,0.77,552.87,2605.98,0.79
42033,ES-SO,ES-CL,Bayubas de Arriba,2021-03-13,8,8,0.00,1016.56,1016.56,0.00
42034,ES-SO,ES-CL,Beratón,2021-03-13,16,16,0.00,2299.49,2299.49,0.00
42035,ES-SO,ES-CL,Berlanga de Duero,2021-03-13,10,169,0.94,810.81,15136.63,0.95
42036,ES-SO,ES-CL,Blacos,2021-03-13,15,17,0.12,1082.64,1327.34,0.18
42037,ES-SO,ES-CL,Bliecos,2021-03-13,8,8,0.00,1051.52,1051.52,0.00
42038,ES-SO,ES-CL,Borjabad,2021-03-13,6,11,0.45,705.62,1370.25,0.49
42039,ES-SO,ES-CL,Borobia,2021-03-13,20,24,0.17,2853.54,3097.85,0.08
42041,ES-SO,ES-CL,Buberos,2021-03-13,7,7,0.00,901.11,901.11,0.00
42042,ES-SO,ES-CL,Buitrago,2021-03-13,1,17,0.94,105.77,1666.00,0.94
42043,ES-SO,ES-CL,Burgo de Osma-Ciudad de Osma,2021-03-13,63,422,0.85,4138.02,50800.94,0.92
42044,ES-SO,ES-CL,Cabrejas del Campo,2021-03-13,21,21,0.00,1990.94,1990.94,0.00
42045,ES-SO,ES-CL,Cabrejas del Pinar,2021-03-13,15,59,0.75,854.27,5064.36,0.83
42046,ES-SO,ES-CL,Calatañazor,2021-03-13,16,26,0.38,816.45,1526.57,0.47
42048,ES-SO,ES-CL,Caltojar,2021-03-13,19,39,0.51,1898.20,4220.07,0.55
42049,ES-SO,ES-CL,Candilichera,2021-03-13,16,17,0.06,1998.21,2157.51,0.07
42050,ES-SO,ES-CL,Cañamaque,2021-03-13,13,13,0.00,1772.28,1772.28,0.00
42051,ES-SO,ES-CL,Carabantes,2021-03-13,4,4,0.00,860.67,860.67,0.00
42052,ES-SO,ES-CL,Caracena,2021-03-13,8,8,0.00,688.61,688.61,0.00
42053,ES-SO,ES-CL,Carrascosa de Abajo,2021-03-13,8,8,0.00,522.12,522.12,0.00
