id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
-339876;ES-T;;Senan;2021-03-13;5;8;0.38;186.99;600.62;0.69
-340194;ES-T;;Vandellòs i l'Hospitalet de l'Infant;2021-03-13;17;415;0.96;2082.29;58539.64;0.96
43001;ES-T;;Aiguamúrcia;2021-03-13;10;81;0.88;1332.26;17274.90;0.92
43002;ES-T;;Albinyana;2021-03-13;1;137;0.99;17.73;20788.10;1.00
43003;ES-T;;l'Albiol;2021-03-13;5;20;0.75;988.03;6189.43;0.84
43004;ES-T;;Alcanar;2021-03-13;4;387;0.99;369.89;58516.46;0.99
43005;ES-T;;Alcover;2021-03-13;17;220;0.92;1381.23;30115.83;0.95
43006;ES-T;;Aldover;2021-03-13;0;28;1.00;0.00;2877.87;1.00
43007;ES-T;;l'Aleixar;2021-03-13;1;43;0.98;4.45;5052.20;1.00
43008;ES-T;;Alfara de Carles;2021-03-13;10;32;0.69;296.69;2491.42;0.88
43009;ES-T;;Alforja;2021-03-13;34;112;0.70;3345.95;16160.12;0.79
43010;ES-T;;Alió;2021-03-13;7;51;0.86;278.71;4616.58;0.94
43011;ES-T;;Almoster;2021-03-13;7;62;0.89;248.18;9119.36;0.97
43012;ES-T;;Altafulla;2021-03-13;18;215;0.92;1224.33;30966.22;0.96
43013;ES-T;;l'Ametlla de Mar;2021-03-13;7;460;0.98;447.01;104139.39;1.00
43014;ES-T;;Amposta;2021-03-13;6;458;0.99;509.02;89625.06;0.99
43015;ES-T;;Arbolí;2021-03-13;4;11;0.64;188.95;867.18;0.78
43016;ES-T;;l'Arboç;2021-03-13;6;130;0.95;207.01;20985.67;0.99
43017;ES-T;;l'Argentera;2021-03-13;0;30;1.00;0.00;2058.42;1.00
43018;ES-T;;Arnes;2021-03-13;0;61;1.00;0.00;4259.25;1.00
43019;ES-T;;Ascó;2021-03-13;35;97;0.64;3158.02;10211.15;0.69
43020;ES-T;;Banyeres del Penedès;2021-03-13;5;173;0.97;311.20;26661.43;0.99
43021;ES-T;;Barberà de la Conca;2021-03-13;2;63;0.97;355.86;5837.29;0.94
43022;ES-T;;Batea;2021-03-13;1;111;0.99;34.64;9749.33;1.00
43023;ES-T;;Bellmunt del Priorat;2021-03-13;0;28;1.00;0.00;2610.69;1.00
43024;ES-T;;Bellvei;2021-03-13;9;106;0.92;853.61;17687.82;0.95
43025;ES-T;;Benifallet;2021-03-13;0;54;1.00;0.00;4603.39;1.00
43026;ES-T;;Benissanet;2021-03-13;5;51;0.90;569.05;5517.50;0.90
