id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
04001,Abla,2020-11-01,27,148,0.82,10597.66,881.30,0.92
04002,Abrucena,2020-11-01,13,90,0.86,8019.21,544.17,0.93
04003,Adra,2020-11-01,44,641,0.93,82804.27,5680.78,0.93
04004,Albánchez,2020-11-01,0,61,1.00,7873.95,0.00,1.00
04005,Alboloduy,2020-11-01,7,70,0.90,5632.12,346.76,0.94
04006,Albox,2020-11-01,98,284,0.65,43888.70,17377.38,0.60
04007,Alcolea,2020-11-01,17,73,0.77,5706.51,730.51,0.87
04008,Alcóntar,2020-11-01,12,43,0.72,6663.98,2212.70,0.67
04009,Alcudia de Monteagud,2020-11-01,0,27,1.00,1828.95,0.00,1.00
04010,Alhabia,2020-11-01,67,114,0.41,6907.76,3066.43,0.56
04011,Alhama de Almería,2020-11-01,15,116,0.87,15412.77,1924.69,0.88
04012,Alicún,2020-11-01,1,21,0.95,1631.34,68.72,0.96
04013,Almería,2020-11-01,289,3107,0.91,399316.14,21212.87,0.95
04014,Almócita,2020-11-01,2,30,0.93,2562.30,169.20,0.93
04015,Alsodux,2020-11-01,2,14,0.86,1565.90,572.55,0.63
04016,Antas,2020-11-01,59,174,0.66,23797.51,9486.60,0.60
04017,Arboleas,2020-11-01,51,430,0.88,66910.91,3267.26,0.95
04018,Armuña de Almanzora,2020-11-01,7,35,0.80,4355.15,1360.24,0.69
04019,Bacares,2020-11-01,1,47,0.98,3607.53,14.88,1.00
04020,Bayárcal,2020-11-01,19,66,0.71,3193.21,732.75,0.77
04021,Bayarque,2020-11-01,1,35,0.97,3134.13,65.46,0.98
04022,Bédar,2020-11-01,24,111,0.78,13007.94,4367.84,0.66
04023,Beires,2020-11-01,1,34,0.97,1947.51,26.32,0.99
04024,Benahadux,2020-11-01,26,143,0.82,16822.36,1740.66,0.90
04026,Benitagla,2020-11-01,0,28,1.00,1646.50,0.00,1.00
04027,Benizalón,2020-11-01,3,41,0.93,2474.74,151.48,0.94
04028,Bentarique,2020-11-01,3,31,0.90,1982.60,236.48,0.88
04029,Berja,2020-11-01,117,242,0.52,30506.65,12796.18,0.58
04030,Canjáyar,2020-11-01,2,87,0.98,6512.16,90.33,0.99
04031,Cantoria,2020-11-01,66,132,0.50,31297.36,11606.75,0.63
04032,Carboneras,2020-11-01,136,320,0.58,44988.75,14731.31,0.67
04033,Castro de Filabres,2020-11-01,16,52,0.69,2834.66,521.57,0.82
04034,Cóbdar,2020-11-01,0,21,1.00,2214.52,0.00,1.00
04035,Cuevas del Almanzora,2020-11-01,270,628,0.57,76121.93,26600.97,0.65
04036,Chercos,2020-11-01,0,14,1.00,2010.68,0.00,1.00
04037,Chirivel,2020-11-01,18,177,0.90,23539.57,2013.31,0.91
04038,Dalías,2020-11-01,33,179,0.82,14517.33,1257.05,0.91
04041,Enix,2020-11-01,9,62,0.85,5713.13,779.41,0.86
04043,Felix,2020-11-01,6,91,0.93,4889.63,229.20,0.95
04044,Fines,2020-11-01,18,112,0.84,25041.40,1724.99,0.93
04045,Fiñana,2020-11-01,10,155,0.94,15436.98,355.97,0.98
04046,Fondón,2020-11-01,14,91,0.85,9930.42,871.46,0.91
04047,Gádor,2020-11-01,8,118,0.93,9744.96,169.00,0.98
04048,Los Gallardos,2020-11-01,19,93,0.80,15220.42,1133.91,0.93
04049,Garrucha,2020-11-01,37,196,0.81,27948.40,1981.51,0.93
04050,Gérgal,2020-11-01,59,180,0.67,25322.91,8616.24,0.66
