id,ES-CA,ES-AN,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
11001,ES-CA,ES-AN,Alcalá de los Gazules,2020-11-01,21,127,0.83,2411.01,13683.50,0.82
11002,ES-CA,ES-AN,Alcalá del Valle,2020-11-01,76,84,0.10,12861.29,13931.52,0.08
11003,ES-CA,ES-AN,Algar,2020-11-01,7,67,0.90,220.73,5806.20,0.96
11004,ES-CA,ES-AN,Algeciras,2020-11-01,1139,1899,0.40,129078.00,259646.67,0.50
11005,ES-CA,ES-AN,Algodonales,2020-11-01,42,108,0.61,5729.77,17589.91,0.67
11006,ES-CA,ES-AN,Arcos de la Frontera,2020-11-01,403,749,0.46,61465.94,113664.27,0.46
11007,ES-CA,ES-AN,Barbate,2020-11-01,368,621,0.41,52574.19,98779.10,0.47
11008,ES-CA,ES-AN,Los Barrios,2020-11-01,323,547,0.41,49966.13,83948.18,0.40
11009,ES-CA,ES-AN,Benaocaz,2020-11-01,19,76,0.75,1527.15,6118.35,0.75
11010,ES-CA,ES-AN,Bornos,2020-11-01,27,214,0.87,2154.59,27099.10,0.92
11011,ES-CA,ES-AN,El Bosque,2020-11-01,40,97,0.59,4772.61,13781.65,0.65
11012,ES-CA,ES-AN,Cádiz,2020-11-01,199,1003,0.80,12477.08,102169.82,0.88
11013,ES-CA,ES-AN,Castellar de la Frontera,2020-11-01,35,131,0.73,4561.99,17916.44,0.75
11014,ES-CA,ES-AN,Conil de la Frontera,2020-11-01,413,875,0.53,81646.27,155398.26,0.47
11015,ES-CA,ES-AN,Chiclana de la Frontera,2020-11-01,1207,2642,0.54,213690.37,499221.93,0.57
11016,ES-CA,ES-AN,Chipiona,2020-11-01,272,606,0.55,42143.34,103394.30,0.59
11017,ES-CA,ES-AN,Espera,2020-11-01,79,87,0.09,14626.72,15600.53,0.06
11018,ES-CA,ES-AN,El Gastor,2020-11-01,25,64,0.61,7080.55,11415.33,0.38
11019,ES-CA,ES-AN,Grazalema,2020-11-01,44,106,0.58,3465.64,13101.24,0.74
11020,ES-CA,ES-AN,Jerez de la Frontera,2020-11-01,643,3725,0.83,84190.52,525460.85,0.84
11021,ES-CA,ES-AN,Jimena de la Frontera,2020-11-01,38,145,0.74,5560.21,23190.40,0.76
11022,ES-CA,ES-AN,La Línea de la Concepción,2020-11-01,512,950,0.46,69172.45,133647.22,0.48
11023,ES-CA,ES-AN,Medina Sidonia,2020-11-01,164,308,0.47,23784.40,48498.81,0.51
11024,ES-CA,ES-AN,Olvera,2020-11-01,31,219,0.86,2306.53,25909.55,0.91
11025,ES-CA,ES-AN,Paterna de Rivera,2020-11-01,24,232,0.90,1184.41,24891.80,0.95
11026,ES-CA,ES-AN,Prado del Rey,2020-11-01,34,159,0.79,2472.47,21144.15,0.88
11027,ES-CA,ES-AN,El Puerto de Santa María,2020-11-01,662,1800,0.63,126341.51,368613.39,0.66
11028,ES-CA,ES-AN,Puerto Real,2020-11-01,460,898,0.49,56066.05,146901.90,0.62
11029,ES-CA,ES-AN,Puerto Serrano,2020-11-01,9,220,0.96,518.07,29912.04,0.98
11030,ES-CA,ES-AN,Rota,2020-11-01,330,807,0.59,40354.63,113448.49,0.64
11031,ES-CA,ES-AN,San Fernando,2020-11-01,448,938,0.52,45099.95,126600.77,0.64
11032,ES-CA,ES-AN,Sanlúcar de Barrameda,2020-11-01,725,1160,0.38,129845.62,224359.37,0.42
11033,ES-CA,ES-AN,San Roque,2020-11-01,440,985,0.55,78996.71,183301.39,0.57
11034,ES-CA,ES-AN,Setenil de las Bodegas,2020-11-01,36,101,0.64,3695.45,13472.63,0.73
11035,ES-CA,ES-AN,Tarifa,2020-11-01,514,801,0.36,87134.02,126780.04,0.31
11036,ES-CA,ES-AN,Torre Alháquime,2020-11-01,27,27,0.00,4367.45,4367.45,0.00
11037,ES-CA,ES-AN,Trebujena,2020-11-01,109,173,0.37,16454.24,27478.97,0.40
11038,ES-CA,ES-AN,Ubrique,2020-11-01,149,375,0.60,17846.50,39643.62,0.55
11039,ES-CA,ES-AN,Vejer de la Frontera,2020-11-01,308,420,0.27,54656.30,75642.22,0.28
11040,ES-CA,ES-AN,Villaluenga del Rosario,2020-11-01,36,36,0.00,4207.24,4207.24,0.00
11041,ES-CA,ES-AN,Villamartín,2020-11-01,82,295,0.72,11357.22,51991.74,0.78
11042,ES-CA,ES-AN,Zahara,2020-11-01,19,63,0.70,2297.19,7678.18,0.70
11901,ES-CA,ES-AN,Benalup-Casas Viejas,2020-11-01,84,191,0.56,11121.31,30598.97,0.64
11902,ES-CA,ES-AN,San José del Valle,2020-11-01,24,138,0.83,4294.18,20182.92,0.79
11903,ES-CA,ES-AN,San Martín del Tesorillo,2020-11-01,29,54,0.46,5978.64,10682.93,0.44
