id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
39001,Alfoz de Lloredo,2020-11-01,39,284,0.86,42523.23,4626.41,0.89
39002,Ampuero,2020-11-01,59,82,0.28,15244.82,10491.99,0.31
39003,Anievas,2020-11-01,0,93,1.00,7591.52,0.00,1.00
39004,Arenas de Iguña,2020-11-01,45,182,0.75,19683.57,4971.53,0.75
39005,Argoños,2020-11-01,69,182,0.62,25614.18,8173.57,0.68
39006,Arnuero,2020-11-01,58,216,0.73,35384.71,9362.96,0.74
39007,Arredondo,2020-11-01,36,66,0.45,9624.48,6618.23,0.31
39008,El Astillero,2020-11-01,147,326,0.55,39421.89,17682.91,0.55
39009,Bárcena de Cicero,2020-11-01,0,218,1.00,35174.42,0.00,1.00
39010,Bárcena de Pie de Concha,2020-11-01,43,43,0.00,5287.88,5287.88,0.00
39011,Bareyo,2020-11-01,30,158,0.81,27988.76,5214.41,0.81
39012,Cabezón de la Sal,2020-11-01,295,395,0.25,47076.65,36705.64,0.22
39013,Cabezón de Liébana,2020-11-01,55,82,0.33,13652.54,8402.89,0.38
39014,Cabuérniga,2020-11-01,88,167,0.47,17358.96,7844.21,0.55
39015,Camaleño,2020-11-01,156,170,0.08,15781.41,14772.22,0.06
39016,Camargo,2020-11-01,441,742,0.41,115387.60,60092.72,0.48
39017,Campoo de Yuso,2020-11-01,82,127,0.35,17890.05,12255.25,0.31
39018,Cartes,2020-11-01,137,175,0.22,17561.41,13072.19,0.26
39019,Castañeda,2020-11-01,61,86,0.29,15836.14,11873.48,0.25
39020,Castro-Urdiales,2020-11-01,223,747,0.70,99938.63,23110.67,0.77
39021,Cieza,2020-11-01,33,42,0.21,4268.97,3154.69,0.26
39022,Cillorigo de Liébana,2020-11-01,83,122,0.32,12034.06,8580.31,0.29
39023,Colindres,2020-11-01,35,126,0.72,20127.08,4213.25,0.79
39024,Comillas,2020-11-01,119,221,0.46,27825.77,18347.48,0.34
39025,Los Corrales de Buelna,2020-11-01,0,600,1.00,49222.66,0.00,1.00
39026,Corvera de Toranzo,2020-11-01,130,145,0.10,23031.24,20617.32,0.10
39027,Campoo de Enmedio,2020-11-01,111,257,0.57,31877.44,12310.70,0.61
39028,Entrambasaguas,2020-11-01,0,210,1.00,25223.10,0.00,1.00
39029,Escalante,2020-11-01,0,50,1.00,5453.32,0.00,1.00
39030,Guriezo,2020-11-01,0,137,1.00,19820.77,0.00,1.00
39031,Hazas de Cesto,2020-11-01,0,93,1.00,15020.19,0.00,1.00
39032,Hermandad de Campoo de Suso,2020-11-01,104,259,0.60,28729.88,10758.29,0.63
39033,Herrerías,2020-11-01,66,68,0.03,9346.26,9050.20,0.03
39034,Lamasón,2020-11-01,38,48,0.21,4453.67,3446.64,0.23
39035,Laredo,2020-11-01,139,360,0.61,59303.33,16680.04,0.72
39036,Liendo,2020-11-01,65,96,0.32,18021.70,12499.72,0.31
39037,Liérganes,2020-11-01,12,145,0.92,16523.88,934.43,0.94
39038,Limpias,2020-11-01,22,43,0.49,7165.52,3901.10,0.46
39039,Luena,2020-11-01,40,47,0.15,7163.69,6166.37,0.14
39040,Marina de Cudeyo,2020-11-01,10,311,0.97,53534.63,1040.66,0.98
39041,Mazcuerras,2020-11-01,170,224,0.24,24774.24,18841.42,0.24
39042,Medio Cudeyo,2020-11-01,28,325,0.91,36515.94,2444.44,0.93
39043,Meruelo,2020-11-01,2,99,0.98,16574.83,88.85,0.99
39044,Miengo,2020-11-01,58,200,0.71,30566.54,9438.37,0.69
39045,Miera,2020-11-01,6,68,0.91,5407.41,1415.51,0.74
39046,Molledo,2020-11-01,114,141,0.19,18323.53,14221.62,0.22
39047,Noja,2020-11-01,0,209,1.00,29870.70,0.00,1.00
39048,Penagos,2020-11-01,49,91,0.46,13466.28,6784.41,0.50
39049,Peñarrubia,2020-11-01,61,88,0.31,9480.96,7775.02,0.18
39050,Pesaguero,2020-11-01,60,75,0.20,9839.92,7795.45,0.21
39051,Pesquera,2020-11-01,0,18,1.00,1752.11,0.00,1.00
39052,Piélagos,2020-11-01,7,879,0.99,130020.49,1323.60,0.99
39053,Polaciones,2020-11-01,45,59,0.24,5607.80,3615.42,0.36
39054,Polanco,2020-11-01,114,151,0.25,24740.37,17490.37,0.29
39055,Potes,2020-11-01,11,107,0.90,7967.85,675.24,0.92
39056,Puente Viesgo,2020-11-01,14,212,0.93,25739.88,1600.24,0.94
39057,Ramales de la Victoria,2020-11-01,70,138,0.49,17680.39,8553.78,0.52
39058,Rasines,2020-11-01,10,27,0.63,2695.32,935.99,0.65
39059,Reinosa,2020-11-01,87,317,0.73,34809.10,6133.22,0.82
39060,Reocín,2020-11-01,226,296,0.24,49614.19,37609.06,0.24
39061,Ribamontán al Mar,2020-11-01,0,262,1.00,44327.92,0.00,1.00
39062,Ribamontán al Monte,2020-11-01,18,101,0.82,14643.92,3225.10,0.78
39063,Rionansa,2020-11-01,46,231,0.80,18600.72,3956.87,0.79
39064,Riotuerto,2020-11-01,23,156,0.85,18189.48,3305.30,0.82
39065,Las Rozas de Valdearroyo,2020-11-01,11,151,0.93,15352.68,1004.38,0.93
39066,Ruente,2020-11-01,79,142,0.44,12190.88,6256.01,0.49
39067,Ruesga,2020-11-01,38,79,0.52,9832.60,5118.93,0.48
39068,Ruiloba,2020-11-01,76,110,0.31,14784.85,11185.71,0.24
39069,San Felices de Buelna,2020-11-01,136,140,0.03,19537.89,18893.79,0.03
39070,San Miguel de Aguayo,2020-11-01,7,22,0.68,1819.77,716.98,0.61
39071,San Pedro del Romeral,2020-11-01,0,30,1.00,8787.57,0.00,1.00
39072,San Roque de Riomiera,2020-11-01,0,5,1.00,443.03,0.00,1.00
39073,Santa Cruz de Bezana,2020-11-01,234,406,0.42,66752.92,34991.76,0.48
39074,Santa María de Cayón,2020-11-01,6,450,0.99,39432.05,427.95,0.99
39075,Santander,2020-11-01,177,3090,0.94,286081.89,13349.40,0.95
39076,Santillana del Mar,2020-11-01,165,241,0.32,34877.20,27146.71,0.22
39077,Santiurde de Reinosa,2020-11-01,24,58,0.59,7539.43,2336.26,0.69
39078,Santiurde de Toranzo,2020-11-01,83,125,0.34,19792.55,13367.67,0.32
39079,Santoña,2020-11-01,0,200,1.00,28271.80,0.00,1.00
39080,San Vicente de la Barquera,2020-11-01,21,186,0.89,20915.54,2563.41,0.88
39081,Saro,2020-11-01,0,41,1.00,3397.07,0.00,1.00
39082,Selaya,2020-11-01,7,105,0.93,9898.33,1102.77,0.89
39083,Soba,2020-11-01,22,274,0.92,26495.68,2694.44,0.90
39084,Solórzano,2020-11-01,3,70,0.96,9251.62,431.69,0.95
39085,Suances,2020-11-01,120,389,0.69,63959.80,14281.03,0.78
39086,Los Tojos,2020-11-01,42,53,0.21,3772.41,2978.37,0.21
39087,Torrelavega,2020-11-01,0,1542,1.00,136180.93,0.00,1.00
39088,Tresviso,2020-11-01,1,11,0.91,1108.99,39.00,0.96
39089,Tudanca,2020-11-01,52,53,0.02,5308.68,4958.53,0.07
39090,Udías,2020-11-01,17,41,0.59,5670.20,2560.09,0.55
39091,Valdáliga,2020-11-01,188,233,0.19,29029.56,21529.57,0.26
39092,Valdeolea,2020-11-01,46,165,0.72,18740.40,5330.62,0.72
