id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
08001,Abrera,2020-11-01,12,302,0.96,61833.02,842.62,0.99
08002,Aguilar de Segarra,2020-11-01,0,5,1.00,570.85,0.00,1.00
08003,Alella,2020-11-01,7,289,0.98,55781.31,324.08,0.99
08004,Alpens,2020-11-01,16,46,0.65,3992.48,864.57,0.78
08005,l'Ametlla del Vallès,2020-11-01,45,275,0.84,70939.45,5741.52,0.92
08006,Arenys de Mar,2020-11-01,9,263,0.97,39587.06,406.82,0.99
08007,Arenys de Munt,2020-11-01,30,184,0.84,36197.42,4186.67,0.88
08008,Argençola,2020-11-01,4,35,0.89,3341.69,181.93,0.95
08009,Argentona,2020-11-01,42,288,0.85,56334.36,4843.33,0.91
08010,Artés,2020-11-01,5,162,0.97,24799.86,311.46,0.99
08011,Avià,2020-11-01,3,61,0.95,9188.69,284.65,0.97
08012,Avinyó,2020-11-01,4,96,0.96,13318.17,231.08,0.98
08013,Avinyonet del Penedès,2020-11-01,0,108,1.00,15253.45,0.00,1.00
08014,Aiguafreda,2020-11-01,12,98,0.88,14634.22,381.41,0.97
08015,Badalona,2020-11-01,2,1690,1.00,230934.25,117.84,1.00
08016,Bagà,2020-11-01,16,100,0.84,8993.45,570.29,0.94
08017,Balenyà,2020-11-01,15,132,0.89,16924.75,609.28,0.96
08018,Balsareny,2020-11-01,4,94,0.96,11357.92,205.01,0.98
08019,Barcelona,2020-11-01,78,7156,0.99,923817.00,5034.70,0.99
08020,Begues,2020-11-01,5,311,0.98,53769.79,308.13,0.99
08021,Bellprat,2020-11-01,0,15,1.00,1075.61,0.00,1.00
08022,Berga,2020-11-01,23,341,0.93,43698.10,656.96,0.98
08023,Bigues i Riells,2020-11-01,37,317,0.88,90242.06,3080.89,0.97
08024,Borredà,2020-11-01,0,39,1.00,3964.13,0.00,1.00
08025,el Bruc,2020-11-01,0,106,1.00,21324.32,0.00,1.00
08026,el Brull,2020-11-01,1,5,0.80,1106.03,41.56,0.96
08027,les Cabanyes,2020-11-01,1,38,0.97,6017.12,16.55,1.00
08028,Cabrera d'Anoia,2020-11-01,0,116,1.00,32116.38,0.00,1.00
08029,Cabrera de Mar,2020-11-01,7,177,0.96,28395.82,418.12,0.99
08030,Cabrils,2020-11-01,6,257,0.98,49504.27,84.50,1.00
08031,Calaf,2020-11-01,12,130,0.91,17749.27,611.68,0.97
08032,Caldes d'Estrac,2020-11-01,7,75,0.91,11949.44,542.77,0.95
08033,Caldes de Montbui,2020-11-01,46,377,0.88,74329.46,3175.68,0.96
08034,Calders,2020-11-01,3,59,0.95,13331.16,77.91,0.99
08035,Calella,2020-11-01,5,171,0.97,34858.59,1203.82,0.97
08036,Calonge de Segarra,2020-11-01,3,20,0.85,1786.90,216.73,0.88
08037,Calldetenes,2020-11-01,4,114,0.96,11274.04,121.72,0.99
08038,Callús,2020-11-01,4,61,0.93,9714.30,310.44,0.97
08039,Campins,2020-11-01,0,23,1.00,5487.11,0.00,1.00
08040,Canet de Mar,2020-11-01,3,298,0.99,37501.37,375.57,0.99
08041,Canovelles,2020-11-01,20,159,0.87,34544.01,1498.08,0.96
08042,Cànoves i Samalús,2020-11-01,25,111,0.77,21736.26,1629.84,0.93
08043,Canyelles,2020-11-01,3,234,0.99,54643.61,140.09,1.00
08044,Capellades,2020-11-01,0,97,1.00,15507.80,0.00,1.00
08045,Capolat,2020-11-01,0,1,1.00,140.86,0.00,1.00
08046,Cardedeu,2020-11-01,68,391,0.83,64410.11,4262.33,0.93
08047,Cardona,2020-11-01,8,121,0.93,18239.05,311.73,0.98
08048,Carme,2020-11-01,0,31,1.00,4217.89,0.00,1.00
08049,Casserres,2020-11-01,9,82,0.89,8242.24,414.71,0.95
08050,Castellar del Riu,2020-11-01,0,4,1.00,1981.98,0.00,1.00
08051,Castellar del Vallès,2020-11-01,30,565,0.95,105470.97,1189.45,0.99
08052,Castellar de n'Hug,2020-11-01,7,33,0.79,2534.99,144.74,0.94
