id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
06001,Acedera,2020-11-01,8,59,0.86,10497.87,645.95,0.94
06002,Aceuchal,2020-11-01,29,149,0.81,28077.42,6007.27,0.79
06003,Ahillones,2020-11-01,9,49,0.82,7772.27,1006.27,0.87
06004,Alange,2020-11-01,33,92,0.64,13851.68,3400.69,0.75
06005,La Albuera,2020-11-01,18,78,0.77,13758.64,1901.81,0.86
06006,Alburquerque,2020-11-01,35,214,0.84,23718.36,2629.09,0.89
06007,Alconchel,2020-11-01,32,109,0.71,13234.07,2247.25,0.83
06008,Alconera,2020-11-01,8,41,0.80,5468.85,1085.34,0.80
06009,Aljucén,2020-11-01,8,29,0.72,2694.26,458.53,0.83
06010,Almendral,2020-11-01,18,76,0.76,9096.32,1362.78,0.85
06011,Almendralejo,2020-11-01,65,653,0.90,121156.38,14859.06,0.88
06012,Arroyo de San Serván,2020-11-01,20,106,0.81,21530.10,2434.68,0.89
06013,Atalaya,2020-11-01,4,32,0.88,3119.42,335.76,0.89
06014,Azuaga,2020-11-01,46,257,0.82,38477.95,2957.04,0.92
06015,Badajoz,2020-11-01,238,2677,0.91,453423.23,53993.41,0.88
06016,Barcarrota,2020-11-01,17,57,0.70,14324.44,2576.70,0.82
06017,Baterno,2020-11-01,2,24,0.92,2169.94,275.83,0.87
06018,Benquerencia de la Serena,2020-11-01,36,51,0.29,11134.58,6848.49,0.38
06019,Berlanga,2020-11-01,40,90,0.56,16484.49,4673.51,0.72
06020,Bienvenida,2020-11-01,5,79,0.94,11765.18,211.45,0.98
06021,Bodonal de la Sierra,2020-11-01,5,48,0.90,7164.62,324.96,0.95
06022,Burguillos del Cerro,2020-11-01,31,161,0.81,21484.85,2435.68,0.89
06023,Cabeza del Buey,2020-11-01,77,150,0.49,29862.74,12008.38,0.60
06024,Cabeza la Vaca,2020-11-01,6,78,0.92,9823.24,704.50,0.93
06025,Calamonte,2020-11-01,24,146,0.84,23236.41,1172.45,0.95
06026,Calera de León,2020-11-01,7,49,0.86,4610.82,499.95,0.89
06027,Calzadilla de los Barros,2020-11-01,10,74,0.86,8044.58,689.82,0.91
06028,Campanario,2020-11-01,39,258,0.85,33489.17,3801.68,0.89
06029,Campillo de Llerena,2020-11-01,17,41,0.59,7811.76,2236.59,0.71
06030,Capilla,2020-11-01,11,29,0.62,3936.74,1002.03,0.75
06031,Carmonita,2020-11-01,11,38,0.71,3689.47,672.86,0.82
06032,El Carrascalejo,2020-11-01,7,16,0.56,1470.71,467.76,0.68
06033,Casas de Don Pedro,2020-11-01,59,107,0.45,18386.24,9766.78,0.47
06034,Casas de Reina,2020-11-01,1,34,0.97,3394.28,20.22,0.99
06035,Castilblanco,2020-11-01,27,110,0.75,14440.61,3367.79,0.77
06036,Castuera,2020-11-01,50,244,0.80,41437.26,4415.49,0.89
06037,La Codosera,2020-11-01,23,112,0.79,14147.70,1605.80,0.89
