id,ES-LO,ES-RI,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
26001,ES-LO,ES-RI,Ábalos,2020-11-01,32,43,0.26,2725.87,4616.23,0.41
26002,ES-LO,ES-RI,Agoncillo,2020-11-01,29,63,0.54,3023.81,11988.69,0.75
26003,ES-LO,ES-RI,Aguilar del Río Alhama,2020-11-01,81,82,0.01,5545.79,5634.06,0.02
26004,ES-LO,ES-RI,Ajamil,2020-11-01,11,11,0.00,1079.10,1079.10,0.00
26005,ES-LO,ES-RI,Albelda de Iregua,2020-11-01,42,110,0.62,5986.26,17905.80,0.67
26006,ES-LO,ES-RI,Alberite,2020-11-01,25,81,0.69,2397.18,10335.82,0.77
26007,ES-LO,ES-RI,Alcanadre,2020-11-01,75,101,0.26,4757.51,8604.05,0.45
26008,ES-LO,ES-RI,Aldeanueva de Ebro,2020-11-01,16,143,0.89,2855.82,25538.38,0.89
26009,ES-LO,ES-RI,Alesanco,2020-11-01,9,47,0.81,834.33,6593.88,0.87
26010,ES-LO,ES-RI,Alesón,2020-11-01,13,13,0.00,1268.77,1268.77,0.00
26011,ES-LO,ES-RI,Alfaro,2020-11-01,86,306,0.72,13602.20,43077.50,0.68
26012,ES-LO,ES-RI,Almarza de Cameros,2020-11-01,15,15,0.00,1410.21,1410.21,0.00
26013,ES-LO,ES-RI,Anguciana,2020-11-01,17,46,0.63,2101.11,6463.67,0.67
26014,ES-LO,ES-RI,Anguiano,2020-11-01,20,21,0.05,3756.89,3766.05,0.00
26015,ES-LO,ES-RI,Arenzana de Abajo,2020-11-01,24,24,0.00,2994.52,2994.52,0.00
26016,ES-LO,ES-RI,Arenzana de Arriba,2020-11-01,9,9,0.00,1242.95,1242.95,0.00
26017,ES-LO,ES-RI,Arnedillo,2020-11-01,46,47,0.02,4697.65,5183.42,0.09
26018,ES-LO,ES-RI,Arnedo,2020-11-01,101,282,0.64,12317.13,35452.57,0.65
26019,ES-LO,ES-RI,Arrúbal,2020-11-01,44,79,0.44,9880.97,17323.36,0.43
26020,ES-LO,ES-RI,Ausejo,2020-11-01,70,70,0.00,11172.13,11172.13,0.00
26021,ES-LO,ES-RI,Autol,2020-11-01,65,104,0.38,7024.94,12225.17,0.43
26022,ES-LO,ES-RI,Azofra,2020-11-01,20,38,0.47,2135.29,4405.07,0.52
26023,ES-LO,ES-RI,Badarán,2020-11-01,36,36,0.00,5626.77,5626.77,0.00
26024,ES-LO,ES-RI,Bañares,2020-11-01,60,61,0.02,9746.58,9764.66,0.00
26025,ES-LO,ES-RI,Baños de Rioja,2020-11-01,16,16,0.00,1702.81,1702.81,0.00
26026,ES-LO,ES-RI,Baños de Río Tobía,2020-11-01,15,43,0.65,1301.39,8065.89,0.84
26027,ES-LO,ES-RI,Berceo,2020-11-01,20,20,0.00,2895.29,2895.29,0.00
26028,ES-LO,ES-RI,Bergasa,2020-11-01,16,16,0.00,1954.06,1954.06,0.00
26029,ES-LO,ES-RI,Bergasillas Bajera,2020-11-01,3,3,0.00,443.48,443.48,0.00
26030,ES-LO,ES-RI,Bezares,2020-11-01,10,10,0.00,1317.65,1317.65,0.00
26031,ES-LO,ES-RI,Bobadilla,2020-11-01,5,5,0.00,710.06,710.06,0.00
26032,ES-LO,ES-RI,Brieva de Cameros,2020-11-01,3,18,0.83,97.52,1728.13,0.94
26033,ES-LO,ES-RI,Briñas,2020-11-01,18,39,0.54,1219.84,3676.50,0.67
26034,ES-LO,ES-RI,Briones,2020-11-01,45,75,0.40,7160.78,11767.98,0.39
26035,ES-LO,ES-RI,Cabezón de Cameros,2020-11-01,6,6,0.00,496.16,496.16,0.00
26036,ES-LO,ES-RI,Calahorra,2020-11-01,89,249,0.64,9537.29,40792.49,0.77
26037,ES-LO,ES-RI,Camprovín,2020-11-01,8,8,0.00,1395.07,1395.07,0.00
26038,ES-LO,ES-RI,Canales de la Sierra,2020-11-01,2,16,0.88,36.15,876.01,0.96
26039,ES-LO,ES-RI,Canillas de Río Tuerto,2020-11-01,13,13,0.00,2032.80,2032.80,0.00
26040,ES-LO,ES-RI,Cañas,2020-11-01,15,15,0.00,1457.09,1457.09,0.00
26041,ES-LO,ES-RI,Cárdenas,2020-11-01,15,15,0.00,1773.64,1773.64,0.00
26042,ES-LO,ES-RI,Casalarreina,2020-11-01,58,78,0.26,9105.46,13435.60,0.32
26043,ES-LO,ES-RI,Castañares de Rioja,2020-11-01,2,23,0.91,106.70,4085.12,0.97
26044,ES-LO,ES-RI,Castroviejo,2020-11-01,10,12,0.17,2119.30,2519.15,0.16
26045,ES-LO,ES-RI,Cellorigo,2020-11-01,1,7,0.86,91.04,1436.94,0.94
26046,ES-LO,ES-RI,Cenicero,2020-11-01,34,76,0.55,3382.50,9262.67,0.63
26047,ES-LO,ES-RI,Cervera del Río Alhama,2020-11-01,117,121,0.03,16252.92,16785.13,0.03
26048,ES-LO,ES-RI,Cidamón,2020-11-01,1,1,0.00,66.33,66.33,0.00
