id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
27001,ES-LU,ES-GA,Abadín,2020-11-01,41,47,0.13,7710.30,9402.18,0.18
27002,ES-LU,ES-GA,Alfoz,2020-11-01,52,52,0.00,9493.36,9493.36,0.00
27003,ES-LU,ES-GA,Antas de Ulla,2020-11-01,227,243,0.07,34969.89,38887.60,0.10
27004,ES-LU,ES-GA,Baleira,2020-11-01,245,252,0.03,30844.41,31820.93,0.03
27005,ES-LU,ES-GA,Barreiros,2020-11-01,58,84,0.31,9864.78,17495.52,0.44
27006,ES-LU,ES-GA,Becerreá,2020-11-01,301,345,0.13,39977.06,49191.58,0.19
27007,ES-LU,ES-GA,Begonte,2020-11-01,103,112,0.08,16446.56,18600.00,0.12
27008,ES-LU,ES-GA,Bóveda,2020-11-01,143,160,0.11,19288.15,21965.71,0.12
27009,ES-LU,ES-GA,Carballedo,2020-11-01,413,413,0.00,48823.77,48823.77,0.00
27010,ES-LU,ES-GA,Castro de Rei,2020-11-01,488,506,0.04,56229.74,59397.07,0.05
27011,ES-LU,ES-GA,Castroverde,2020-11-01,399,411,0.03,52563.66,54456.94,0.03
27012,ES-LU,ES-GA,Cervantes,2020-11-01,367,375,0.02,43071.91,44402.04,0.03
27013,ES-LU,ES-GA,Cervo,2020-11-01,54,138,0.61,6415.13,18099.54,0.65
27014,ES-LU,ES-GA,O Corgo,2020-11-01,461,473,0.03,59527.30,62507.63,0.05
27015,ES-LU,ES-GA,Cospeito,2020-11-01,82,108,0.24,19480.66,25598.16,0.24
27016,ES-LU,ES-GA,Chantada,2020-11-01,663,721,0.08,77283.19,86527.75,0.11
27017,ES-LU,ES-GA,Folgoso do Courel,2020-11-01,375,375,0.00,33056.50,33056.50,0.00
27018,ES-LU,ES-GA,A Fonsagrada,2020-11-01,482,515,0.06,58645.94,64451.23,0.09
27019,ES-LU,ES-GA,Foz,2020-11-01,74,188,0.61,10804.16,33348.44,0.68
27020,ES-LU,ES-GA,Friol,2020-11-01,86,106,0.19,15155.25,18109.68,0.16
27021,ES-LU,ES-GA,Xermade,2020-11-01,62,63,0.02,7744.02,7819.50,0.01
27022,ES-LU,ES-GA,Guitiriz,2020-11-01,458,540,0.15,53894.21,67757.59,0.20
27023,ES-LU,ES-GA,Guntín,2020-11-01,96,101,0.05,28902.34,30183.03,0.04
27024,ES-LU,ES-GA,O Incio,2020-11-01,333,338,0.01,36004.54,36861.87,0.02
27025,ES-LU,ES-GA,Xove,2020-11-01,20,41,0.51,2546.31,7458.52,0.66
27026,ES-LU,ES-GA,Láncara,2020-11-01,348,365,0.05,40581.51,45152.20,0.10
27027,ES-LU,ES-GA,Lourenzá,2020-11-01,166,183,0.09,18945.03,21255.26,0.11
27028,ES-LU,ES-GA,Lugo,2020-11-01,1181,2603,0.55,166238.03,358398.01,0.54
27029,ES-LU,ES-GA,Meira,2020-11-01,148,165,0.10,17359.02,20692.48,0.16
27030,ES-LU,ES-GA,Mondoñedo,2020-11-01,264,333,0.21,27888.43,36400.19,0.23
27031,ES-LU,ES-GA,Monforte de Lemos,2020-11-01,504,638,0.21,61860.41,98050.10,0.37
27032,ES-LU,ES-GA,Monterroso,2020-11-01,302,389,0.22,39252.83,51721.46,0.24
27033,ES-LU,ES-GA,Muras,2020-11-01,12,15,0.20,1512.17,2343.37,0.35
27034,ES-LU,ES-GA,Navia de Suarna,2020-11-01,403,422,0.05,46266.14,48047.77,0.04
27035,ES-LU,ES-GA,Negueira de Muñiz,2020-11-01,39,39,0.00,4606.38,4606.38,0.00
27037,ES-LU,ES-GA,As Nogais,2020-11-01,173,184,0.06,23377.66,24873.37,0.06
27038,ES-LU,ES-GA,Ourol,2020-11-01,5,10,0.50,406.84,1458.71,0.72
27039,ES-LU,ES-GA,Outeiro de Rei,2020-11-01,193,202,0.04,40893.57,42891.13,0.05
27040,ES-LU,ES-GA,Palas de Rei,2020-11-01,368,392,0.06,48363.10,51681.94,0.06
27041,ES-LU,ES-GA,Pantón,2020-11-01,229,245,0.07,39289.85,41838.23,0.06
27042,ES-LU,ES-GA,Paradela,2020-11-01,239,245,0.02,31187.60,32102.35,0.03
27043,ES-LU,ES-GA,O Páramo,2020-11-01,147,147,0.00,20122.67,20122.67,0.00
27044,ES-LU,ES-GA,A Pastoriza,2020-11-01,674,697,0.03,72856.09,76935.15,0.05
27045,ES-LU,ES-GA,Pedrafita do Cebreiro,2020-11-01,185,201,0.08,22570.79,25151.79,0.10
27046,ES-LU,ES-GA,Pol,2020-11-01,277,282,0.02,41130.92,41925.26,0.02
27047,ES-LU,ES-GA,A Pobra do Brollón,2020-11-01,329,348,0.05,32453.86,34108.17,0.05
27048,ES-LU,ES-GA,A Pontenova,2020-11-01,310,321,0.03,42037.87,46562.49,0.10
27049,ES-LU,ES-GA,Portomarín,2020-11-01,171,199,0.14,21090.42,25290.83,0.17
27050,ES-LU,ES-GA,Quiroga,2020-11-01,239,462,0.48,25647.80,50885.22,0.50
27051,ES-LU,ES-GA,Ribadeo,2020-11-01,307,460,0.33,36499.51,59419.02,0.39
27052,ES-LU,ES-GA,Ribas de Sil,2020-11-01,97,150,0.35,11536.88,17723.20,0.35
27053,ES-LU,ES-GA,Ribeira de Piquín,2020-11-01,148,148,0.00,18607.32,18607.32,0.00
27054,ES-LU,ES-GA,Riotorto,2020-11-01,155,164,0.05,24466.95,26075.18,0.06
27055,ES-LU,ES-GA,Samos,2020-11-01,232,242,0.04,21988.24,22823.31,0.04
27056,ES-LU,ES-GA,Rábade,2020-11-01,12,60,0.80,2862.68,12454.49,0.77
27057,ES-LU,ES-GA,Sarria,2020-11-01,747,894,0.16,71079.88,95460.13,0.26
27058,ES-LU,ES-GA,O Saviñao,2020-11-01,429,477,0.10,61117.45,68120.02,0.10
27059,ES-LU,ES-GA,Sober,2020-11-01,566,578,0.02,50093.29,51701.78,0.03
27060,ES-LU,ES-GA,Taboada,2020-11-01,63,109,0.42,10609.70,17675.51,0.40
27061,ES-LU,ES-GA,Trabada,2020-11-01,199,209,0.05,17440.59,18894.43,0.08
27062,ES-LU,ES-GA,Triacastela,2020-11-01,93,98,0.05,12516.74,13609.26,0.08
27063,ES-LU,ES-GA,O Valadouro,2020-11-01,35,58,0.40,5847.32,9736.21,0.40
27064,ES-LU,ES-GA,O Vicedo,2020-11-01,4,24,0.83,613.07,3552.73,0.83
27065,ES-LU,ES-GA,Vilalba,2020-11-01,919,1024,0.10,99477.70,116452.60,0.15
27066,ES-LU,ES-GA,Viveiro,2020-11-01,24,196,0.88,1159.77,20204.34,0.94
27901,ES-LU,ES-GA,Baralla,2020-11-01,343,377,0.09,44430.86,50049.23,0.11
27902,ES-LU,ES-GA,Burela,2020-11-01,42,218,0.81,3909.22,38511.39,0.90
