id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
31001,Abáigar,2020-11-01,4,21,0.81,222.43,1834.73,0.88
31002,Abárzuza/Abartzuza,2020-11-01,7,56,0.88,246.63,5594.22,0.96
31003,Abaurregaina/Abaurrea Alta,2020-11-01,2,25,0.92,663.60,3226.41,0.79
31004,Abaurrepea/Abaurrea Baja,2020-11-01,0,9,1.00,0.00,852.40,1.00
31005,Aberin,2020-11-01,1,22,0.95,53.66,2944.00,0.98
31006,Ablitas,2020-11-01,2,85,0.98,307.69,14574.82,0.98
31007,Adiós,2020-11-01,0,18,1.00,0.00,2137.74,1.00
31008,Aguilar de Codés,2020-11-01,1,12,0.92,29.36,2378.93,0.99
31009,Aibar/Oibar,2020-11-01,4,60,0.93,264.40,7767.77,0.97
31010,Altsasu/Alsasua,2020-11-01,1,172,0.99,60.93,19967.21,1.00
31011,Allín/Allin,2020-11-01,7,108,0.94,1154.17,13507.24,0.91
31012,Allo,2020-11-01,0,48,1.00,0.00,7416.38,1.00
31013,Améscoa Baja,2020-11-01,4,113,0.96,155.36,11878.57,0.99
31014,Ancín/Antzin,2020-11-01,2,39,0.95,384.33,6636.34,0.94
31015,Andosilla,2020-11-01,11,106,0.90,736.79,15201.59,0.95
31016,Ansoáin/Antsoain,2020-11-01,0,58,1.00,0.00,10537.47,1.00
31017,Anue,2020-11-01,1,58,0.98,36.63,5593.38,0.99
31018,Añorbe,2020-11-01,0,31,1.00,0.00,4523.85,1.00
31019,Aoiz/Agoitz,2020-11-01,6,61,0.90,819.86,11950.91,0.93
31020,Araitz,2020-11-01,2,30,0.93,89.60,3214.21,0.97
31021,Aranarache/Aranaratxe,2020-11-01,0,13,1.00,0.00,1470.41,1.00
31022,Arantza,2020-11-01,0,37,1.00,0.00,2889.54,1.00
31023,Aranguren,2020-11-01,19,393,0.95,825.47,42654.58,0.98
31024,Arano,2020-11-01,0,14,1.00,0.00,835.09,1.00
31025,Arakil,2020-11-01,0,95,1.00,0.00,10913.07,1.00
31026,Aras,2020-11-01,0,44,1.00,0.00,3461.86,1.00
31027,Arbizu,2020-11-01,0,37,1.00,0.00,4616.71,1.00
31028,Arce/Artzi,2020-11-01,2,66,0.97,103.29,6542.39,0.98
31029,Los Arcos,2020-11-01,3,50,0.94,244.83,6149.28,0.96
31030,Arellano,2020-11-01,1,17,0.94,42.83,2915.86,0.99
31031,Areso,2020-11-01,2,39,0.95,1619.95,5060.08,0.68
31032,Arguedas,2020-11-01,15,129,0.88,641.78,12947.77,0.95
31033,Aria,2020-11-01,0,8,1.00,0.00,980.10,1.00
31034,Aribe,2020-11-01,0,5,1.00,0.00,380.88,1.00
31035,Armañanzas,2020-11-01,1,13,0.92,79.12,1300.56,0.94
31036,Arróniz,2020-11-01,1,47,0.98,21.98,6794.92,1.00
31037,Arruazu,2020-11-01,0,16,1.00,0.00,1044.77,1.00
31038,Artajona,2020-11-01,2,75,0.97,263.78,11352.93,0.98
31039,Artazu,2020-11-01,0,11,1.00,0.00,1125.61,1.00
31040,Atetz / Atez,2020-11-01,0,35,1.00,0.00,4697.00,1.00
31041,Ayegui,2020-11-01,7,136,0.95,646.36,21669.82,0.97
31042,Azagra,2020-11-01,4,80,0.95,492.05,14106.36,0.97
31043,Azuelo,2020-11-01,0,12,1.00,0.00,1059.21,1.00
31044,Bakaiku,2020-11-01,0,33,1.00,0.00,2821.76,1.00
31045,Barásoain,2020-11-01,14,50,0.72,1506.68,6301.84,0.76
31046,Barbarin,2020-11-01,0,10,1.00,0.00,1456.72,1.00
31047,Bargota,2020-11-01,1,29,0.97,72.57,3844.79,0.98
31048,Barillas,2020-11-01,1,25,0.96,43.84,3531.41,0.99
31049,Basaburúa Mayor,2020-11-01,2,105,0.98,348.20,10852.58,0.97
31050,Baztan,2020-11-01,37,416,0.91,6115.34,50051.48,0.88
31051,Beire,2020-11-01,1,29,0.97,64.16,3719.11,0.98
31052,Belascoáin,2020-11-01,0,16,1.00,0.00,1995.76,1.00
31053,Berbinzana,2020-11-01,0,35,1.00,0.00,4757.27,1.00
31054,Bertizarana,2020-11-01,3,46,0.93,44.19,4519.32,0.99
31055,Betelu,2020-11-01,0,25,1.00,0.00,2912.79,1.00
31056,Biurrun-Olcoz,2020-11-01,0,43,1.00,0.00,5615.24,1.00
31057,Buñuel,2020-11-01,15,82,0.82,1239.41,18074.95,0.93
31058,Auritz/Burguete,2020-11-01,0,18,1.00,0.00,2428.74,1.00
31059,Burgui/Burgi,2020-11-01,1,25,0.96,88.81,3010.24,0.97
31060,Burlada/Burlata,2020-11-01,3,194,0.98,234.75,20055.70,0.99
31061,El Busto,2020-11-01,1,16,0.94,72.40,1932.87,0.96
31062,Cabanillas,2020-11-01,0,28,1.00,0.00,8840.48,1.00
31063,Cabredo,2020-11-01,0,0,1,0.00,0.00,1
31064,Cadreita,2020-11-01,1,65,0.98,70.14,12755.55,0.99
31065,Caparroso,2020-11-01,6,67,0.91,895.53,12025.68,0.93
31066,Cárcar,2020-11-01,5,48,0.90,176.44,9691.54,0.98
31067,Carcastillo,2020-11-01,5,122,0.96,234.28,18482.12,0.99
31068,Cascante,2020-11-01,19,115,0.83,1994.73,14781.24,0.87
31069,Cáseda,2020-11-01,1,63,0.98,1473.71,11474.02,0.87
31070,Castejón,2020-11-01,16,84,0.81,3387.03,22382.13,0.85
31071,Castillonuevo,2020-11-01,0,7,1.00,0.00,554.96,1.00
31072,Cintruénigo,2020-11-01,13,185,0.93,1759.18,41967.64,0.96
31073,Ziordia,2020-11-01,0,40,1.00,0.00,4026.56,1.00
31074,Cirauqui,2020-11-01,4,65,0.94,95.72,5973.44,0.98
31075,Ciriza,2020-11-01,2,11,0.82,171.85,1707.15,0.90
31076,Cizur,2020-11-01,11,257,0.96,873.08,25210.43,0.97
31077,Corella,2020-11-01,25,183,0.86,2141.55,30636.76,0.93
31078,Cortes,2020-11-01,11,110,0.90,377.05,15818.77,0.98
31079,Desojo,2020-11-01,1,15,0.93,58.23,2096.37,0.97
31080,Dicastillo,2020-11-01,0,28,1.00,0.00,4374.04,1.00
31081,Donamaria,2020-11-01,0,17,1.00,0.00,2347.08,1.00
31082,Etxalar,2020-11-01,1,33,0.97,10.63,4068.75,1.00
31083,Echarri/Etxarri,2020-11-01,0,10,1.00,0.00,1027.66,1.00
31084,Etxarri-Aranatz,2020-11-01,1,128,0.99,51.60,13335.86,1.00
31085,Etxauri,2020-11-01,4,50,0.92,156.32,5695.26,0.97
31086,Valle de Egüés/Eguesibar,2020-11-01,11,426,0.97,835.75,67668.31,0.99
31087,Elgorriaga,2020-11-01,2,12,0.83,99.74,1218.31,0.92
31088,Noáin (Valle de Elorz)/Noain (Elortzibar),2020-11-01,4,195,0.98,1001.88,29652.43,0.97
