id,ES-SO,ES-CL,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
42001,ES-SO,ES-CL,Abejar,2020-11-01,30,57,0.47,2786.08,6788.74,0.59
42003,ES-SO,ES-CL,Adradas,2020-11-01,24,24,0.00,4020.47,4020.47,0.00
42004,ES-SO,ES-CL,Ágreda,2020-11-01,19,193,0.90,1590.29,22040.92,0.93
42006,ES-SO,ES-CL,Alconaba,2020-11-01,13,44,0.70,1829.05,5784.18,0.68
42007,ES-SO,ES-CL,Alcubilla de Avellaneda,2020-11-01,0,32,1.00,0.00,2415.58,1.00
42008,ES-SO,ES-CL,Alcubilla de las Peñas,2020-11-01,30,36,0.17,3952.68,4617.64,0.14
42009,ES-SO,ES-CL,Aldealafuente,2020-11-01,17,36,0.53,1232.61,2749.01,0.55
42010,ES-SO,ES-CL,Aldealices,2020-11-01,8,8,0.00,1122.46,1122.46,0.00
42011,ES-SO,ES-CL,Aldealpozo,2020-11-01,10,10,0.00,1071.77,1071.77,0.00
42012,ES-SO,ES-CL,Aldealseñor,2020-11-01,12,12,0.00,1565.89,1565.89,0.00
42013,ES-SO,ES-CL,Aldehuela de Periáñez,2020-11-01,6,13,0.54,494.17,1485.29,0.67
42014,ES-SO,ES-CL,Las Aldehuelas,2020-11-01,34,43,0.21,1758.43,2419.20,0.27
42015,ES-SO,ES-CL,Alentisque,2020-11-01,11,11,0.00,1242.64,1242.64,0.00
42016,ES-SO,ES-CL,Aliud,2020-11-01,11,11,0.00,948.22,948.22,0.00
42017,ES-SO,ES-CL,Almajano,2020-11-01,6,32,0.81,749.83,2794.44,0.73
42018,ES-SO,ES-CL,Almaluez,2020-11-01,39,40,0.03,4716.96,4793.95,0.02
42019,ES-SO,ES-CL,Almarza,2020-11-01,17,151,0.89,1786.50,15181.35,0.88
42020,ES-SO,ES-CL,Almazán,2020-11-01,15,246,0.94,1638.70,31528.12,0.95
42021,ES-SO,ES-CL,Almazul,2020-11-01,20,35,0.43,2994.52,4127.34,0.27
42022,ES-SO,ES-CL,Almenar de Soria,2020-11-01,45,65,0.31,5960.09,7766.23,0.23
42023,ES-SO,ES-CL,Alpanseque,2020-11-01,17,17,0.00,2261.18,2261.18,0.00
42024,ES-SO,ES-CL,Arancón,2020-11-01,20,38,0.47,1794.26,3268.95,0.45
42025,ES-SO,ES-CL,Arcos de Jalón,2020-11-01,165,322,0.49,16472.67,32210.48,0.49
42026,ES-SO,ES-CL,Arenillas,2020-11-01,12,12,0.00,1559.78,1559.78,0.00
42027,ES-SO,ES-CL,Arévalo de la Sierra,2020-11-01,1,42,0.98,44.33,3641.50,0.99
42028,ES-SO,ES-CL,Ausejo de la Sierra,2020-11-01,24,24,0.00,3180.83,3180.83,0.00
42029,ES-SO,ES-CL,Baraona,2020-11-01,58,61,0.05,5979.80,6329.95,0.06
42030,ES-SO,ES-CL,Barca,2020-11-01,2,35,0.94,63.82,3462.85,0.98
42031,ES-SO,ES-CL,Barcones,2020-11-01,11,11,0.00,1784.53,1784.53,0.00
42032,ES-SO,ES-CL,Bayubas de Abajo,2020-11-01,6,26,0.77,552.87,2605.98,0.79
42033,ES-SO,ES-CL,Bayubas de Arriba,2020-11-01,9,9,0.00,1096.17,1096.17,0.00
42034,ES-SO,ES-CL,Beratón,2020-11-01,16,16,0.00,2299.49,2299.49,0.00
42035,ES-SO,ES-CL,Berlanga de Duero,2020-11-01,0,171,1.00,0.00,15147.06,1.00
42036,ES-SO,ES-CL,Blacos,2020-11-01,18,20,0.10,1155.78,1395.03,0.17
42037,ES-SO,ES-CL,Bliecos,2020-11-01,8,8,0.00,1051.52,1051.52,0.00
42038,ES-SO,ES-CL,Borjabad,2020-11-01,9,14,0.36,792.52,1457.06,0.46
42039,ES-SO,ES-CL,Borobia,2020-11-01,20,24,0.17,2853.54,3097.85,0.08
42041,ES-SO,ES-CL,Buberos,2020-11-01,7,7,0.00,901.11,901.11,0.00
42042,ES-SO,ES-CL,Buitrago,2020-11-01,1,17,0.94,105.77,1666.00,0.94
42043,ES-SO,ES-CL,Burgo de Osma-Ciudad de Osma,2020-11-01,63,423,0.85,4138.02,50725.87,0.92
42044,ES-SO,ES-CL,Cabrejas del Campo,2020-11-01,21,21,0.00,1990.94,1990.94,0.00
42045,ES-SO,ES-CL,Cabrejas del Pinar,2020-11-01,0,60,1.00,0.00,5348.96,1.00
