id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
03001,l'Atzúbia,2020-11-01,3,24,0.88,4992.88,916.05,0.82
03002,Agost,2020-11-01,11,104,0.89,17506.53,855.86,0.95
03003,Agres,2020-11-01,1,20,0.95,1851.65,17.36,0.99
03004,Aigües,2020-11-01,12,61,0.80,10159.17,2088.92,0.79
03005,Albatera,2020-11-01,70,241,0.71,52704.75,17367.54,0.67
03006,Alcalalí,2020-11-01,64,101,0.37,14849.68,12186.93,0.18
03007,Alcocer de Planes,2020-11-01,0,12,1.00,1171.10,0.00,1.00
03008,Alcoleja,2020-11-01,2,12,0.83,1139.81,96.41,0.92
03009,Alcoi / Alcoy,2020-11-01,142,780,0.82,122397.23,17285.55,0.86
03010,Alfafara,2020-11-01,3,12,0.75,2242.11,138.74,0.94
03011,l'Alfàs del Pi,2020-11-01,197,687,0.71,119267.01,31599.26,0.74
03012,Algorfa,2020-11-01,6,230,0.97,44826.30,1136.69,0.97
03013,Algueña,2020-11-01,5,145,0.97,17120.40,476.74,0.97
03014,Alacant / Alicante,2020-11-01,470,3627,0.87,564298.77,55589.23,0.90
03015,Almoradí,2020-11-01,68,381,0.82,70355.05,8867.29,0.87
03016,Almudaina,2020-11-01,4,18,0.78,1294.81,88.59,0.93
03017,l'Alqueria d'Asnar,2020-11-01,11,32,0.66,3320.19,644.09,0.81
03018,Altea,2020-11-01,327,667,0.51,159948.16,80247.43,0.50
03019,Aspe,2020-11-01,47,429,0.89,81619.05,5288.80,0.94
03020,Balones,2020-11-01,5,25,0.80,1537.12,288.13,0.81
03021,Banyeres de Mariola,2020-11-01,84,248,0.66,37056.79,11671.32,0.69
03022,Benasau,2020-11-01,0,10,1.00,1956.27,0.00,1.00
03023,Beneixama,2020-11-01,0,54,1.00,13718.36,0.00,1.00
03024,Benejúzar,2020-11-01,7,160,0.96,28027.71,662.94,0.98
03025,Benferri,2020-11-01,9,142,0.94,20356.76,1125.09,0.94
03026,Beniarbeig,2020-11-01,23,104,0.78,13038.62,1840.54,0.86
03027,Beniardá,2020-11-01,4,13,0.69,632.27,184.49,0.71
03028,Beniarrés,2020-11-01,23,38,0.39,3149.79,1778.22,0.44
03029,Benigembla,2020-11-01,6,30,0.80,3271.15,354.87,0.89
03030,Benidoleig,2020-11-01,32,59,0.46,11508.86,6013.10,0.48
03031,Benidorm,2020-11-01,305,929,0.67,153121.71,40366.57,0.74
03032,Benifallim,2020-11-01,2,20,0.90,1499.03,414.71,0.72
03033,Benifato,2020-11-01,1,4,0.75,178.31,7.17,0.96
03034,Benijófar,2020-11-01,24,175,0.86,31888.88,4209.40,0.87
03035,Benilloba,2020-11-01,0,43,1.00,4376.48,0.00,1.00
03036,Benillup,2020-11-01,0,6,1.00,665.75,0.00,1.00
03037,Benimantell,2020-11-01,1,4,0.75,399.78,60.65,0.85
03038,Benimarfull,2020-11-01,10,33,0.70,3598.23,493.60,0.86
03039,Benimassot,2020-11-01,11,13,0.15,903.11,610.44,0.32
03040,Benimeli,2020-11-01,6,19,0.68,1432.25,344.96,0.76
03041,Benissa,2020-11-01,285,552,0.48,129185.47,69241.15,0.46
03042,el Poble Nou de Benitatxell / Benitachell,2020-11-01,219,297,0.26,72058.56,51284.11,0.29
03043,Biar,2020-11-01,2,159,0.99,20224.88,84.22,1.00
03044,Bigastro,2020-11-01,27,214,0.87,27776.65,2847.02,0.90
03045,Bolulla,2020-11-01,1,15,0.93,1001.27,33.14,0.97
03046,Busot,2020-11-01,40,156,0.74,40898.93,5150.51,0.87
03047,Calp,2020-11-01,394,846,0.53,173322.95,75962.14,0.56
03048,Callosa d'en Sarrià,2020-11-01,43,135,0.68,24607.04,15872.96,0.35
03049,Callosa de Segura,2020-11-01,94,524,0.82,77010.21,15775.17,0.80
03050,el Campello,2020-11-01,135,659,0.80,121943.35,14426.04,0.88
03051,el Camp de Mirra / Campo de Mirra,2020-11-01,1,34,0.97,5432.16,10.23,1.00
03052,Cañada,2020-11-01,1,62,0.98,10312.31,74.80,0.99
