id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
38049,Valle Gran Rey,2020-12-01,25,135,0.81,2695.59,18627.81,0.86
35030,Tuineje,2020-12-01,112,369,0.70,22479.35,73746.32,0.70
38017,Granadilla de Abona,2020-12-01,325,1067,0.70,41064.06,159915.82,0.74
35001,Agaete,2020-12-01,33,187,0.82,2902.57,21740.45,0.87
38030,Puntallana,2020-12-01,56,85,0.34,7278.81,12970.38,0.44
38014,Fuencaliente de la Palma,2020-12-01,65,122,0.47,5911.41,15118.16,0.61
38046,Tegueste,2020-12-01,63,278,0.77,4803.85,43188.33,0.89
38051,La Victoria de Acentejo,2020-12-01,18,101,0.82,1656.34,25075.66,0.93
38053,Villa de Mazo,2020-12-01,120,151,0.21,24336.65,31357.94,0.22
38031,Los Realejos,2020-12-01,198,675,0.71,27746.68,100256.43,0.72
38001,Adeje,2020-12-01,475,1160,0.59,44599.39,155144.20,0.71
35019,San Bartolomé de Tirajana,2020-12-01,157,1242,0.87,15774.21,213628.14,0.93
35013,Moya,2020-12-01,4,181,0.98,188.15,30997.05,0.99
38045,Tazacorte,2020-12-01,40,105,0.62,3027.23,9485.19,0.68
35022,Santa Lucía de Tirajana,2020-12-01,103,870,0.88,6549.90,131874.49,0.95
38036,San Sebastián de la Gomera,2020-12-01,120,206,0.42,19421.01,32349.51,0.40
38035,San Miguel de Abona,2020-12-01,238,485,0.51,36926.94,92012.23,0.60
35004,Arrecife,2020-12-01,94,969,0.90,6884.84,124513.06,0.94
35018,San Bartolomé,2020-12-01,67,473,0.86,4111.68,64957.10,0.94
38028,Puerto de la Cruz,2020-12-01,110,678,0.84,7150.41,73601.28,0.90
38034,San Juan de la Rambla,2020-12-01,50,149,0.66,7440.92,22131.02,0.66
35008,Firgas,2020-12-01,3,182,0.98,289.09,32977.00,0.99
38003,Alajeró,2020-12-01,106,131,0.19,11373.11,15530.17,0.27
38050,Vallehermoso,2020-12-01,74,87,0.15,15148.27,19577.85,0.23
35026,Telde,2020-12-01,60,1848,0.97,3436.13,251857.34,0.99
35027,Teror,2020-12-01,7,270,0.97,389.45,36790.49,0.99
38009,Breña Baja,2020-12-01,56,157,0.64,8124.20,30771.98,0.74
35024,Teguise,2020-12-01,118,1079,0.89,7599.37,169086.20,0.96
35028,Tías,2020-12-01,111,675,0.84,9463.20,117241.52,0.92
38011,Candelaria,2020-12-01,155,522,0.70,18103.29,72400.92,0.75
38008,Breña Alta,2020-12-01,119,258,0.54,16215.59,42652.01,0.62
38023,San Cristóbal de La Laguna,2020-12-01,635,2975,0.79,57857.89,403151.88,0.86
35020,La Aldea de San Nicolás,2020-12-01,7,186,0.96,375.04,39984.30,0.99
38006,Arona,2020-12-01,497,1686,0.71,54658.70,226135.93,0.76
38004,Arafo,2020-12-01,55,210,0.74,5496.61,28352.32,0.81
38022,Icod de los Vinos,2020-12-01,406,705,0.42,55546.59,104820.43,0.47
35021,Santa Brígida,2020-12-01,13,369,0.96,1030.86,69431.81,0.99
35025,Tejeda,2020-12-01,4,49,0.92,518.74,12093.15,0.96
35015,Pájara,2020-12-01,85,480,0.82,8109.14,65562.00,0.88
38025,La Matanza de Acentejo,2020-12-01,65,144,0.55,7000.94,27543.94,0.75
35031,Valsequillo de Gran Canaria,2020-12-01,5,231,0.98,645.12,51132.44,0.99
38027,El Paso,2020-12-01,88,213,0.59,13249.99,53117.71,0.75
38041,El Sauzal,2020-12-01,54,199,0.73,7056.41,38756.89,0.82
38002,Agulo,2020-12-01,12,29,0.59,6157.29,7658.25,0.20
38048,Valverde,2020-12-01,84,297,0.72,10269.77,43061.69,0.76
35003,Antigua,2020-12-01,39,304,0.87,6225.95,68321.20,0.91
38033,San Andrés y Sauces,2020-12-01,31,84,0.63,7074.68,18040.96,0.61
38016,Garafía,2020-12-01,35,57,0.39,12480.56,14387.48,0.13
38021,Hermigua,2020-12-01,25,29,0.14,6423.55,7030.33,0.09
35012,Mogán,2020-12-01,54,542,0.90,5119.23,91742.74,0.94
38024,Los Llanos de Aridane,2020-12-01,139,430,0.68,17282.52,70889.16,0.76
35016,Las Palmas de Gran Canaria,2020-12-01,256,3667,0.93,24557.59,558876.64,0.96
38043,Tacoronte,2020-12-01,154,440,0.65,17840.79,92593.83,0.81
38032,El Rosario,2020-12-01,52,329,0.84,5534.20,58821.65,0.91
38052,Vilaflor,2020-12-01,34,77,0.56,3307.34,8898.74,0.63
38039,Santa Úrsula,2020-12-01,61,462,0.87,3950.75,57667.79,0.93
38007,Barlovento,2020-12-01,33,52,0.37,7971.30,12331.98,0.35
38010,Buenavista del Norte,2020-12-01,97,220,0.56,8091.67,25215.13,0.68
35005,Artenara,2020-12-01,3,27,0.89,347.72,6657.07,0.95
35033,Vega de San Mateo,2020-12-01,7,128,0.95,1332.95,27728.04,0.95
35014,La Oliva,2020-12-01,229,950,0.76,40486.06,204589.38,0.80
35007,Betancuria,2020-12-01,12,48,0.75,2441.93,8558.27,0.71
38029,Puntagorda,2020-12-01,20,79,0.75,5283.10,24152.03,0.78
38038,Santa Cruz de Tenerife,2020-12-01,468,3013,0.84,29832.94,369530.18,0.92
38018,La Guancha,2020-12-01,67,194,0.65,6407.50,24629.10,0.74
38026,La Orotava,2020-12-01,489,1018,0.52,59932.66,153641.45,0.61
35017,Puerto del Rosario,2020-12-01,407,772,0.47,88405.88,180579.28,0.51
38901,El Pinar de El Hierro,2020-12-01,22,98,0.78,7492.57,18473.44,0.59
35010,Haría,2020-12-01,10,249,0.96,346.98,37297.57,0.99
38015,Garachico,2020-12-01,46,210,0.78,5220.35,24981.13,0.79
35011,Ingenio,2020-12-01,16,781,0.98,648.94,102068.28,0.99
35032,Valleseco,2020-12-01,5,78,0.94,293.97,19057.83,0.98
38037,Santa Cruz de la Palma,2020-12-01,80,286,0.72,5952.17,26810.37,0.78
35002,Agüimes,2020-12-01,45,684,0.93,2907.98,117107.91,0.98
35006,Arucas,2020-12-01,36,661,0.95,1940.79,93077.90,0.98
38042,Los Silos,2020-12-01,16,195,0.92,594.29,21201.01,0.97
35034,Yaiza,2020-12-01,562,1541,0.64,42950.69,197382.04,0.78
38040,Santiago del Teide,2020-12-01,55,274,0.80,3529.51,31966.95,0.89
38005,Arico,2020-12-01,133,435,0.69,15216.26,59487.48,0.74
38044,El Tanque,2020-12-01,51,126,0.60,4859.28,17500.76,0.72
38012,Fasnia,2020-12-01,30,98,0.69,3764.36,18692.72,0.80
38019,Guía de Isora,2020-12-01,82,474,0.83,10014.48,63172.83,0.84
35023,Santa María de Guía de Gran Canaria,2020-12-01,11,243,0.95,423.46,40703.67,0.99
38013,Frontera,2020-12-01,27,151,0.82,1740.28,20633.50,0.92
35029,Tinajo,2020-12-01,11,233,0.95,559.80,47341.02,0.99
38020,Güímar,2020-12-01,144,448,0.68,13759.67,62169.81,0.78
35009,Gáldar,2020-12-01,25,587,0.96,1686.81,98368.62,0.98
38047,Tijarafe,2020-12-01,54,88,0.39,14271.89,26190.16,0.46
