id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
26001,Ábalos,2020-12-01,32,43,0.26,4616.23,2725.87,0.41
26002,Agoncillo,2020-12-01,29,63,0.54,11988.69,3023.81,0.75
26003,Aguilar del Río Alhama,2020-12-01,81,82,0.01,5634.06,5545.79,0.02
26004,Ajamil,2020-12-01,11,11,0.00,1079.10,1079.10,0.00
26005,Albelda de Iregua,2020-12-01,42,110,0.62,17905.80,5986.26,0.67
26006,Alberite,2020-12-01,25,81,0.69,10335.82,2397.18,0.77
26007,Alcanadre,2020-12-01,71,103,0.31,8819.50,4646.41,0.47
26008,Aldeanueva de Ebro,2020-12-01,16,143,0.89,25538.38,2855.82,0.89
26009,Alesanco,2020-12-01,9,47,0.81,6593.88,834.33,0.87
26010,Alesón,2020-12-01,13,13,0.00,1268.77,1268.77,0.00
26011,Alfaro,2020-12-01,86,306,0.72,43077.50,13602.20,0.68
26012,Almarza de Cameros,2020-12-01,15,15,0.00,1410.21,1410.21,0.00
26013,Anguciana,2020-12-01,17,46,0.63,6463.67,2101.11,0.67
26014,Anguiano,2020-12-01,20,21,0.05,3766.05,3756.89,0.00
26015,Arenzana de Abajo,2020-12-01,24,24,0.00,2994.52,2994.52,0.00
26016,Arenzana de Arriba,2020-12-01,9,9,0.00,1242.95,1242.95,0.00
26017,Arnedillo,2020-12-01,46,47,0.02,5183.42,4697.65,0.09
26018,Arnedo,2020-12-01,101,282,0.64,35452.57,12317.13,0.65
26019,Arrúbal,2020-12-01,44,79,0.44,17323.36,9880.97,0.43
26020,Ausejo,2020-12-01,70,70,0.00,11172.13,11172.13,0.00
26021,Autol,2020-12-01,65,104,0.38,12225.17,7024.94,0.43
26022,Azofra,2020-12-01,20,38,0.47,4405.07,2135.29,0.52
26023,Badarán,2020-12-01,36,36,0.00,5626.77,5626.77,0.00
26024,Bañares,2020-12-01,60,61,0.02,9764.66,9746.58,0.00
26025,Baños de Rioja,2020-12-01,16,16,0.00,1702.81,1702.81,0.00
26026,Baños de Río Tobía,2020-12-01,15,43,0.65,8065.89,1301.39,0.84
26027,Berceo,2020-12-01,20,20,0.00,2895.29,2895.29,0.00
26028,Bergasa,2020-12-01,16,16,0.00,1954.06,1954.06,0.00
26029,Bergasillas Bajera,2020-12-01,3,3,0.00,443.48,443.48,0.00
26030,Bezares,2020-12-01,10,10,0.00,1317.65,1317.65,0.00
26031,Bobadilla,2020-12-01,5,5,0.00,710.06,710.06,0.00
26032,Brieva de Cameros,2020-12-01,3,18,0.83,1728.13,97.52,0.94
26033,Briñas,2020-12-01,18,39,0.54,3676.50,1219.84,0.67
26034,Briones,2020-12-01,45,75,0.40,11767.98,7160.78,0.39
26035,Cabezón de Cameros,2020-12-01,6,6,0.00,496.16,496.16,0.00
26036,Calahorra,2020-12-01,89,249,0.64,40793.78,9537.08,0.77
26037,Camprovín,2020-12-01,8,8,0.00,1395.07,1395.07,0.00
26038,Canales de la Sierra,2020-12-01,2,16,0.88,876.01,36.15,0.96
26039,Canillas de Río Tuerto,2020-12-01,13,13,0.00,2032.80,2032.80,0.00
26040,Cañas,2020-12-01,15,15,0.00,1457.09,1457.09,0.00
26041,Cárdenas,2020-12-01,15,15,0.00,1773.64,1773.64,0.00
26042,Casalarreina,2020-12-01,58,78,0.26,13435.60,9105.46,0.32
26043,Castañares de Rioja,2020-12-01,2,23,0.91,4085.12,106.70,0.97
26044,Castroviejo,2020-12-01,10,12,0.17,2519.15,2119.30,0.16
26045,Cellorigo,2020-12-01,1,7,0.86,1436.94,91.04,0.94
26046,Cenicero,2020-12-01,34,76,0.55,9262.67,3382.50,0.63
26047,Cervera del Río Alhama,2020-12-01,117,121,0.03,16785.13,16252.92,0.03
26048,Cidamón,2020-12-01,1,1,0.00,66.33,66.33,0.00
26049,Cihuri,2020-12-01,13,50,0.74,6692.76,891.37,0.87
26050,Cirueña,2020-12-01,33,39,0.15,8122.24,6789.78,0.16
26051,Clavijo,2020-12-01,35,38,0.08,3757.70,3277.73,0.13
26052,Cordovín,2020-12-01,24,24,0.00,3123.86,3123.86,0.00
26053,Corera,2020-12-01,20,20,0.00,2793.92,2793.92,0.00
26054,Cornago,2020-12-01,71,79,0.10,6549.35,5607.70,0.14
26055,Corporales,2020-12-01,0,16,1.00,1909.17,0.00,1.00
26056,Cuzcurrita de Río Tirón,2020-12-01,43,63,0.32,9075.05,5673.65,0.37
26057,Daroca de Rioja,2020-12-01,10,10,0.00,1955.72,1955.72,0.00
26058,Enciso,2020-12-01,7,41,0.83,3863.87,416.84,0.89
26059,Entrena,2020-12-01,41,100,0.59,11976.83,4079.37,0.66
26060,Estollo,2020-12-01,22,22,0.00,2917.25,2917.25,0.00
26061,Ezcaray,2020-12-01,9,162,0.94,17070.08,604.35,0.96
26062,Foncea,2020-12-01,13,13,0.00,2102.08,2102.08,0.00
26063,Fonzaleche,2020-12-01,24,48,0.50,4294.55,1749.25,0.59
26064,Fuenmayor,2020-12-01,78,86,0.09,11218.27,10282.92,0.08
26065,Galbárruli,2020-12-01,24,24,0.00,1773.72,1773.72,0.00
26066,Galilea,2020-12-01,27,27,0.00,4468.71,4468.71,0.00
26067,Gallinero de Cameros,2020-12-01,0,9,1.00,832.03,0.00,1.00
26068,Gimileo,2020-12-01,15,15,0.00,1481.58,1481.58,0.00
26069,Grañón,2020-12-01,3,25,0.88,3619.06,99.51,0.97
26070,Grávalos,2020-12-01,15,25,0.40,3562.25,1638.38,0.54
26071,Haro,2020-12-01,101,289,0.65,43189.47,12227.47,0.72
26072,Herce,2020-12-01,8,8,0.00,1323.40,1323.40,0.00
26073,Herramélluri,2020-12-01,9,16,0.44,1991.37,665.11,0.67
26074,Hervías,2020-12-01,22,22,0.00,3137.85,3137.85,0.00
26075,Hormilla,2020-12-01,43,43,0.00,4789.31,4789.31,0.00
26076,Hormilleja,2020-12-01,31,31,0.00,3347.24,3347.24,0.00
26077,Hornillos de Cameros,2020-12-01,11,11,0.00,635.10,635.10,0.00
26078,Hornos de Moncalvillo,2020-12-01,11,16,0.31,1091.34,469.36,0.57
26079,Huércanos,2020-12-01,47,47,0.00,6352.70,6352.70,0.00
26080,Igea,2020-12-01,10,10,0.00,1395.61,1395.61,0.00
26081,Jalón de Cameros,2020-12-01,7,7,0.00,836.08,836.08,0.00
26082,Laguna de Cameros,2020-12-01,31,31,0.00,3168.77,3168.77,0.00
26083,Lagunilla del Jubera,2020-12-01,41,41,0.00,5993.69,5993.69,0.00
26084,Lardero,2020-12-01,36,201,0.82,31619.95,4793.63,0.85
26086,Ledesma de la Cogolla,2020-12-01,10,10,0.00,1116.96,1116.96,0.00
26087,Leiva,2020-12-01,25,49,0.49,4933.27,1654.32,0.66
26088,Leza de Río Leza,2020-12-01,17,17,0.00,2763.21,2763.21,0.00
26089,Logroño,2020-12-01,565,1982,0.71,230647.82,46266.10,0.80
26091,Lumbreras de Cameros,2020-12-01,53,72,0.26,7427.38,3746.39,0.50
26092,Manjarrés,2020-12-01,9,9,0.00,1500.68,1500.68,0.00
26093,Mansilla de la Sierra,2020-12-01,0,8,1.00,1633.12,0.00,1.00
26094,Manzanares de Rioja,2020-12-01,18,18,0.00,2319.43,2319.43,0.00
26095,Matute,2020-12-01,15,15,0.00,2380.44,2380.44,0.00
26096,Medrano,2020-12-01,5,21,0.76,2700.28,766.75,0.72
26098,Munilla,2020-12-01,11,11,0.00,1288.35,1288.35,0.00
26099,Murillo de Río Leza,2020-12-01,4,35,0.89,4686.57,158.48,0.97
26100,Muro de Aguas,2020-12-01,38,71,0.46,4629.72,1789.22,0.61
26101,Muro en Cameros,2020-12-01,37,38,0.03,2605.66,2153.92,0.17
26102,Nájera,2020-12-01,92,159,0.42,21641.32,11290.58,0.48
26103,Nalda,2020-12-01,84,102,0.18,14975.52,12017.04,0.20
26104,Navajún,2020-12-01,0,4,1.00,1059.78,0.00,1.00
26105,Navarrete,2020-12-01,44,97,0.55,12917.28,4310.63,0.67
26106,Nestares,2020-12-01,1,18,0.94,1228.27,137.25,0.89
26107,Nieva de Cameros,2020-12-01,1,33,0.97,3324.34,14.72,1.00
26108,Ocón,2020-12-01,50,77,0.35,8906.60,6432.98,0.28
26109,Ochánduri,2020-12-01,22,25,0.12,2781.71,1996.31,0.28
26110,Ojacastro,2020-12-01,4,47,0.91,5505.73,265.38,0.95
