id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
03001,l'Atzúbia,2020-12-01,3,24,0.88,916.05,4992.88,0.82
03002,Agost,2020-12-01,10,111,0.91,834.69,17596.53,0.95
03003,Agres,2020-12-01,1,20,0.95,17.36,1851.65,0.99
03004,Aigües,2020-12-01,12,61,0.80,2088.92,10159.17,0.79
03005,Albatera,2020-12-01,70,241,0.71,17367.54,52704.75,0.67
03006,Alcalalí,2020-12-01,64,101,0.37,12186.93,14849.68,0.18
03007,Alcocer de Planes,2020-12-01,0,12,1.00,0.00,1171.10,1.00
03008,Alcoleja,2020-12-01,2,12,0.83,96.41,1139.81,0.92
03009,Alcoi / Alcoy,2020-12-01,137,787,0.83,16723.23,121379.71,0.86
03010,Alfafara,2020-12-01,3,12,0.75,138.74,2242.11,0.94
03011,l'Alfàs del Pi,2020-12-01,197,687,0.71,31599.26,119267.01,0.74
03012,Algorfa,2020-12-01,6,230,0.97,1136.69,44826.30,0.97
03013,Algueña,2020-12-01,5,145,0.97,476.74,17120.40,0.97
03014,Alacant / Alicante,2020-12-01,470,3634,0.87,55586.34,564292.04,0.90
03015,Almoradí,2020-12-01,68,381,0.82,8867.29,70355.05,0.87
03016,Almudaina,2020-12-01,4,18,0.78,88.59,1294.81,0.93
03017,l'Alqueria d'Asnar,2020-12-01,11,32,0.66,644.09,3320.19,0.81
03018,Altea,2020-12-01,327,667,0.51,80247.43,159948.16,0.50
03019,Aspe,2020-12-01,47,429,0.89,5288.80,81619.05,0.94
03020,Balones,2020-12-01,5,25,0.80,288.13,1537.12,0.81
03021,Banyeres de Mariola,2020-12-01,84,250,0.66,11736.27,37174.14,0.68
03022,Benasau,2020-12-01,0,10,1.00,0.00,1956.27,1.00
03023,Beneixama,2020-12-01,0,54,1.00,0.00,13718.36,1.00
03024,Benejúzar,2020-12-01,7,160,0.96,662.94,28027.71,0.98
03025,Benferri,2020-12-01,9,142,0.94,1125.09,20356.76,0.94
03026,Beniarbeig,2020-12-01,23,104,0.78,1840.54,13038.62,0.86
03027,Beniardá,2020-12-01,4,13,0.69,184.49,632.27,0.71
03028,Beniarrés,2020-12-01,23,38,0.39,1778.22,3149.79,0.44
03029,Benigembla,2020-12-01,6,30,0.80,354.87,3271.15,0.89
03030,Benidoleig,2020-12-01,32,59,0.46,6013.10,11508.86,0.48
03031,Benidorm,2020-12-01,301,925,0.67,40165.00,153050.39,0.74
03032,Benifallim,2020-12-01,2,20,0.90,414.71,1499.03,0.72
03033,Benifato,2020-12-01,1,4,0.75,7.17,178.31,0.96
03034,Benijófar,2020-12-01,24,175,0.86,4209.40,31888.88,0.87
03035,Benilloba,2020-12-01,0,43,1.00,0.00,4376.48,1.00
03036,Benillup,2020-12-01,0,6,1.00,0.00,665.75,1.00
03037,Benimantell,2020-12-01,1,4,0.75,60.65,399.78,0.85
03038,Benimarfull,2020-12-01,10,33,0.70,493.60,3598.23,0.86
03039,Benimassot,2020-12-01,11,13,0.15,610.44,903.11,0.32
03040,Benimeli,2020-12-01,6,19,0.68,344.96,1432.25,0.76
03041,Benissa,2020-12-01,285,552,0.48,69781.69,129725.10,0.46
03042,el Poble Nou de Benitatxell / Benitachell,2020-12-01,219,297,0.26,51284.11,72058.56,0.29
03043,Biar,2020-12-01,2,159,0.99,84.22,20224.88,1.00
03044,Bigastro,2020-12-01,27,213,0.87,2849.86,27624.85,0.90
03045,Bolulla,2020-12-01,1,15,0.93,33.14,1001.27,0.97
03046,Busot,2020-12-01,40,156,0.74,5150.51,40898.93,0.87
03047,Calp,2020-12-01,400,854,0.53,76089.43,173983.00,0.56
03048,Callosa d'en Sarrià,2020-12-01,44,136,0.68,16037.89,24771.97,0.35
03049,Callosa de Segura,2020-12-01,94,524,0.82,15775.17,77010.21,0.80
03050,el Campello,2020-12-01,135,659,0.80,14426.04,121943.35,0.88
03051,el Camp de Mirra / Campo de Mirra,2020-12-01,1,34,0.97,10.23,5432.16,1.00
03052,Cañada,2020-12-01,1,62,0.98,74.80,10312.31,0.99
03053,Castalla,2020-12-01,49,336,0.85,7463.02,60219.50,0.88
03054,Castell de Castells,2020-12-01,3,23,0.87,138.33,2128.46,0.94
03055,Catral,2020-12-01,49,346,0.86,8517.67,58806.56,0.86
03056,Cocentaina,2020-12-01,61,246,0.75,5327.49,37464.80,0.86
03057,Confrides,2020-12-01,11,22,0.50,986.34,2439.40,0.60
03058,Cox,2020-12-01,37,339,0.89,4987.57,61672.98,0.92
03059,Crevillent,2020-12-01,312,795,0.61,61543.27,138708.98,0.56
03060,Quatretondeta,2020-12-01,11,27,0.59,595.86,1574.93,0.62
03061,Daya Nueva,2020-12-01,0,93,1.00,0.00,13533.56,1.00
03062,Daya Vieja,2020-12-01,10,62,0.84,803.61,7028.72,0.89
03063,Dénia,2020-12-01,557,1301,0.57,72330.15,224578.86,0.68
03064,Dolores,2020-12-01,0,228,1.00,0.00,47373.70,1.00
03065,Elx / Elche,2020-12-01,1632,4003,0.59,314497.73,785414.79,0.60
03066,Elda,2020-12-01,158,761,0.79,13443.90,105163.84,0.87
03067,Facheca,2020-12-01,0,7,1.00,0.00,777.55,1.00
03068,Famorca,2020-12-01,1,7,0.86,69.68,501.81,0.86
03069,Finestrat,2020-12-01,218,462,0.53,32514.97,80909.43,0.60
03070,Formentera del Segura,2020-12-01,0,136,1.00,0.00,17510.38,1.00
03071,Gata de Gorgos,2020-12-01,59,106,0.44,8268.45,15382.20,0.46
03072,Gaianes,2020-12-01,0,22,1.00,0.00,2409.41,1.00
03073,Gorga,2020-12-01,4,9,0.56,531.47,1247.34,0.57
03074,Granja de Rocamora,2020-12-01,15,84,0.82,1259.36,10810.39,0.88
03075,el Castell de Guadalest,2020-12-01,6,14,0.57,1568.44,2216.44,0.29
03076,Guardamar del Segura,2020-12-01,52,768,0.93,6755.61,112373.28,0.94
03077,el Fondó de les Neus / Hondón de las Nieves,2020-12-01,16,141,0.89,1809.76,23925.48,0.92
03078,Hondón de los Frailes,2020-12-01,4,48,0.92,453.27,7123.62,0.94
03079,Ibi,2020-12-01,121,423,0.71,13626.74,63723.07,0.79
03080,Jacarilla,2020-12-01,14,109,0.87,1828.88,15050.32,0.88
03081,Xaló,2020-12-01,16,40,0.60,3154.73,6364.32,0.50
03082,Xàbia / Jávea,2020-12-01,651,1463,0.56,111457.84,296235.03,0.62
03083,Xixona / Jijona,2020-12-01,47,167,0.72,6857.72,20549.50,0.67
03084,l'Orxa / Lorcha,2020-12-01,2,5,0.60,102.42,534.53,0.81
03085,Llíber,2020-12-01,6,16,0.63,208.29,931.43,0.78
03086,Millena,2020-12-01,2,6,0.67,206.59,755.13,0.73
03088,Monforte del Cid,2020-12-01,75,343,0.78,13431.50,73599.68,0.82
03089,Monòver / Monóvar,2020-12-01,99,452,0.78,17656.62,70518.57,0.75
03090,Mutxamel,2020-12-01,142,572,0.75,16850.36,118168.01,0.86
03091,Murla,2020-12-01,2,22,0.91,16.76,3260.98,0.99
03092,Muro de Alcoy,2020-12-01,56,153,0.63,6290.73,21522.73,0.71
03093,Novelda,2020-12-01,29,339,0.91,5102.40,68818.30,0.93
03094,la Nucia,2020-12-01,197,582,0.66,36454.44,105113.30,0.65
