id,name,date,incomplete,total,percentage
04001,Abla,2021-01-31,26,543,0.95
04002,Abrucena,2021-01-31,7,272,0.97
04003,Adra,2021-01-31,35,1402,0.98
04004,Albánchez,2021-01-31,2,164,0.99
04005,Alboloduy,2021-01-31,7,161,0.96
04006,Albox,2021-01-31,69,737,0.91
04007,Alcolea,2021-01-31,16,293,0.95
04008,Alcóntar,2021-01-31,17,169,0.90
04009,Alcudia de Monteagud,2021-01-31,3,65,0.95
04010,Alhabia,2021-01-31,64,422,0.85
04011,Alhama de Almería,2021-01-31,13,294,0.96
04012,Alicún,2021-01-31,1,98,0.99
04013,Almería,2021-01-31,282,12669,0.98
04014,Almócita,2021-01-31,2,143,0.99
04015,Alsodux,2021-01-31,2,43,0.95
04016,Antas,2021-01-31,26,504,0.95
04017,Arboleas,2021-01-31,30,644,0.95
04018,Armuña de Almanzora,2021-01-31,3,57,0.95
04019,Bacares,2021-01-31,1,311,1.00
04020,Bayárcal,2021-01-31,19,207,0.91
04021,Bayarque,2021-01-31,1,93,0.99
04022,Bédar,2021-01-31,24,218,0.89
04023,Beires,2021-01-31,3,97,0.97
04024,Benahadux,2021-01-31,26,347,0.93
04026,Benitagla,2021-01-31,0,39,1.00
04027,Benizalón,2021-01-31,3,107,0.97
04028,Bentarique,2021-01-31,3,50,0.94
04029,Berja,2021-01-31,96,625,0.85
04030,Canjáyar,2021-01-31,2,241,0.99
04031,Cantoria,2021-01-31,66,386,0.83
04032,Carboneras,2021-01-31,128,898,0.86
04033,Castro de Filabres,2021-01-31,13,231,0.94
04034,Cóbdar,2021-01-31,0,72,1.00
04035,Cuevas del Almanzora,2021-01-31,258,1500,0.83
04036,Chercos,2021-01-31,0,53,1.00
04037,Chirivel,2021-01-31,16,480,0.97
04038,Dalías,2021-01-31,32,676,0.95
04041,Enix,2021-01-31,9,196,0.95
04043,Felix,2021-01-31,5,202,0.98
04044,Fines,2021-01-31,18,206,0.91
04045,Fiñana,2021-01-31,10,342,0.97
04046,Fondón,2021-01-31,15,446,0.97
04047,Gádor,2021-01-31,4,375,0.99
04048,Los Gallardos,2021-01-31,19,503,0.96
04049,Garrucha,2021-01-31,36,469,0.92
04050,Gérgal,2021-01-31,59,720,0.92
04051,Huécija,2021-01-31,0,78,1.00
04052,Huércal de Almería,2021-01-31,45,926,0.95
04053,Huércal-Overa,2021-01-31,242,2401,0.90
04054,Íllar,2021-01-31,6,85,0.93
04055,Instinción,2021-01-31,3,117,0.97
04056,Laroya,2021-01-31,1,88,0.99
04057,Láujar de Andarax,2021-01-31,0,569,1.00
04058,Líjar,2021-01-31,5,168,0.97
04059,Lubrín,2021-01-31,39,408,0.90
04060,Lucainena de las Torres,2021-01-31,8,346,0.98
04061,Lúcar,2021-01-31,23,183,0.87
04062,Macael,2021-01-31,35,371,0.91
04063,María,2021-01-31,15,465,0.97
04064,Mojácar,2021-01-31,156,969,0.84
04065,Nacimiento,2021-01-31,9,222,0.96
04066,Níjar,2021-01-31,268,4372,0.94
04067,Ohanes,2021-01-31,1,169,0.99
04068,Olula de Castro,2021-01-31,6,128,0.95
04069,Olula del Río,2021-01-31,75,483,0.84
04070,Oria,2021-01-31,10,270,0.96
04071,Padules,2021-01-31,1,158,0.99
04072,Partaloa,2021-01-31,4,118,0.97
04073,Paterna del Río,2021-01-31,7,139,0.95
04074,Pechina,2021-01-31,13,355,0.96
04075,Pulpí,2021-01-31,203,1401,0.86
04076,Purchena,2021-01-31,18,310,0.94
