id,name,date,incomplete,total,percentage
22001,Abiego,2021-01-31,3,253,0.99
22002,Abizanda,2021-01-31,21,223,0.91
22003,Adahuesca,2021-01-31,3,82,0.96
22006,Aísa,2021-01-31,22,339,0.94
22007,Albalate de Cinca,2021-01-31,43,185,0.77
22008,Albalatillo,2021-01-31,5,63,0.92
22009,Albelda,2021-01-31,10,200,0.95
22012,Albero Bajo,2021-01-31,9,178,0.95
22013,Alberuela de Tubo,2021-01-31,24,46,0.48
22016,Alcampell / el Campell,2021-01-31,3,133,0.98
22017,Alcolea de Cinca,2021-01-31,23,107,0.79
22018,Alcubierre,2021-01-31,8,156,0.95
22020,Alfántega,2021-01-31,20,33,0.39
22022,Almunia de San Juan,2021-01-31,25,108,0.77
22023,Almuniente,2021-01-31,21,158,0.87
22024,Alquézar,2021-01-31,23,260,0.91
22025,Altorricón / el Torricó,2021-01-31,18,195,0.91
22028,Ansó,2021-01-31,5,434,0.99
22032,Aragüés del Puerto,2021-01-31,6,134,0.96
22035,Arén,2021-01-31,13,155,0.92
22039,Ayerbe,2021-01-31,1,593,1.00
22040,Azanuy-Alins,2021-01-31,19,122,0.84
22041,Azara,2021-01-31,8,35,0.77
22042,Azlor,2021-01-31,5,22,0.77
22043,Baells,2021-01-31,8,69,0.88
22044,Bailo,2021-01-31,38,282,0.87
22045,Baldellou,2021-01-31,2,23,0.91
22046,Ballobar,2021-01-31,5,215,0.98
22047,Banastás,2021-01-31,0,62,1.00
22048,Barbastro,2021-01-31,99,1411,0.93
22049,Barbués,2021-01-31,0,126,1.00
22050,Barbuñales,2021-01-31,7,42,0.83
22051,Bárcabo,2021-01-31,15,220,0.93
22052,Belver de Cinca,2021-01-31,18,102,0.82
22053,Benabarre,2021-01-31,35,552,0.94
22054,Benasque,2021-01-31,86,1274,0.93
22055,Berbegal,2021-01-31,11,175,0.94
22057,Bielsa,2021-01-31,23,444,0.95
22058,Bierge,2021-01-31,11,708,0.98
22059,Biescas,2021-01-31,111,2575,0.96
22060,Binaced,2021-01-31,26,139,0.81
22061,Binéfar,2021-01-31,53,645,0.92
22062,Bisaurri,2021-01-31,34,175,0.81
22063,Biscarrués,2021-01-31,0,211,1.00
22064,Blecua y Torres,2021-01-31,15,290,0.95
22066,Boltaña,2021-01-31,28,591,0.95
22067,Bonansa,2021-01-31,5,145,0.97
22068,Borau,2021-01-31,5,66,0.92
22069,Broto,2021-01-31,40,726,0.94
22072,Caldearenas,2021-01-31,17,408,0.96
22074,Campo,2021-01-31,16,134,0.88
22075,Camporrells,2021-01-31,2,24,0.92
22076,Canal de Berdún,2021-01-31,23,478,0.95
22077,Candasnos,2021-01-31,4,287,0.99
22078,Canfranc,2021-01-31,15,321,0.95
22079,Capdesaso,2021-01-31,13,25,0.48
22080,Capella,2021-01-31,26,210,0.88
22081,Casbas de Huesca,2021-01-31,21,802,0.97
22082,Castejón del Puente,2021-01-31,7,146,0.95
22083,Castejón de Monegros,2021-01-31,8,150,0.95
22084,Castejón de Sos,2021-01-31,30,222,0.86
22085,Castelflorite,2021-01-31,5,47,0.89
22086,Castiello de Jaca,2021-01-31,15,223,0.93
22087,Castigaleu,2021-01-31,3,67,0.96
22088,Castillazuelo,2021-01-31,5,66,0.92
22089,Castillonroy,2021-01-31,14,245,0.94
22090,Colungo,2021-01-31,10,97,0.90
22094,Chalamera,2021-01-31,21,42,0.50
22095,Chía,2021-01-31,10,68,0.85
22096,Chimillas,2021-01-31,0,106,1.00
22099,Esplús,2021-01-31,13,70,0.81
22102,Estada,2021-01-31,1,169,0.99
22103,Estadilla,2021-01-31,15,552,0.97
22105,Estopiñán del Castillo / Estopanyà,2021-01-31,7,135,0.95
22106,Fago,2021-01-31,2,61,0.97
22107,Fanlo,2021-01-31,17,469,0.96
22109,Fiscal,2021-01-31,48,499,0.90
22110,Fonz,2021-01-31,50,339,0.85
22111,Foradada del Toscar,2021-01-31,4,225,0.98
22112,Fraga,2021-01-31,66,1616,0.96
22113,La Fueva,2021-01-31,38,654,0.94
22114,Gistaín,2021-01-31,12,243,0.95
22115,El Grado,2021-01-31,14,405,0.97
22116,Grañén,2021-01-31,37,502,0.93
22117,Graus,2021-01-31,65,997,0.93
22119,Gurrea de Gállego,2021-01-31,27,541,0.95
22122,Hoz de Jaca,2021-01-31,8,187,0.96
