id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
22001,Abiego,2021-01-01,3,31,0.90,218.88,2984.64,0.93
22002,Abizanda,2021-01-01,21,29,0.28,1513.19,2080.20,0.27
22003,Adahuesca,2021-01-01,3,16,0.81,474.86,1629.09,0.71
22006,Aísa,2021-01-01,22,56,0.61,2588.17,5490.75,0.53
22007,Albalate de Cinca,2021-01-01,43,70,0.39,5048.59,8626.41,0.41
22008,Albalatillo,2021-01-01,5,25,0.80,435.67,3083.44,0.86
22009,Albelda,2021-01-01,10,30,0.67,701.04,3308.98,0.79
22012,Albero Bajo,2021-01-01,9,24,0.63,524.39,2827.71,0.81
22013,Alberuela de Tubo,2021-01-01,24,24,0.00,3977.83,3977.83,0.00
22016,Alcampell / el Campell,2021-01-01,3,55,0.95,315.22,5982.10,0.95
22017,Alcolea de Cinca,2021-01-01,23,52,0.56,1912.83,7077.54,0.73
22018,Alcubierre,2021-01-01,8,32,0.75,792.82,4666.69,0.83
22020,Alfántega,2021-01-01,20,29,0.31,1097.66,2407.34,0.54
22022,Almunia de San Juan,2021-01-01,25,51,0.51,1815.06,7512.00,0.76
22023,Almuniente,2021-01-01,21,42,0.50,4681.70,6852.98,0.32
22024,Alquézar,2021-01-01,19,34,0.44,2862.73,4473.96,0.36
22025,Altorricón / el Torricó,2021-01-01,18,81,0.78,1262.66,9160.28,0.86
22028,Ansó,2021-01-01,5,48,0.90,270.07,3310.25,0.92
22032,Aragüés del Puerto,2021-01-01,6,53,0.89,300.92,2615.22,0.88
22035,Arén,2021-01-01,13,26,0.50,1506.89,2820.39,0.47
22039,Ayerbe,2021-01-01,1,52,0.98,63.23,7111.70,0.99
22040,Azanuy-Alins,2021-01-01,19,31,0.39,1910.35,3164.01,0.40
22041,Azara,2021-01-01,8,8,0.00,1352.09,1352.09,0.00
22042,Azlor,2021-01-01,5,5,0.00,1516.21,1516.21,0.00
22043,Baells,2021-01-01,8,14,0.43,1043.75,1412.42,0.26
22044,Bailo,2021-01-01,38,68,0.44,2402.87,5511.19,0.56
22045,Baldellou,2021-01-01,2,3,0.33,179.07,602.86,0.70
22046,Ballobar,2021-01-01,5,54,0.91,449.94,6111.05,0.93
22047,Banastás,2021-01-01,0,22,1.00,0.00,3820.92,1.00
22048,Barbastro,2021-01-01,99,473,0.79,8949.89,58351.09,0.85
22049,Barbués,2021-01-01,0,11,1.00,0.00,1045.71,1.00
22050,Barbuñales,2021-01-01,7,15,0.53,479.97,2464.38,0.81
22051,Bárcabo,2021-01-01,15,15,0.00,1177.11,1177.11,0.00
22052,Belver de Cinca,2021-01-01,18,41,0.56,1736.35,7094.07,0.76
22053,Benabarre,2021-01-01,34,100,0.66,2846.43,9978.97,0.71
22054,Benasque,2021-01-01,85,142,0.40,8770.48,14608.72,0.40
22055,Berbegal,2021-01-01,11,36,0.69,966.63,3192.91,0.70
22057,Bielsa,2021-01-01,23,43,0.47,2053.55,4148.84,0.51
22058,Bierge,2021-01-01,11,40,0.73,1099.98,3643.69,0.70
22059,Biescas,2021-01-01,111,321,0.65,9694.10,26482.61,0.63
22060,Binaced,2021-01-01,26,80,0.68,1744.14,9947.88,0.82
22061,Binéfar,2021-01-01,53,244,0.78,5897.77,31044.32,0.81
22062,Bisaurri,2021-01-01,34,37,0.08,2419.64,2697.94,0.10
22063,Biscarrués,2021-01-01,0,20,1.00,0.00,2526.98,1.00
22064,Blecua y Torres,2021-01-01,15,30,0.50,1533.03,3228.44,0.53
22066,Boltaña,2021-01-01,28,83,0.66,2894.23,9152.55,0.68
22067,Bonansa,2021-01-01,5,12,0.58,277.14,962.94,0.71
22068,Borau,2021-01-01,5,14,0.64,272.05,943.83,0.71
22069,Broto,2021-01-01,40,83,0.52,4866.26,10097.24,0.52
22072,Caldearenas,2021-01-01,17,46,0.63,1122.18,4509.21,0.75
22074,Campo,2021-01-01,16,37,0.57,1223.56,4190.15,0.71
22075,Camporrells,2021-01-01,2,2,0.00,237.92,237.92,0.00
22076,Canal de Berdún,2021-01-01,23,95,0.76,2146.06,7006.57,0.69
22077,Candasnos,2021-01-01,4,35,0.89,530.79,6602.79,0.92
22078,Canfranc,2021-01-01,15,34,0.56,1204.41,4186.52,0.71
22079,Capdesaso,2021-01-01,13,13,0.00,3347.61,3347.61,0.00
22080,Capella,2021-01-01,26,44,0.41,2238.46,3855.88,0.42
22081,Casbas de Huesca,2021-01-01,21,50,0.58,2719.04,5904.26,0.54
22082,Castejón del Puente,2021-01-01,7,36,0.81,909.42,5375.60,0.83
22083,Castejón de Monegros,2021-01-01,8,24,0.67,2277.15,5844.86,0.61
22084,Castejón de Sos,2021-01-01,30,64,0.53,2558.53,5460.13,0.53
22085,Castelflorite,2021-01-01,5,14,0.64,425.89,1564.38,0.73
22086,Castiello de Jaca,2021-01-01,15,69,0.78,1482.78,5270.62,0.72
22087,Castigaleu,2021-01-01,3,7,0.57,296.30,644.83,0.54
22088,Castillazuelo,2021-01-01,5,10,0.50,1019.10,1948.43,0.48
22089,Castillonroy,2021-01-01,14,15,0.07,2515.69,2580.91,0.03
22090,Colungo,2021-01-01,10,11,0.09,1258.82,1360.79,0.07
22094,Chalamera,2021-01-01,21,21,0.00,2938.50,2938.50,0.00
22095,Chía,2021-01-01,10,16,0.38,1040.37,1481.05,0.30
22096,Chimillas,2021-01-01,0,22,1.00,0.00,2672.91,1.00
22099,Esplús,2021-01-01,13,33,0.61,1521.07,4898.16,0.69
22102,Estada,2021-01-01,1,12,0.92,340.45,1736.16,0.80
22103,Estadilla,2021-01-01,15,105,0.86,861.58,9123.44,0.91
22105,Estopiñán del Castillo / Estopanyà,2021-01-01,7,7,0.00,931.59,931.59,0.00
22106,Fago,2021-01-01,2,18,0.89,73.43,1027.71,0.93
22107,Fanlo,2021-01-01,17,27,0.37,1169.97,2144.10,0.45
22109,Fiscal,2021-01-01,48,72,0.33,4432.82,7153.05,0.38
22110,Fonz,2021-01-01,50,87,0.43,5613.67,13241.13,0.58
22111,Foradada del Toscar,2021-01-01,4,4,0.00,1018.04,1018.04,0.00
22112,Fraga,2021-01-01,66,501,0.87,6092.83,52896.16,0.88
22113,La Fueva,2021-01-01,43,67,0.36,4637.85,7007.03,0.34
22114,Gistaín,2021-01-01,12,20,0.40,2384.97,3105.28,0.23
22115,El Grado,2021-01-01,14,36,0.61,2590.07,4697.24,0.45
22116,Grañén,2021-01-01,37,113,0.67,6513.43,16953.94,0.62
22117,Graus,2021-01-01,65,168,0.61,6687.89,16550.05,0.60
22119,Gurrea de Gállego,2021-01-01,27,107,0.75,2366.44,16413.17,0.86
22122,Hoz de Jaca,2021-01-01,8,48,0.83,211.33,3116.61,0.93
22124,Huerto,2021-01-01,8,8,0.00,846.88,846.88,0.00
22126,Ibieca,2021-01-01,13,13,0.00,1187.37,1187.37,0.00
22127000000,Igriés,2021-01-01,12,42,0.71,812.95,4150.52,0.80
22128,Ilche,2021-01-01,30,38,0.21,4078.74,4640.29,0.12
22129,Isábena,2021-01-01,19,62,0.69,1370.29,4204.66,0.67
22130,Jaca,2021-01-01,112,837,0.87,8091.89,79247.88,0.90
22131,Jasa,2021-01-01,3,27,0.89,225.32,2259.18,0.90
22133,Labuerda,2021-01-01,13,13,0.00,1288.63,1288.63,0.00
22135,Laluenga,2021-01-01,9,18,0.50,1618.70,3370.06,0.52
22136,Lalueza,2021-01-01,49,75,0.35,10361.74,14953.36,0.31
22137,Lanaja,2021-01-01,28,72,0.61,7202.23,14201.16,0.49
22139,Laperdiguera,2021-01-01,3,12,0.75,438.39,2167.76,0.80
22141,Lascellas-Ponzano,2021-01-01,11,24,0.54,1261.25,2866.28,0.56
22142,Lascuarre,2021-01-01,20,30,0.33,2789.03,4127.14,0.32
22143,Laspaúles,2021-01-01,14,15,0.07,1891.86,1934.24,0.02
22144,Laspuña,2021-01-01,6,9,0.33,902.49,1143.28,0.21
22149,Loarre,2021-01-01,12,64,0.81,831.97,5546.64,0.85
22151,Loscorrales,2021-01-01,1,10,0.90,45.64,1240.14,0.96
22155,Monesma y Cajigar,2021-01-01,1,4,0.75,166.17,560.64,0.70
22156,Monflorite-Lascasas,2021-01-01,0,43,1.00,0.00,3887.28,1.00
22157,Montanuy,2021-01-01,19,21,0.10,1746.86,1988.10,0.12
22158,Monzón,2021-01-01,131,367,0.64,12233.21,56144.65,0.78
22160,Naval,2021-01-01,1,19,0.95,38.73,1588.86,0.98
22162,Novales,2021-01-01,0,20,1.00,0.00,2092.64,1.00
22163,Nueno,2021-01-01,9,67,0.87,1237.45,7908.16,0.84
22164,Olvena,2021-01-01,12,13,0.08,984.67,1037.82,0.05
22165,Ontiñena,2021-01-01,18,32,0.44,2392.95,4819.36,0.50
22167,Osso de Cinca,2021-01-01,8,28,0.71,686.00,4485.29,0.85
22168,Palo,2021-01-01,3,3,0.00,582.74,582.74,0.00
22170,Panticosa,2021-01-01,66,143,0.54,4230.02,12746.84,0.67
22172,Peñalba,2021-01-01,23,38,0.39,2580.45,5106.21,0.49
22173,Las Peñas de Riglos,2021-01-01,11,85,0.87,1098.13,6899.46,0.84
22174,Peralta de Alcofea,2021-01-01,42,43,0.02,7921.26,8351.05,0.05
22175,Peralta de Calasanz,2021-01-01,27,41,0.34,3049.03,4678.15,0.35
22176,Peraltilla,2021-01-01,10,10,0.00,1961.33,1961.33,0.00
22177,Perarrúa,2021-01-01,9,19,0.53,1096.72,2281.77,0.52
22178,Pertusa,2021-01-01,15,23,0.35,1440.60,2103.78,0.32
22181,Piracés,2021-01-01,0,3,1.00,0.00,917.93,1.00
22182,Plan,2021-01-01,11,38,0.71,923.58,3595.10,0.74
22184,Poleñino,2021-01-01,0,20,1.00,0.00,2984.83,1.00
22186,Pozán de Vero,2021-01-01,12,12,0.00,1851.72,1851.72,0.00
22187,La Puebla de Castro,2021-01-01,10,27,0.63,1351.88,3767.87,0.64
22188,Puente de Montañana,2021-01-01,5,5,0.00,358.58,358.58,0.00
22189,Puértolas,2021-01-01,28,31,0.10,2263.45,2539.80,0.11
22190,El Pueyo de Araguás,2021-01-01,1,6,0.83,90.21,445.51,0.80
22193,Pueyo de Santa Cruz,2021-01-01,12,27,0.56,1071.43,3052.50,0.65
22195,Quicena,2021-01-01,0,16,1.00,0.00,1552.32,1.00
22197,Robres,2021-01-01,10,42,0.76,2331.44,7325.07,0.68
22199,Sabiñánigo,2021-01-01,184,550,0.67,18375.56,57421.51,0.68
22200,Sahún,2021-01-01,20,55,0.64,1600.76,4025.33,0.60
22201,Salas Altas,2021-01-01,2,30,0.93,714.52,4617.26,0.85
22202,Salas Bajas,2021-01-01,6,24,0.75,1341.95,4210.85,0.68
22203,Salillas,2021-01-01,0,16,1.00,0.00,1509.52,1.00
22204,Sallent de Gállego,2021-01-01,100,249,0.60,6839.47,23481.14,0.71
22205,San Esteban de Litera,2021-01-01,25,36,0.31,2648.58,5495.23,0.52
22206,Sangarrén,2021-01-01,1,17,0.94,27.00,2184.97,0.99
22207,San Juan de Plan,2021-01-01,9,18,0.50,399.97,953.33,0.58
22208,Santa Cilia,2021-01-01,7,31,0.77,291.41,3280.82,0.91
22209,Santa Cruz de la Serós,2021-01-01,16,26,0.38,1803.09,2643.58,0.32
22212,Santaliestra y San Quílez,2021-01-01,8,18,0.56,1282.37,2493.50,0.49
22213,Sariñena,2021-01-01,33,181,0.82,6471.97,31821.43,0.80
22214,Secastilla,2021-01-01,13,13,0.00,2493.94,2493.94,0.00
