id,name,date,incomplete,total,percentage
33001,Allande,2021-01-31,388,1006,0.61
33002,Aller,2021-01-31,254,1848,0.86
33003,Amieva,2021-01-31,76,274,0.72
33004,Avilés,2021-01-31,290,2502,0.88
33005,Belmonte de Miranda,2021-01-31,118,603,0.80
33006,Bimenes,2021-01-31,44,415,0.89
33007,Boal,2021-01-31,47,527,0.91
33008,Cabrales,2021-01-31,9,1787,0.99
33009,Cabranes,2021-01-31,78,217,0.64
33010,Candamo,2021-01-31,23,350,0.93
33011,Cangas del Narcea,2021-01-31,1257,2683,0.53
33012,Cangas de Onís,2021-01-31,184,1939,0.91
33013,Caravia,2021-01-31,4,296,0.99
33014,Carreño,2021-01-31,108,1511,0.93
33015,Caso,2021-01-31,196,1226,0.84
33016,Castrillón,2021-01-31,211,1389,0.85
33017,Castropol,2021-01-31,209,1410,0.85
33018,Coaña,2021-01-31,129,887,0.85
33019,Colunga,2021-01-31,222,1327,0.83
33020,Corvera de Asturias,2021-01-31,117,1081,0.89
33022,Degaña,2021-01-31,82,200,0.59
33023,El Franco,2021-01-31,57,673,0.92
33024,Gijón/Xixón,2021-01-31,216,13749,0.98
33025,Gozón,2021-01-31,106,1239,0.91
33026,Grau/Grado,2021-01-31,160,1386,0.88
33027,Grandas de Salime,2021-01-31,153,511,0.70
33028,Ibias,2021-01-31,339,780,0.57
33029,Illano,2021-01-31,43,235,0.82
33030,Illas,2021-01-31,6,180,0.97
33031,Llangréu/Langreo,2021-01-31,216,3985,0.95
33032,Laviana,2021-01-31,250,1167,0.79
33033,Lena,2021-01-31,566,3553,0.84
33034,Valdés,2021-01-31,394,2451,0.84
33035,Llanera,2021-01-31,145,1900,0.92
33036,Llanes,2021-01-31,502,4553,0.89
33037,Mieres,2021-01-31,345,2599,0.87
33038,Morcín,2021-01-31,86,457,0.81
33039,Muros de Nalón,2021-01-31,46,274,0.83
33040,Nava,2021-01-31,103,735,0.86
33041,Navia,2021-01-31,219,1336,0.84
33042,Noreña,2021-01-31,46,689,0.93
33043,Onís,2021-01-31,65,446,0.85
33044,Oviedo,2021-01-31,816,10273,0.92
33045,Parres,2021-01-31,73,774,0.91
33046,Peñamellera Alta,2021-01-31,64,355,0.82
33047,Peñamellera Baja,2021-01-31,63,402,0.84
33048,Pesoz,2021-01-31,57,135,0.58
33049,Piloña,2021-01-31,149,1623,0.91
33050,Ponga,2021-01-31,90,696,0.87
33051,Pravia,2021-01-31,53,882,0.94
33052,Proaza,2021-01-31,164,437,0.62
33053,Quirós,2021-01-31,326,1120,0.71
33054,Las Regueras,2021-01-31,32,445,0.93
33055,Ribadedeva,2021-01-31,89,567,0.84
33056,Ribadesella,2021-01-31,151,1337,0.89
33057,Ribera de Arriba,2021-01-31,39,380,0.90
33058,Riosa,2021-01-31,59,254,0.77
33059,Salas,2021-01-31,151,1087,0.86
33060,Samartín del Rei Aurelio,2021-01-31,183,1428,0.87
33061,San Martín de Oscos,2021-01-31,93,274,0.66
33062,Santa Eulalia de Oscos,2021-01-31,92,312,0.71
33063,San Tirso de Abres,2021-01-31,89,461,0.81
33064,Santo Adriano,2021-01-31,43,222,0.81
33065,Sariego,2021-01-31,37,257,0.86
33066,Siero,2021-01-31,332,7606,0.96
33067,Sobrescobio,2021-01-31,182,498,0.63
33068,Somiedo,2021-01-31,381,1173,0.68
33069,Soto del Barco,2021-01-31,79,596,0.87
33070,Tapia de Casariego,2021-01-31,132,1104,0.88
33071,Taramundi,2021-01-31,151,1006,0.85
33072,Teverga,2021-01-31,322,712,0.55
33073,Tineo,2021-01-31,466,1861,0.75
33074,Vegadeo,2021-01-31,209,865,0.76
33075,Villanueva de Oscos,2021-01-31,59,407,0.86
33076,Villaviciosa,2021-01-31,149,2765,0.95
33077,Villayón,2021-01-31,63,238,0.74
33078,Yernes y Tameza,2021-01-31,50,105,0.52
