id,name,date,incomplete,total,percentage
05001,Adanero,2021-01-31,1,340,1.00
05002,La Adrada,2021-01-31,127,471,0.73
05005,Albornos,2021-01-31,0,67,1.00
05007,Aldeanueva de Santa Cruz,2021-01-31,0,51,1.00
05008,Aldeaseca,2021-01-31,0,41,1.00
05010,La Aldehuela,2021-01-31,0,118,1.00
05012,Amavida,2021-01-31,9,108,0.92
05013,El Arenal,2021-01-31,0,350,1.00
05014,Arenas de San Pedro,2021-01-31,15,1058,0.99
05015,Arevalillo,2021-01-31,6,118,0.95
05016,Arévalo,2021-01-31,8,712,0.99
05017,Aveinte,2021-01-31,6,61,0.90
05018,Avellaneda,2021-01-31,2,33,0.94
05019,Ávila,2021-01-31,104,3960,0.97
05021,El Barco de Ávila,2021-01-31,5,324,0.98
05022,El Barraco,2021-01-31,192,992,0.81
05023,Barromán,2021-01-31,0,58,1.00
05024,Becedas,2021-01-31,0,152,1.00
05025,Becedillas,2021-01-31,12,107,0.89
05026,Bercial de Zapardiel,2021-01-31,0,44,1.00
05027,Las Berlanas,2021-01-31,0,136,1.00
05029,Bernuy-Zapardiel,2021-01-31,3,38,0.92
05030,Berrocalejo de Aragona,2021-01-31,8,78,0.90
05033,Blascomillán,2021-01-31,0,75,1.00
05034,Blasconuño de Matacabras,2021-01-31,0,25,1.00
05035,Blascosancho,2021-01-31,5,251,0.98
05036,El Bohodón,2021-01-31,5,152,0.97
05037,Bohoyo,2021-01-31,0,248,1.00
05038,Bonilla de la Sierra,2021-01-31,0,150,1.00
05039,Brabos,2021-01-31,2,117,0.98
05040,Bularros,2021-01-31,0,105,1.00
05041,Burgohondo,2021-01-31,73,390,0.81
05042,Cabezas de Alambre,2021-01-31,0,36,1.00
05043,Cabezas del Pozo,2021-01-31,0,29,1.00
05044,Cabezas del Villar,2021-01-31,17,182,0.91
05045,Cabizuela,2021-01-31,4,69,0.94
05046,Canales,2021-01-31,6,20,0.70
05047,Candeleda,2021-01-31,18,1388,0.99
05048,Cantiveros,2021-01-31,8,44,0.82
05049,Cardeñosa,2021-01-31,0,199,1.00
05051,La Carrera,2021-01-31,17,118,0.86
05052,Casas del Puerto,2021-01-31,4,88,0.95
05053,Casasola,2021-01-31,21,75,0.72
05054,Casavieja,2021-01-31,20,539,0.96
05055,Casillas,2021-01-31,23,147,0.84
05056,Castellanos de Zapardiel,2021-01-31,2,27,0.93
05057,Cebreros,2021-01-31,56,852,0.93
05058,Cepeda la Mora,2021-01-31,0,85,1.00
05059,Cillán,2021-01-31,0,78,1.00
05060,Cisla,2021-01-31,5,49,0.90
05061,La Colilla,2021-01-31,4,124,0.97
05062,Collado de Contreras,2021-01-31,0,96,1.00
05063,Collado del Mirón,2021-01-31,0,34,1.00
05064,Constanzana,2021-01-31,5,44,0.89
05065,Crespos,2021-01-31,0,455,1.00
05066,Cuevas del Valle,2021-01-31,12,227,0.95
05067,Chamartín,2021-01-31,0,88,1.00
05069,Donjimeno,2021-01-31,0,20,1.00
05070,Donvidas,2021-01-31,0,16,1.00
05072,Espinosa de los Caballeros,2021-01-31,0,102,1.00
05073,Flores de Ávila,2021-01-31,4,119,0.97
05074,Fontiveros,2021-01-31,25,148,0.83
05075,Fresnedilla,2021-01-31,14,27,0.48
05076,El Fresno,2021-01-31,11,104,0.89
05077,Fuente el Sauz,2021-01-31,3,29,0.90
05078,Fuentes de Año,2021-01-31,0,43,1.00
05079,Gallegos de Altamiros,2021-01-31,5,111,0.95
05080,Gallegos de Sobrinos,2021-01-31,22,55,0.60
05081,Garganta del Villar,2021-01-31,10,46,0.78
05082,Gavilanes,2021-01-31,70,335,0.79
05083,Gemuño,2021-01-31,0,68,1.00
05084,Gilbuena,2021-01-31,0,44,1.00
05085,Gil García,2021-01-31,3,34,0.91
05086,Gimialcón,2021-01-31,1,89,0.99
05087,Gotarrendura,2021-01-31,0,115,1.00
05088,Grandes y San Martín,2021-01-31,1,82,0.99
05089,Guisando,2021-01-31,4,203,0.98
05090,Gutierre-Muñoz,2021-01-31,0,104,1.00
05092,Hernansancho,2021-01-31,14,142,0.90
05093,Herradón de Pinares,2021-01-31,102,427,0.76
05094,Herreros de Suso,2021-01-31,1,84,0.99
05095,Higuera de las Dueñas,2021-01-31,23,53,0.57
