id,name,date,incomplete,total,percentage
02001,Abengibre,2021-01-31,11,204,0.95
02002,Alatoz,2021-01-31,12,246,0.95
02003,Albacete,2021-01-31,416,11469,0.96
02004,Albatana,2021-01-31,28,177,0.84
02005,Alborea,2021-01-31,23,251,0.91
02006,Alcadozo,2021-01-31,48,252,0.81
02007,Alcalá del Júcar,2021-01-31,76,687,0.89
02008,Alcaraz,2021-01-31,77,870,0.91
02009,Almansa,2021-01-31,95,2233,0.96
02010,Alpera,2021-01-31,27,543,0.95
02011,Ayna,2021-01-31,100,575,0.83
02012,Balazote,2021-01-31,61,379,0.84
02013,Balsa de Ves,2021-01-31,18,180,0.90
02014,El Ballestero,2021-01-31,9,210,0.96
02015,Barrax,2021-01-31,19,535,0.96
02016,Bienservida,2021-01-31,21,426,0.95
02017,Bogarra,2021-01-31,135,604,0.78
02018,Bonete,2021-01-31,27,342,0.92
02019,El Bonillo,2021-01-31,36,677,0.95
02020,Carcelén,2021-01-31,7,448,0.98
02021,Casas de Juan Núñez,2021-01-31,11,191,0.94
02022,Casas de Lázaro,2021-01-31,68,263,0.74
02023,Casas de Ves,2021-01-31,7,249,0.97
02024,Casas-Ibáñez,2021-01-31,27,649,0.96
02025,Caudete,2021-01-31,72,1468,0.95
02026,Cenizate,2021-01-31,14,272,0.95
02027,Corral-Rubio,2021-01-31,11,161,0.93
02028,Cotillas,2021-01-31,11,296,0.96
02029,Chinchilla de Monte-Aragón,2021-01-31,148,2142,0.93
02030,Elche de la Sierra,2021-01-31,175,1347,0.87
02031,Férez,2021-01-31,31,379,0.92
02032,Fuensanta,2021-01-31,29,171,0.83
02033,Fuente-Álamo,2021-01-31,23,565,0.96
02034,Fuentealbilla,2021-01-31,26,499,0.95
02035,La Gineta,2021-01-31,46,600,0.92
02036,Golosalvo,2021-01-31,3,87,0.97
02037,Hellín,2021-01-31,281,4033,0.93
02038,La Herrera,2021-01-31,17,124,0.86
02039,Higueruela,2021-01-31,15,702,0.98
02040,Hoya-Gonzalo,2021-01-31,6,380,0.98
02041,Jorquera,2021-01-31,9,285,0.97
02042,Letur,2021-01-31,162,1156,0.86
02043,Lezuza,2021-01-31,69,793,0.91
02044,Liétor,2021-01-31,45,731,0.94
02045,Madrigueras,2021-01-31,37,471,0.92
02046,Mahora,2021-01-31,23,322,0.93
02047,Masegoso,2021-01-31,45,205,0.78
02048,Minaya,2021-01-31,12,231,0.95
02049,Molinicos,2021-01-31,248,653,0.62
02050,Montalvos,2021-01-31,19,193,0.90
02051,Montealegre del Castillo,2021-01-31,9,471,0.98
02052,Motilleja,2021-01-31,4,148,0.97
02053,Munera,2021-01-31,38,634,0.94
02054,Navas de Jorquera,2021-01-31,7,109,0.94
02055,Nerpio,2021-01-31,181,816,0.78
02056,Ontur,2021-01-31,13,297,0.96
02057,Ossa de Montiel,2021-01-31,26,763,0.97
02058,Paterna del Madera,2021-01-31,44,495,0.91
02059,Peñascosa,2021-01-31,64,304,0.79
02060,Peñas de San Pedro,2021-01-31,153,858,0.82
02061,Pétrola,2021-01-31,16,269,0.94
02062,Povedilla,2021-01-31,3,134,0.98
02063,Pozohondo,2021-01-31,113,633,0.82
02064,Pozo-Lorente,2021-01-31,12,186,0.94
02065,Pozuelo,2021-01-31,37,205,0.82
02066,La Recueja,2021-01-31,7,186,0.96
02067,Riópar,2021-01-31,68,968,0.93
02068,Robledo,2021-01-31,33,342,0.90
02069,La Roda,2021-01-31,111,2547,0.96
02070,Salobre,2021-01-31,38,332,0.89
02071,San Pedro,2021-01-31,22,245,0.91
02072,Socovos,2021-01-31,64,576,0.89
02073,Tarazona de la Mancha,2021-01-31,31,550,0.94
02074,Tobarra,2021-01-31,192,1401,0.86
02075,Valdeganga,2021-01-31,14,424,0.97
02076,Vianos,2021-01-31,26,312,0.92
02077,Villa de Ves,2021-01-31,5,137,0.96
02078,Villalgordo del Júcar,2021-01-31,26,228,0.89
02079,Villamalea,2021-01-31,27,1099,0.98
02080,Villapalacios,2021-01-31,7,196,0.96
02081,Villarrobledo,2021-01-31,133,1992,0.93
02082,Villatoya,2021-01-31,31,175,0.82
02083,Villavaliente,2021-01-31,9,114,0.92
02084,Villaverde de Guadalimar,2021-01-31,25,800,0.97
02085,Viveros,2021-01-31,4,143,0.97
02086,Yeste,2021-01-31,787,2111,0.63
02901,Pozo Cañada,2021-01-31,14,297,0.95
13001,Abenójar,2021-01-31,4,202,0.98
13002,Agudo,2021-01-31,15,272,0.94
13003,Alamillo,2021-01-31,7,101,0.93
13004,Albaladejo,2021-01-31,7,156,0.96
13005,Alcázar de San Juan,2021-01-31,115,2315,0.95
13006,Alcoba,2021-01-31,6,158,0.96
13007,Alcolea de Calatrava,2021-01-31,5,224,0.98
13008,Alcubillas,2021-01-31,8,129,0.94
13009,Aldea del Rey,2021-01-31,4,145,0.97
13010,Alhambra,2021-01-31,12,654,0.98
13011,Almadén,2021-01-31,37,401,0.91
13012,Almadenejos,2021-01-31,8,136,0.94
13013,Almagro,2021-01-31,62,644,0.90
13014,Almedina,2021-01-31,3,127,0.98
13015,Almodóvar del Campo,2021-01-31,56,999,0.94
13016,Almuradiel,2021-01-31,12,248,0.95
13017,Anchuras,2021-01-31,9,135,0.93
13018,Arenas de San Juan,2021-01-31,14,169,0.92
13019,Argamasilla de Alba,2021-01-31,69,1063,0.94
13020,Argamasilla de Calatrava,2021-01-31,34,492,0.93
13021,Arroba de los Montes,2021-01-31,4,41,0.90
13022,Ballesteros de Calatrava,2021-01-31,1,76,0.99
13023,Bolaños de Calatrava,2021-01-31,38,547,0.93
13024,Brazatortas,2021-01-31,7,254,0.97
13025,Cabezarados,2021-01-31,3,40,0.93
13026,Cabezarrubias del Puerto,2021-01-31,5,129,0.96
13027,Calzada de Calatrava,2021-01-31,14,441,0.97
13028,Campo de Criptana,2021-01-31,30,3362,0.99
13029,Cañada de Calatrava,2021-01-31,3,62,0.95
13030,Caracuel de Calatrava,2021-01-31,2,59,0.97
13031,Carrión de Calatrava,2021-01-31,14,356,0.96
13032,Carrizosa,2021-01-31,25,156,0.84
