id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
38049,Valle Gran Rey,2021-01-01,25,135,0.81,18577.17,2695.59,0.85
35030,Tuineje,2021-01-01,112,369,0.70,73746.32,22479.35,0.70
38017,Granadilla de Abona,2021-01-01,325,1067,0.70,159891.01,41077.52,0.74
35001,Agaete,2021-01-01,33,187,0.82,21740.45,2902.57,0.87
38030,Puntallana,2021-01-01,56,85,0.34,12995.65,7277.76,0.44
38014,Fuencaliente de la Palma,2021-01-01,66,121,0.45,15160.79,6144.23,0.59
38046,Tegueste,2021-01-01,63,278,0.77,43188.33,4803.85,0.89
38051,La Victoria de Acentejo,2021-01-01,18,101,0.82,25075.66,1656.34,0.93
38053,Villa de Mazo,2021-01-01,109,139,0.22,28652.39,21804.09,0.24
38031,Los Realejos,2021-01-01,198,675,0.71,100256.43,27746.68,0.72
38001,Adeje,2021-01-01,473,1159,0.59,155050.01,44422.97,0.71
35019,San Bartolomé de Tirajana,2021-01-01,157,1242,0.87,213628.14,15774.21,0.93
35013,Moya,2021-01-01,4,181,0.98,30997.05,188.15,0.99
38045,Tazacorte,2021-01-01,40,105,0.62,9485.19,3027.23,0.68
35022,Santa Lucía de Tirajana,2021-01-01,103,870,0.88,131874.49,6549.90,0.95
38036,San Sebastián de la Gomera,2021-01-01,119,206,0.42,32346.71,19180.82,0.41
38035,San Miguel de Abona,2021-01-01,238,485,0.51,91963.68,36839.19,0.60
35004,Arrecife,2021-01-01,94,969,0.90,124513.06,6884.84,0.94
35018,San Bartolomé,2021-01-01,67,473,0.86,64957.10,4111.68,0.94
38028,Puerto de la Cruz,2021-01-01,110,678,0.84,73601.28,7150.41,0.90
38034,San Juan de la Rambla,2021-01-01,50,149,0.66,22131.02,7440.92,0.66
35008,Firgas,2021-01-01,3,182,0.98,32977.00,289.09,0.99
38003,Alajeró,2021-01-01,107,132,0.19,15546.49,11389.89,0.27
38050,Vallehermoso,2021-01-01,74,87,0.15,19577.85,15148.27,0.23
35026,Telde,2021-01-01,60,1848,0.97,251857.34,3436.13,0.99
35027,Teror,2021-01-01,7,270,0.97,36790.49,389.45,0.99
38009,Breña Baja,2021-01-01,56,157,0.64,30771.98,8124.20,0.74
35024,Teguise,2021-01-01,118,1079,0.89,169079.30,7599.37,0.96
35028,Tías,2021-01-01,111,675,0.84,117241.52,9463.20,0.92
38011,Candelaria,2021-01-01,155,522,0.70,72400.92,18103.29,0.75
38008,Breña Alta,2021-01-01,113,252,0.55,41578.51,15142.09,0.64
38023,San Cristóbal de La Laguna,2021-01-01,637,2977,0.79,403202.02,57908.03,0.86
35020,La Aldea de San Nicolás,2021-01-01,7,186,0.96,39984.30,375.04,0.99
38006,Arona,2021-01-01,497,1687,0.71,226136.25,54548.99,0.76
38004,Arafo,2021-01-01,55,209,0.74,28351.14,5496.61,0.81
38022,Icod de los Vinos,2021-01-01,408,707,0.42,105022.40,55748.78,0.47
35021,Santa Brígida,2021-01-01,13,369,0.96,69431.81,1030.86,0.99
35025,Tejeda,2021-01-01,4,49,0.92,12093.15,518.74,0.96
35015,Pájara,2021-01-01,85,480,0.82,65562.00,8109.14,0.88
38025,La Matanza de Acentejo,2021-01-01,65,144,0.55,27543.94,7000.94,0.75
35031,Valsequillo de Gran Canaria,2021-01-01,5,231,0.98,51132.44,645.12,0.99
38027,El Paso,2021-01-01,87,215,0.60,53627.83,13019.58,0.76
38041,El Sauzal,2021-01-01,53,199,0.73,38756.89,6965.56,0.82
38002,Agulo,2021-01-01,12,29,0.59,7658.25,6157.29,0.20
38048,Valverde,2021-01-01,84,297,0.72,43061.69,10269.77,0.76
35003,Antigua,2021-01-01,39,304,0.87,68321.20,6225.95,0.91
38033,San Andrés y Sauces,2021-01-01,31,84,0.63,18044.08,7074.68,0.61
38016,Garafía,2021-01-01,35,57,0.39,14387.48,12480.56,0.13
38021,Hermigua,2021-01-01,25,29,0.14,7030.33,6423.55,0.09
35012,Mogán,2021-01-01,54,542,0.90,91742.74,5119.23,0.94
38024,Los Llanos de Aridane,2021-01-01,138,429,0.68,70811.09,17204.46,0.76
35016,Las Palmas de Gran Canaria,2021-01-01,258,3670,0.93,559036.66,24721.95,0.96
38043,Tacoronte,2021-01-01,154,440,0.65,92593.83,17840.79,0.81
38032,El Rosario,2021-01-01,52,329,0.84,58821.65,5534.20,0.91
38052,Vilaflor,2021-01-01,34,77,0.56,8898.74,3307.34,0.63
38039,Santa Úrsula,2021-01-01,61,462,0.87,57667.79,3950.75,0.93
38007,Barlovento,2021-01-01,31,49,0.37,11131.68,7517.63,0.32
38010,Buenavista del Norte,2021-01-01,97,220,0.56,25220.25,8096.79,0.68
35005,Artenara,2021-01-01,3,27,0.89,6657.07,347.72,0.95
35033,Vega de San Mateo,2021-01-01,7,131,0.95,27728.04,1332.95,0.95
35014,La Oliva,2021-01-01,228,950,0.76,204589.38,40462.65,0.80
35007,Betancuria,2021-01-01,12,48,0.75,8558.27,2441.93,0.71
38029,Puntagorda,2021-01-01,20,79,0.75,24151.39,5283.10,0.78
