id,name,date,incomplete,total,percentage
08001,Abrera,2021-01-31,22,899,0.98
08002,Aguilar de Segarra,2021-01-31,0,429,1.00
08003,Alella,2021-01-31,9,522,0.98
08004,Alpens,2021-01-31,17,155,0.89
08005,l'Ametlla del Vallès,2021-01-31,45,602,0.93
08006,Arenys de Mar,2021-01-31,9,646,0.99
08007,Arenys de Munt,2021-01-31,25,517,0.95
08008,Argençola,2021-01-31,4,316,0.99
08009,Argentona,2021-01-31,42,1250,0.97
08010,Artés,2021-01-31,5,538,0.99
08011,Avià,2021-01-31,3,519,0.99
08012,Avinyó,2021-01-31,4,987,1.00
08013,Avinyonet del Penedès,2021-01-31,0,490,1.00
08014,Aiguafreda,2021-01-31,12,370,0.97
08015,Badalona,2021-01-31,3,5089,1.00
08016,Bagà,2021-01-31,16,570,0.97
08017,Balenyà,2021-01-31,15,440,0.97
08018,Balsareny,2021-01-31,4,1148,1.00
08019,Barcelona,2021-01-31,75,52401,1.00
08020,Begues,2021-01-31,5,1184,1.00
08021,Bellprat,2021-01-31,0,156,1.00
08022,Berga,2021-01-31,23,1356,0.98
08023,Bigues i Riells,2021-01-31,37,773,0.95
08024,Borredà,2021-01-31,0,541,1.00
08025,el Bruc,2021-01-31,0,806,1.00
08026,el Brull,2021-01-31,1,332,1.00
08027,les Cabanyes,2021-01-31,1,56,0.98
08028,Cabrera d'Anoia,2021-01-31,1,435,1.00
08029,Cabrera de Mar,2021-01-31,7,898,0.99
08030,Cabrils,2021-01-31,6,653,0.99
08031,Calaf,2021-01-31,12,381,0.97
08032,Caldes d'Estrac,2021-01-31,7,150,0.95
08033,Caldes de Montbui,2021-01-31,49,1447,0.97
08034,Calders,2021-01-31,3,760,1.00
08035,Calella,2021-01-31,6,537,0.99
08036,Calonge de Segarra,2021-01-31,3,542,0.99
08037,Calldetenes,2021-01-31,4,444,0.99
08038,Callús,2021-01-31,4,438,0.99
08039,Campins,2021-01-31,0,98,1.00
08040,Canet de Mar,2021-01-31,3,688,1.00
08041,Canovelles,2021-01-31,20,491,0.96
08042,Cànoves i Samalús,2021-01-31,24,491,0.95
08043,Canyelles,2021-01-31,4,635,0.99
08044,Capellades,2021-01-31,0,200,1.00
08045,Capolat,2021-01-31,0,300,1.00
08046,Cardedeu,2021-01-31,62,730,0.92
08047,Cardona,2021-01-31,8,917,0.99
08048,Carme,2021-01-31,0,157,1.00
08049,Casserres,2021-01-31,9,548,0.98
08050,Castellar del Riu,2021-01-31,0,373,1.00
08051,Castellar del Vallès,2021-01-31,30,1770,0.98
08052,Castellar de n'Hug,2021-01-31,7,263,0.97
08053,Castellbell i el Vilar,2021-01-31,3,993,1.00
08054,Castellbisbal,2021-01-31,12,1492,0.99
08055,Castellcir,2021-01-31,1,323,1.00
08056,Castelldefels,2021-01-31,58,1690,0.97
08057,Castell de l'Areny,2021-01-31,1,433,1.00
08058,Castellet i la Gornal,2021-01-31,9,1153,0.99
08059,Castellfollit del Boix,2021-01-31,0,602,1.00
08060,Castellfollit de Riubregós,2021-01-31,8,329,0.98
08061,Castellgalí,2021-01-31,4,584,0.99
08062,Castellnou de Bages,2021-01-31,4,570,0.99
08063,Castellolí,2021-01-31,1,576,1.00
08064,Castellterçol,2021-01-31,13,691,0.98
08065,Castellví de la Marca,2021-01-31,8,509,0.98
08066,Castellví de Rosanes,2021-01-31,0,352,1.00
08067,Centelles,2021-01-31,75,624,0.88
08068,Cervelló,2021-01-31,14,982,0.99
08069,Collbató,2021-01-31,29,750,0.96
08070,Collsuspina,2021-01-31,5,162,0.97
08071,Copons,2021-01-31,0,184,1.00
08072,Corbera de Llobregat,2021-01-31,7,997,0.99
08073,Cornellà de Llobregat,2021-01-31,45,1520,0.97
08074,Cubelles,2021-01-31,16,1009,0.98
08075,Dosrius,2021-01-31,8,962,0.99
08076,Esparreguera,2021-01-31,32,1040,0.97
08077,Esplugues de Llobregat,2021-01-31,7,1197,0.99
08078,l'Espunyola,2021-01-31,0,432,1.00
08079,l'Estany,2021-01-31,3,101,0.97
08080,Fígols,2021-01-31,0,208,1.00
08081,Fogars de Montclús,2021-01-31,1,532,1.00
08082,Fogars de la Selva,2021-01-31,0,354,1.00
08083,Folgueroles,2021-01-31,2,341,0.99
08084,Fonollosa,2021-01-31,2,983,1.00
08085,Font-rubí,2021-01-31,0,432,1.00
08086,les Franqueses del Vallès,2021-01-31,31,1132,0.97
08087,Gallifa,2021-01-31,5,317,0.98
08088,la Garriga,2021-01-31,76,893,0.91
08089,Gavà,2021-01-31,17,1828,0.99
08090,Gaià,2021-01-31,0,443,1.00
08091,Gelida,2021-01-31,0,669,1.00
08092,Gironella,2021-01-31,10,420,0.98
08093,Gisclareny,2021-01-31,0,209,1.00
08094,la Granada,2021-01-31,1,260,1.00
08095,Granera,2021-01-31,0,413,1.00
08096,Granollers,2021-01-31,67,2250,0.97
08097,Gualba,2021-01-31,1,370,1.00
08098,Sant Salvador de Guardiola,2021-01-31,4,717,0.99
08099,Guardiola de Berguedà,2021-01-31,0,591,1.00
08100,Gurb,2021-01-31,7,1513,1.00
