id,name,date,incomplete,total,percentage
06001,Acedera,2021-01-31,8,95,0.92
06002,Aceuchal,2021-01-31,29,188,0.85
06003,Ahillones,2021-01-31,9,111,0.92
06004,Alange,2021-01-31,33,361,0.91
06005,La Albuera,2021-01-31,18,240,0.93
06006,Alburquerque,2021-01-31,35,475,0.93
06007,Alconchel,2021-01-31,32,266,0.88
06008,Alconera,2021-01-31,8,118,0.93
06009,Aljucén,2021-01-31,8,102,0.92
06010,Almendral,2021-01-31,18,160,0.89
06011,Almendralejo,2021-01-31,65,1441,0.95
06012,Arroyo de San Serván,2021-01-31,20,292,0.93
06013,Atalaya,2021-01-31,4,69,0.94
06014,Azuaga,2021-01-31,46,838,0.95
06015,Badajoz,2021-01-31,238,13129,0.98
06016,Barcarrota,2021-01-31,18,210,0.91
06017,Baterno,2021-01-31,2,71,0.97
06018,Benquerencia de la Serena,2021-01-31,36,249,0.86
06019,Berlanga,2021-01-31,40,251,0.84
06020,Bienvenida,2021-01-31,5,174,0.97
06021,Bodonal de la Sierra,2021-01-31,5,114,0.96
06022,Burguillos del Cerro,2021-01-31,31,409,0.92
06023,Cabeza del Buey,2021-01-31,77,428,0.82
06024,Cabeza la Vaca,2021-01-31,6,190,0.97
06025,Calamonte,2021-01-31,24,220,0.89
06026,Calera de León,2021-01-31,7,229,0.97
06027,Calzadilla de los Barros,2021-01-31,10,175,0.94
06028,Campanario,2021-01-31,39,621,0.94
06029,Campillo de Llerena,2021-01-31,17,164,0.90
06030,Capilla,2021-01-31,11,111,0.90
06031,Carmonita,2021-01-31,11,81,0.86
06032,El Carrascalejo,2021-01-31,7,60,0.88
06033,Casas de Don Pedro,2021-01-31,59,310,0.81
06034,Casas de Reina,2021-01-31,1,113,0.99
06035,Castilblanco,2021-01-31,27,224,0.88
06036,Castuera,2021-01-31,47,672,0.93
06037,La Codosera,2021-01-31,23,220,0.90
06038,Cordobilla de Lácara,2021-01-31,6,87,0.93
06039,La Coronada,2021-01-31,23,184,0.88
06040,Corte de Peleas,2021-01-31,4,94,0.96
06041,Cristina,2021-01-31,4,53,0.92
06042,Cheles,2021-01-31,17,126,0.87
06043,Don Álvaro,2021-01-31,6,117,0.95
06044,Don Benito,2021-01-31,323,2149,0.85
06045,Entrín Bajo,2021-01-31,5,67,0.93
06046,Esparragalejo,2021-01-31,9,114,0.92
06047,Esparragosa de la Serena,2021-01-31,9,149,0.94
06048,Esparragosa de Lares,2021-01-31,5,275,0.98
06049,Feria,2021-01-31,10,256,0.96
06050,Fregenal de la Sierra,2021-01-31,24,881,0.97
06051,Fuenlabrada de los Montes,2021-01-31,29,412,0.93
06052,Fuente de Cantos,2021-01-31,43,445,0.90
06053,Fuente del Arco,2021-01-31,2,313,0.99
06054,Fuente del Maestre,2021-01-31,39,447,0.91
06055,Fuentes de León,2021-01-31,45,374,0.88
06056,Garbayuela,2021-01-31,11,123,0.91
06057,Garlitos,2021-01-31,5,151,0.97
06058,La Garrovilla,2021-01-31,11,184,0.94
06059,Granja de Torrehermosa,2021-01-31,28,213,0.87
06060,Guareña,2021-01-31,79,565,0.86
06061,La Haba,2021-01-31,24,228,0.89
06062,Helechosa de los Montes,2021-01-31,14,156,0.91
06063,Herrera del Duque,2021-01-31,57,454,0.87
06064,Higuera de la Serena,2021-01-31,4,156,0.97
06065,Higuera de Llerena,2021-01-31,3,120,0.98
06066,Higuera de Vargas,2021-01-31,8,133,0.94
06067,Higuera la Real,2021-01-31,16,265,0.94
06068,Hinojosa del Valle,2021-01-31,2,91,0.98
06069,Hornachos,2021-01-31,37,459,0.92
