id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
15001,Abegondo,2021-01-01,146,156,0.06,31383.40,30718.46,0.02
15002,Ames,2021-01-01,335,490,0.32,72417.96,46553.42,0.36
15003,Aranga,2021-01-01,53,53,0.00,8768.42,8768.42,0.00
15004,Ares,2021-01-01,12,233,0.95,40409.74,782.05,0.98
15005,Arteixo,2021-01-01,315,883,0.64,113447.74,43214.44,0.62
15006,Arzúa,2021-01-01,108,171,0.37,25871.01,16852.65,0.35
15007,A Baña,2021-01-01,123,147,0.16,25187.26,20708.12,0.18
15008,Bergondo,2021-01-01,98,351,0.72,77859.58,10182.29,0.87
15009,Betanzos,2021-01-01,96,273,0.65,33720.22,12353.41,0.63
15010,Boimorto,2021-01-01,29,29,0.00,7583.48,7583.48,0.00
15011,Boiro,2021-01-01,211,325,0.35,45303.18,29768.09,0.34
15012,Boqueixón,2021-01-01,43,67,0.36,13837.44,9404.83,0.32
15013,Brión,2021-01-01,136,168,0.19,30130.85,22485.60,0.25
15014,Cabana de Bergantiños,2021-01-01,284,286,0.01,54230.91,53744.47,0.01
15015,Cabanas,2021-01-01,88,121,0.27,21771.01,16167.57,0.26
15016,Camariñas,2021-01-01,348,476,0.27,50570.54,32448.10,0.36
15017,Cambre,2021-01-01,264,424,0.38,70843.08,52507.18,0.26
15018,A Capela,2021-01-01,73,73,0.00,5819.18,5819.18,0.00
15019,Carballo,2021-01-01,219,600,0.64,123025.49,66850.45,0.46
15020,Carnota,2021-01-01,298,303,0.02,40538.23,40037.20,0.01
15021,Carral,2021-01-01,120,194,0.38,24464.36,12588.36,0.49
15022,Cedeira,2021-01-01,180,320,0.44,39682.09,24856.49,0.37
15023,Cee,2021-01-01,329,398,0.17,47380.20,37816.86,0.20
15024,Cerceda,2021-01-01,37,90,0.59,17424.83,3442.57,0.80
15025,Cerdido,2021-01-01,6,6,0.00,1154.37,1154.37,0.00
15027,Coirós,2021-01-01,44,52,0.15,13353.72,11675.51,0.13
15028,Corcubión,2021-01-01,85,110,0.23,8654.38,6015.12,0.30
15029,Coristanco,2021-01-01,103,133,0.23,25363.24,20241.89,0.20
15030,A Coruña,2021-01-01,23,3008,0.99,295825.61,2021.70,0.99
15031,Culleredo,2021-01-01,117,503,0.77,75352.64,14457.00,0.81
15032,Curtis,2021-01-01,174,255,0.32,33564.66,15992.12,0.52
15033,Dodro,2021-01-01,140,146,0.04,20048.62,19048.84,0.05
