id,name,date,incomplete,total,percentage
07001,Alaró,2021-01-31,7,795,0.99
07002,Alaior,2021-01-31,43,1792,0.98
07003,Alcúdia,2021-01-31,133,2631,0.95
07004,Algaida,2021-01-31,31,969,0.97
07005,Andratx,2021-01-31,82,2615,0.97
07006,Artà,2021-01-31,40,1777,0.98
07007,Banyalbufar,2021-01-31,0,403,1.00
07008,Binissalem,2021-01-31,13,529,0.98
07009,Búger,2021-01-31,4,178,0.98
07010,Bunyola,2021-01-31,23,1254,0.98
07011,Calvià,2021-01-31,295,7765,0.96
07012,Campanet,2021-01-31,13,486,0.97
07013,Campos,2021-01-31,50,1706,0.97
07014,Capdepera,2021-01-31,74,2224,0.97
07015,Ciutadella,2021-01-31,112,3605,0.97
07016,Consell,2021-01-31,19,325,0.94
07017,Costitx,2021-01-31,13,213,0.94
07018,Deià,2021-01-31,8,431,0.98
07019,Escorca,2021-01-31,18,982,0.98
07020,Esporles,2021-01-31,34,663,0.95
07021,Estellencs,2021-01-31,23,228,0.90
07022,Felanitx,2021-01-31,125,2605,0.95
07023,Ferreries,2021-01-31,25,765,0.97
07024,Formentera,2021-01-31,108,1666,0.94
07025,Fornalutx,2021-01-31,7,331,0.98
07026,Eivissa,2021-01-31,167,1803,0.91
07027,Inca,2021-01-31,91,1906,0.95
07028,Lloret de Vistalegre,2021-01-31,3,193,0.98
07029,Lloseta,2021-01-31,24,328,0.93
07030,Llubí,2021-01-31,17,317,0.95
07031,Llucmajor,2021-01-31,145,3758,0.96
07032,Maó,2021-01-31,90,3222,0.97
07033,Manacor,2021-01-31,197,4580,0.96
07034,Mancor de la Vall,2021-01-31,9,212,0.96
07035,Maria de la Salut,2021-01-31,16,299,0.95
07036,Marratxí,2021-01-31,265,2850,0.91
07037,es Mercadal,2021-01-31,76,1706,0.96
07038,Montuïri,2021-01-31,33,540,0.94
07039,Muro,2021-01-31,43,1415,0.97
07040,Palma,2021-01-31,680,16335,0.96
07041,Petra,2021-01-31,16,591,0.97
07042,Pollença,2021-01-31,142,3875,0.96
07043,Porreres,2021-01-31,19,667,0.97
07044,sa Pobla,2021-01-31,30,922,0.97
07045,Puigpunyent,2021-01-31,18,535,0.97
07046,Sant Antoni de Portmany,2021-01-31,329,3093,0.89
07047,Sencelles,2021-01-31,9,383,0.98
07048,Sant Josep de sa Talaia,2021-01-31,388,5059,0.92
07049,Sant Joan,2021-01-31,12,436,0.97
07050,Sant Joan de Labritja,2021-01-31,75,4631,0.98
07051,Sant Llorenç des Cardassar,2021-01-31,100,2049,0.95
07052,Sant Lluís,2021-01-31,53,1541,0.97
07053,Santa Eugènia,2021-01-31,12,279,0.96
07054,Santa Eulària des Riu,2021-01-31,537,3802,0.86
07055,Santa Margalida,2021-01-31,84,1394,0.94
07056,Santa María del Camí,2021-01-31,1,678,1.00
07057,Santanyí,2021-01-31,205,3473,0.94
07058,Selva,2021-01-31,23,731,0.97
07059,ses Salines,2021-01-31,21,698,0.97
07060,Sineu,2021-01-31,46,611,0.92
07061,Sóller,2021-01-31,44,1881,0.98
07062,Son Servera,2021-01-31,79,1396,0.94
07063,Valldemossa,2021-01-31,35,869,0.96
07064,es Castell,2021-01-31,4,538,0.99
07065,Vilafranca de Bonany,2021-01-31,10,326,0.97
07901,Ariany,2021-01-31,6,248,0.98
07902,es Migjorn Gran,2021-01-31,19,443,0.96
