id,name,date,incomplete,total,percentage
28001,La Acebeda,2021-01-31,5,98,0.95
28002,Ajalvir,2021-01-31,4,443,0.99
28003,Alameda del Valle,2021-01-31,8,146,0.95
28004,El Álamo,2021-01-31,53,442,0.88
28005,Alcalá de Henares,2021-01-31,379,7020,0.95
28006,Alcobendas,2021-01-31,509,4489,0.89
28007,Alcorcón,2021-01-31,118,5021,0.98
28008,Aldea del Fresno,2021-01-31,35,997,0.96
28009,Algete,2021-01-31,90,761,0.88
28010,Alpedrete,2021-01-31,45,1012,0.96
28011,Ambite,2021-01-31,1,148,0.99
28012,Anchuelo,2021-01-31,3,131,0.98
28013,Aranjuez,2021-01-31,97,2611,0.96
28014,Arganda del Rey,2021-01-31,190,2718,0.93
28015,Arroyomolinos,2021-01-31,25,1248,0.98
28016,El Atazar,2021-01-31,5,149,0.97
28017,Batres,2021-01-31,4,255,0.98
28018,Becerril de la Sierra,2021-01-31,25,833,0.97
28019,Belmonte de Tajo,2021-01-31,2,248,0.99
28020,Berzosa del Lozoya,2021-01-31,13,134,0.90
28021,El Berrueco,2021-01-31,9,326,0.97
28022,Boadilla del Monte,2021-01-31,135,4626,0.97
28023,El Boalo,2021-01-31,24,1045,0.98
28024,Braojos,2021-01-31,1,151,0.99
28025,Brea de Tajo,2021-01-31,8,199,0.96
28026,Brunete,2021-01-31,21,640,0.97
28027,Buitrago del Lozoya,2021-01-31,14,365,0.96
28028,Bustarviejo,2021-01-31,39,628,0.94
28029,Cabanillas de la Sierra,2021-01-31,6,186,0.97
28030,La Cabrera,2021-01-31,38,702,0.95
28031,Cadalso de los Vidrios,2021-01-31,1,646,1.00
28032,Camarma de Esteruelas,2021-01-31,24,330,0.93
28033,Campo Real,2021-01-31,29,523,0.94
28034,Canencia,2021-01-31,11,296,0.96
28035,Carabaña,2021-01-31,13,219,0.94
28036,Casarrubuelos,2021-01-31,46,247,0.81
28037,Cenicientos,2021-01-31,9,358,0.97
28038,Cercedilla,2021-01-31,58,1137,0.95
28039,Cervera de Buitrago,2021-01-31,5,60,0.92
28040,Ciempozuelos,2021-01-31,13,958,0.99
28041,Cobeña,2021-01-31,30,695,0.96
28042,Colmenar del Arroyo,2021-01-31,39,560,0.93
28043,Colmenar de Oreja,2021-01-31,84,1067,0.92
28044,Colmenarejo,2021-01-31,1,1079,1.00
28045,Colmenar Viejo,2021-01-31,173,2946,0.94
28046,Collado Mediano,2021-01-31,15,686,0.98
28047,Collado Villalba,2021-01-31,17,3220,0.99
28048,Corpa,2021-01-31,5,117,0.96
28049,Coslada,2021-01-31,38,4203,0.99
28050,Cubas de la Sagra,2021-01-31,6,293,0.98
28051,Chapinería,2021-01-31,32,435,0.93
28052,Chinchón,2021-01-31,39,934,0.96
28053,Daganzo de Arriba,2021-01-31,29,352,0.92
28054,El Escorial,2021-01-31,46,1260,0.96
28055,Estremera,2021-01-31,8,339,0.98
28056,Fresnedillas de la Oliva,2021-01-31,11,368,0.97
28057,Fresno de Torote,2021-01-31,14,241,0.94
28058,Fuenlabrada,2021-01-31,66,4811,0.99
28059,Fuente el Saz de Jarama,2021-01-31,26,361,0.93
28060,Fuentidueña de Tajo,2021-01-31,5,406,0.99
28061,Galapagar,2021-01-31,10,2936,1.00
28062,Garganta de los Montes,2021-01-31,39,349,0.89
28063,Gargantilla del Lozoya y Pinilla de Buitrago,2021-01-31,30,235,0.87
28064,Gascones,2021-01-31,10,92,0.89
28065,Getafe,2021-01-31,428,6526,0.93
28066,Griñón,2021-01-31,11,779,0.99
28067,Guadalix de la Sierra,2021-01-31,42,483,0.91
28068,Guadarrama,2021-01-31,66,1647,0.96
28069,La Hiruela,2021-01-31,6,95,0.94
28070,Horcajo de la Sierra-Aoslos,2021-01-31,7,142,0.95
28071,Horcajuelo de la Sierra,2021-01-31,10,161,0.94
28072,Hoyo de Manzanares,2021-01-31,0,1256,1.00
28073,Humanes de Madrid,2021-01-31,29,846,0.97
28074,Leganés,2021-01-31,276,7182,0.96
28075,Loeches,2021-01-31,66,926,0.93
28076,Lozoya,2021-01-31,18,300,0.94
28078,Madarcos,2021-01-31,6,29,0.79
28079,Madrid,2021-01-31,603,95935,0.99
28080,Majadahonda,2021-01-31,27,3310,0.99
28082,Manzanares el Real,2021-01-31,13,1601,0.99
28083,Meco,2021-01-31,68,901,0.92
28084,Mejorada del Campo,2021-01-31,40,974,0.96
28085,Miraflores de la Sierra,2021-01-31,39,961,0.96
28086,El Molar,2021-01-31,46,573,0.92
28087,Los Molinos,2021-01-31,59,560,0.89
28088,Montejo de la Sierra,2021-01-31,9,106,0.92
28089,Moraleja de Enmedio,2021-01-31,7,529,0.99
28090,Moralzarzal,2021-01-31,31,1047,0.97
28091,Morata de Tajuña,2021-01-31,31,666,0.95
28092,Móstoles,2021-01-31,226,3923,0.94
28093,Navacerrada,2021-01-31,30,947,0.97
28094,Navalafuente,2021-01-31,20,167,0.88
28095,Navalagamella,2021-01-31,16,731,0.98
28096,Navalcarnero,2021-01-31,129,1508,0.91
28097,Navarredonda y San Mamés,2021-01-31,12,112,0.89
28099,Navas del Rey,2021-01-31,53,645,0.92
28100,Nuevo Baztán,2021-01-31,30,486,0.94
28101,Olmeda de las Fuentes,2021-01-31,3,118,0.97
28102,Orusco de Tajuña,2021-01-31,18,135,0.87
28104,Paracuellos de Jarama,2021-01-31,53,1368,0.96
28106,Parla,2021-01-31,145,2237,0.94
28107,Patones,2021-01-31,7,376,0.98
28108,Pedrezuela,2021-01-31,60,423,0.86
28109,Pelayos de la Presa,2021-01-31,15,817,0.98
28110,Perales de Tajuña,2021-01-31,18,416,0.96
28111,Pezuela de las Torres,2021-01-31,2,140,0.99
28112,Pinilla del Valle,2021-01-31,10,157,0.94
28113,Pinto,2021-01-31,149,1962,0.92
28114,Piñuécar-Gandullas,2021-01-31,13,131,0.90
28115,Pozuelo de Alarcón,2021-01-31,112,6133,0.98
28116,Pozuelo del Rey,2021-01-31,7,164,0.96
28117,Prádena del Rincón,2021-01-31,3,96,0.97
28118,Puebla de la Sierra,2021-01-31,0,315,1.00
28119,Quijorna,2021-01-31,30,303,0.90
28120,Rascafría,2021-01-31,3,1102,1.00
28121,Redueña,2021-01-31,3,174,0.98
28122,Ribatejada,2021-01-31,14,117,0.88
28123,Rivas-Vaciamadrid,2021-01-31,137,3484,0.96
28124,Robledillo de la Jara,2021-01-31,7,106,0.93
28125,Robledo de Chavela,2021-01-31,27,931,0.97
28126,Robregordo,2021-01-31,5,96,0.95
28127,Las Rozas de Madrid,2021-01-31,114,4247,0.97
28128,Rozas de Puerto Real,2021-01-31,1,308,1.00
28129,San Agustín del Guadalix,2021-01-31,34,718,0.95
28130,San Fernando de Henares,2021-01-31,32,3454,0.99
28131,San Lorenzo de El Escorial,2021-01-31,36,1485,0.98
28132,San Martín de la Vega,2021-01-31,110,1613,0.93
28133,San Martín de Valdeiglesias,2021-01-31,14,1617,0.99
28134,San Sebastián de los Reyes,2021-01-31,252,3384,0.93
28135,Santa María de la Alameda,2021-01-31,36,853,0.96
28136,Santorcaz,2021-01-31,8,187,0.96
28137,Los Santos de la Humosa,2021-01-31,12,238,0.95
28138,La Serna del Monte,2021-01-31,0,82,1.00
28140,Serranillos del Valle,2021-01-31,3,260,0.99
28141,Sevilla la Nueva,2021-01-31,11,489,0.98
28143,Somosierra,2021-01-31,3,156,0.98
28144,Soto del Real,2021-01-31,64,944,0.93
28145,Talamanca de Jarama,2021-01-31,14,298,0.95
28146,Tielmes,2021-01-31,2,190,0.99
28147,Titulcia,2021-01-31,41,161,0.75
28148,Torrejón de Ardoz,2021-01-31,143,4796,0.97
28149,Torrejón de la Calzada,2021-01-31,57,522,0.89
28150,Torrejón de Velasco,2021-01-31,7,495,0.99
28151,Torrelaguna,2021-01-31,15,601,0.98
28152,Torrelodones,2021-01-31,7,2027,1.00
28153,Torremocha de Jarama,2021-01-31,17,172,0.90
28154,Torres de la Alameda,2021-01-31,19,569,0.97
28155,Valdaracete,2021-01-31,0,175,1.00
28156,Valdeavero,2021-01-31,6,115,0.95
28157,Valdelaguna,2021-01-31,0,274,1.00
28158,Valdemanco,2021-01-31,21,393,0.95
28159,Valdemaqueda,2021-01-31,0,495,1.00
28160,Valdemorillo,2021-01-31,60,2258,0.97
28161,Valdemoro,2021-01-31,282,2577,0.89
28162,Valdeolmos-Alalpardo,2021-01-31,17,180,0.91
28163,Valdepiélagos,2021-01-31,1,73,0.99
28164,Valdetorres de Jarama,2021-01-31,39,237,0.84
28165,Valdilecha,2021-01-31,7,262,0.97
28166,Valverde de Alcalá,2021-01-31,0,124,1.00
28167,Velilla de San Antonio,2021-01-31,43,655,0.93
28168,El Vellón,2021-01-31,14,257,0.95
28169,Venturada,2021-01-31,25,369,0.93
28170,Villaconejos,2021-01-31,17,266,0.94
28171,Villa del Prado,2021-01-31,99,1121,0.91
28172,Villalbilla,2021-01-31,50,1166,0.96
28173,Villamanrique de Tajo,2021-01-31,12,147,0.92
28174,Villamanta,2021-01-31,1,572,1.00
28175,Villamantilla,2021-01-31,21,269,0.92
28176,Villanueva de la Cañada,2021-01-31,22,1274,0.98
28177,Villanueva del Pardillo,2021-01-31,40,792,0.95
28178,Villanueva de Perales,2021-01-31,5,319,0.98
28179,Villar del Olmo,2021-01-31,5,234,0.98
28180,Villarejo de Salvanés,2021-01-31,14,604,0.98
28181,Villaviciosa de Odón,2021-01-31,73,2064,0.96
28182,Villavieja del Lozoya,2021-01-31,14,159,0.91
28183,Zarzalejo,2021-01-31,22,603,0.96
28901,Lozoyuela-Navas-Sieteiglesias,2021-01-31,47,601,0.92
28902,Puentes Viejas,2021-01-31,61,386,0.84
28903,Tres Cantos,2021-01-31,70,1844,0.96
,El Redegüelo,2021-01-31,0,2,1.00
,Los Baldíos,2021-01-31,0,108,1.00
