id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
28001,La Acebeda,2021-01-01,5,12,0.58,163.73,834.70,0.80
28002,Ajalvir,2021-01-01,4,126,0.97,242.94,16277.10,0.99
28003,Alameda del Valle,2021-01-01,8,42,0.81,698.63,5461.88,0.87
28004,El Álamo,2021-01-01,53,278,0.81,3959.73,54184.90,0.93
28005,Alcalá de Henares,2021-01-01,379,2422,0.84,29619.43,312872.68,0.91
28006,Alcobendas,2021-01-01,509,1614,0.68,33285.31,197004.45,0.83
28007,Alcorcón,2021-01-01,108,1140,0.91,6165.69,180409.91,0.97
28008,Aldea del Fresno,2021-01-01,35,152,0.77,9932.66,31287.60,0.68
28009,Algete,2021-01-01,90,304,0.70,10235.07,69980.55,0.85
28010,Alpedrete,2021-01-01,45,406,0.89,3084.03,70357.58,0.96
28011,Ambite,2021-01-01,1,80,0.99,239.99,18421.80,0.99
28012,Anchuelo,2021-01-01,3,69,0.96,122.05,8782.98,0.99
28013,Aranjuez,2021-01-01,94,761,0.88,5315.04,142606.46,0.96
28014,Arganda del Rey,2021-01-01,190,995,0.81,18513.26,151247.22,0.88
28015,Arroyomolinos,2021-01-01,25,313,0.92,1836.88,71454.60,0.97
28016,El Atazar,2021-01-01,4,36,0.89,108.01,2250.37,0.95
28017,Batres,2021-01-01,4,87,0.95,928.91,17610.22,0.95
28018,Becerril de la Sierra,2021-01-01,25,373,0.93,1428.26,52638.93,0.97
28019,Belmonte de Tajo,2021-01-01,2,100,0.98,90.76,10977.67,0.99
28020,Berzosa del Lozoya,2021-01-01,13,48,0.73,554.81,4856.20,0.89
28021,El Berrueco,2021-01-01,9,58,0.84,917.46,7472.67,0.88
28022,Boadilla del Monte,2021-01-01,135,1021,0.87,17694.44,238007.36,0.93
28023,El Boalo,2021-01-01,24,411,0.94,1755.28,58095.65,0.97
28024,Braojos,2021-01-01,1,45,0.98,24.81,4038.46,0.99
28025,Brea de Tajo,2021-01-01,8,56,0.86,1043.44,6510.41,0.84
28026,Brunete,2021-01-01,21,232,0.91,3923.98,34975.56,0.89
28027,Buitrago del Lozoya,2021-01-01,14,123,0.89,446.13,13063.25,0.97
28028,Bustarviejo,2021-01-01,39,196,0.80,3437.47,25309.71,0.86
28029,Cabanillas de la Sierra,2021-01-01,6,55,0.89,438.77,10797.68,0.96
28030,La Cabrera,2021-01-01,38,222,0.83,2303.88,24248.95,0.90
28031,Cadalso de los Vidrios,2021-01-01,1,160,0.99,20.52,29801.97,1.00
28032,Camarma de Esteruelas,2021-01-01,24,198,0.88,3097.53,40477.20,0.92
28033,Campo Real,2021-01-01,29,163,0.82,2939.05,22794.26,0.87
28034,Canencia,2021-01-01,11,60,0.82,275.92,6820.78,0.96
28035,Carabaña,2021-01-01,13,113,0.88,888.13,13403.70,0.93
28036,Casarrubuelos,2021-01-01,46,153,0.70,3557.79,17507.10,0.80
28037,Cenicientos,2021-01-01,9,189,0.95,537.10,18994.75,0.97
28038,Cercedilla,2021-01-01,58,363,0.84,4243.59,48491.85,0.91
28039,Cervera de Buitrago,2021-01-01,5,25,0.80,263.08,2220.07,0.88
28040,Ciempozuelos,2021-01-01,11,268,0.96,2385.13,49757.07,0.95
28041,Cobeña,2021-01-01,30,196,0.85,1722.86,26467.13,0.93
28042,Colmenar del Arroyo,2021-01-01,39,120,0.68,1827.47,15700.86,0.88
28043,Colmenar de Oreja,2021-01-01,78,375,0.79,10887.19,83047.50,0.87
28044,Colmenarejo,2021-01-01,1,337,1.00,9.91,49093.13,1.00
28045,Colmenar Viejo,2021-01-01,173,932,0.81,17831.47,164481.62,0.89
28046,Collado Mediano,2021-01-01,15,268,0.94,1326.71,46505.13,0.97
28047,Collado Villalba,2021-01-01,17,1034,0.98,431.67,121903.62,1.00
28048,Corpa,2021-01-01,5,38,0.87,607.39,5777.46,0.89
28049,Coslada,2021-01-01,38,605,0.94,1787.21,85635.11,0.98
28050,Cubas de la Sagra,2021-01-01,6,131,0.95,667.42,24772.39,0.97
28051,Chapinería,2021-01-01,32,133,0.76,4525.96,24380.24,0.81
28052,Chinchón,2021-01-01,39,202,0.81,11236.76,38862.81,0.71
28053,Daganzo de Arriba,2021-01-01,29,200,0.86,2456.92,37348.44,0.93
28054,El Escorial,2021-01-01,46,431,0.89,5614.29,90375.31,0.94
28055,Estremera,2021-01-01,8,123,0.93,3512.49,16349.81,0.79
28056,Fresnedillas de la Oliva,2021-01-01,11,106,0.90,272.50,11467.69,0.98
28057,Fresno de Torote,2021-01-01,14,97,0.86,1196.27,26312.82,0.95
28058,Fuenlabrada,2021-01-01,66,761,0.91,7969.90,114042.64,0.93
28059,Fuente el Saz de Jarama,2021-01-01,26,144,0.82,1617.03,24804.82,0.93
28060,Fuentidueña de Tajo,2021-01-01,5,139,0.96,748.91,21274.88,0.96
28061,Galapagar,2021-01-01,10,1085,0.99,381.40,166528.18,1.00
28062,Garganta de los Montes,2021-01-01,39,92,0.58,3628.73,9812.94,0.63
28063,Gargantilla del Lozoya y Pinilla de Buitrago,2021-01-01,30,83,0.64,3925.71,11837.44,0.67
