id,name,date,incomplete,total,percentage
30001,Abanilla,2021-01-31,137,1132,0.88
30002,Abarán,2021-01-31,70,655,0.89
30003,Águilas,2021-01-31,414,2789,0.85
30004,Albudeite,2021-01-31,19,235,0.92
30005,Alcantarilla,2021-01-31,112,1012,0.89
30006,Aledo,2021-01-31,26,266,0.90
30007,Alguazas,2021-01-31,60,527,0.89
30008,Alhama de Murcia,2021-01-31,170,2610,0.93
30009,Archena,2021-01-31,123,914,0.87
30010,Beniel,2021-01-31,35,485,0.93
30011,Blanca,2021-01-31,25,563,0.96
30012,Bullas,2021-01-31,68,707,0.90
30013,Calasparra,2021-01-31,105,942,0.89
30014,Campos del Río,2021-01-31,11,232,0.95
30015,Caravaca de la Cruz,2021-01-31,354,2083,0.83
30016,Cartagena,2021-01-31,1523,22310,0.93
30017,Cehegín,2021-01-31,241,1399,0.83
30018,Ceutí,2021-01-31,31,904,0.97
30019,Cieza,2021-01-31,53,1450,0.96
30020,Fortuna,2021-01-31,128,977,0.87
30021,Fuente Álamo de Murcia,2021-01-31,518,2127,0.76
30022,Jumilla,2021-01-31,142,2292,0.94
30023,Librilla,2021-01-31,58,902,0.94
30024,Lorca,2021-01-31,831,12496,0.93
30025,Lorquí,2021-01-31,99,827,0.88
30026,Mazarrón,2021-01-31,643,3433,0.81
30027,Molina de Segura,2021-01-31,600,3231,0.81
30028,Moratalla,2021-01-31,255,2085,0.88
30029,Mula,2021-01-31,104,1459,0.93
30030,Murcia,2021-01-31,3895,25368,0.85
30031,Ojós,2021-01-31,5,131,0.96
30032,Pliego,2021-01-31,24,431,0.94
30033,Puerto Lumbreras,2021-01-31,74,1350,0.95
30034,Ricote,2021-01-31,13,294,0.96
30035,San Javier,2021-01-31,288,3943,0.93
30036,San Pedro del Pinatar,2021-01-31,119,1385,0.91
30037,Torre Pacheco,2021-01-31,320,6370,0.95
30038,Las Torres de Cotillas,2021-01-31,148,1482,0.90
30039,Totana,2021-01-31,215,2075,0.90
30040,Ulea,2021-01-31,14,250,0.94
30041,La Unión,2021-01-31,183,1408,0.87
30042,Villanueva del Río Segura,2021-01-31,30,228,0.87
30043,Yecla,2021-01-31,259,2553,0.90
30901,Santomera,2021-01-31,78,972,0.92
30902,Los Alcázares,2021-01-31,13,1467,0.99
