id,name,date,incomplete,total,percentage
31001,Abáigar,2021-01-31,4,49,0.92
31002,Abárzuza/Abartzuza,2021-01-31,7,174,0.96
31003,Abaurregaina / Abaurrea Alta,2021-01-31,0,130,1.00
31004,Abaurrepea / Abaurrea Baja,2021-01-31,0,95,1.00
31005,Aberin,2021-01-31,1,114,0.99
31006,Ablitas,2021-01-31,2,288,0.99
31007,Adiós,2021-01-31,0,35,1.00
31008,Aguilar de Codés,2021-01-31,1,63,0.98
31009,Aibar/Oibar,2021-01-31,0,219,1.00
31010,Altsasu/Alsasua,2021-01-31,0,692,1.00
31011,Allín / Allin,2021-01-31,7,577,0.99
31012,Allo,2021-01-31,0,154,1.00
31013,Améscoa Baja,2021-01-31,4,385,0.99
31014,Ancín/Antzin,2021-01-31,2,99,0.98
31015,Andosilla,2021-01-31,11,243,0.95
31016,Ansoáin/Antsoain,2021-01-31,0,209,1.00
31017,Anue,2021-01-31,0,452,1.00
31018,Añorbe,2021-01-31,0,163,1.00
31019,Aoiz/Agoitz,2021-01-31,2,190,0.99
31020,Araitz,2021-01-31,1,622,1.00
31021,Aranarache/Aranaratxe,2021-01-31,0,34,1.00
31022,Arantza,2021-01-31,0,723,1.00
31023,Aranguren,2021-01-31,0,1392,1.00
31024,Arano,2021-01-31,0,299,1.00
31025,Arakil,2021-01-31,0,749,1.00
31026,Aras,2021-01-31,0,91,1.00
31027,Arbizu,2021-01-31,0,244,1.00
31028,Arce/Artzi,2021-01-31,0,624,1.00
31029,Los Arcos,2021-01-31,3,330,0.99
31030,Arellano,2021-01-31,1,68,0.99
31031,Areso,2021-01-31,0,314,1.00
31032,Arguedas,2021-01-31,15,551,0.97
31033,Aria,2021-01-31,0,56,1.00
31034,Aribe,2021-01-31,0,52,1.00
31035,Armañanzas,2021-01-31,1,67,0.99
31036,Arróniz,2021-01-31,1,243,1.00
31037,Arruazu,2021-01-31,0,86,1.00
31038,Artajona,2021-01-31,2,280,0.99
31039,Artazu,2021-01-31,0,37,1.00
31040,Atetz / Atez,2021-01-31,0,153,1.00
31041,Ayegui,2021-01-31,7,368,0.98
31042,Azagra,2021-01-31,4,217,0.98
31043,Azuelo,2021-01-31,0,60,1.00
31044,Bakaiku,2021-01-31,0,117,1.00
31045,Barásoain,2021-01-31,0,91,1.00
