id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
34001,ES-P,ES-CL,Abarca de Campos,2021-01-01,0,7,1.00,0.00,977.11,1.00
34003,ES-P,ES-CL,Abia de las Torres,2021-01-01,0,22,1.00,0.00,3396.50,1.00
34004,ES-P,ES-CL,Aguilar de Campoo,2021-01-01,235,419,0.44,30564.56,50648.24,0.40
34005,ES-P,ES-CL,Alar del Rey,2021-01-01,49,96,0.49,5843.12,12903.66,0.55
34006,ES-P,ES-CL,Alba de Cerrato,2021-01-01,8,9,0.11,2526.25,2557.75,0.01
34009,ES-P,ES-CL,Amayuelas de Arriba,2021-01-01,0,9,1.00,0.00,1122.57,1.00
34010,ES-P,ES-CL,Ampudia,2021-01-01,1,56,0.98,233.09,9146.00,0.97
34011,ES-P,ES-CL,Amusco,2021-01-01,1,63,0.98,38.04,10405.28,1.00
34012,ES-P,ES-CL,Antigüedad,2021-01-01,59,76,0.22,4199.20,5915.56,0.29
34015,ES-P,ES-CL,Arconada,2021-01-01,0,16,1.00,0.00,1986.45,1.00
34017,ES-P,ES-CL,Astudillo,2021-01-01,42,97,0.57,4049.15,10723.79,0.62
34018,ES-P,ES-CL,Autilla del Pino,2021-01-01,0,22,1.00,0.00,3791.76,1.00
34019,ES-P,ES-CL,Autillo de Campos,2021-01-01,0,29,1.00,0.00,3758.21,1.00
34020,ES-P,ES-CL,Ayuela,2021-01-01,11,11,0.00,1409.85,1409.85,0.00
34022,ES-P,ES-CL,Baltanás,2021-01-01,96,139,0.31,12980.24,17153.91,0.24
34023,ES-P,ES-CL,Venta de Baños,2021-01-01,68,188,0.64,14740.51,36474.07,0.60
34024,ES-P,ES-CL,Baquerín de Campos,2021-01-01,0,9,1.00,0.00,1732.62,1.00
34025,ES-P,ES-CL,Bárcena de Campos,2021-01-01,13,13,0.00,1555.07,1555.07,0.00
34027,ES-P,ES-CL,Barruelo de Santullán,2021-01-01,108,205,0.47,12274.30,26627.50,0.54
34028,ES-P,ES-CL,Báscones de Ojeda,2021-01-01,15,18,0.17,3034.26,3962.76,0.23
34029,ES-P,ES-CL,Becerril de Campos,2021-01-01,0,87,1.00,0.00,12505.18,1.00
34031,ES-P,ES-CL,Belmonte de Campos,2021-01-01,7,16,0.56,505.84,1950.43,0.74
34032,ES-P,ES-CL,Berzosilla,2021-01-01,25,25,0.00,2720.14,2720.14,0.00
34033,ES-P,ES-CL,Boada de Campos,2021-01-01,0,8,1.00,0.00,1415.42,1.00
34034,ES-P,ES-CL,Boadilla del Camino,2021-01-01,2,33,0.94,83.90,3339.56,0.97
34035,ES-P,ES-CL,Boadilla de Rioseco,2021-01-01,0,21,1.00,0.00,3067.67,1.00
34036,ES-P,ES-CL,Brañosera,2021-01-01,78,79,0.01,8675.67,8849.75,0.02
34037,ES-P,ES-CL,Buenavista de Valdavia,2021-01-01,44,54,0.19,6366.47,8048.79,0.21
34038,ES-P,ES-CL,Bustillo de la Vega,2021-01-01,28,31,0.10,3987.37,4791.73,0.17
34039,ES-P,ES-CL,Bustillo del Páramo de Carrión,2021-01-01,0,16,1.00,0.00,2038.53,1.00
34041,ES-P,ES-CL,Calahorra de Boedo,2021-01-01,16,16,0.00,2441.64,2441.64,0.00
34042,ES-P,ES-CL,Calzada de los Molinos,2021-01-01,0,33,1.00,0.00,5829.66,1.00
34045,ES-P,ES-CL,Capillas,2021-01-01,0,11,1.00,0.00,1544.11,1.00
