id,name,date,incomplete,total,percentage
01001,Alegría-Dulantzi,2021-01-31,5,404,0.99
01002,Amurrio,2021-01-31,5,1232,1.00
01003,Aramaio,2021-01-31,3,1007,1.00
01004,Artziniega,2021-01-31,72,248,0.71
01006,Armiñón,2021-01-31,0,264,1.00
01008,Arratzua-Ubarrundia,2021-01-31,0,1043,1.00
01009,Asparrena,2021-01-31,3,1051,1.00
01010,Ayala/Aiara,2021-01-31,58,1366,0.96
01011,Baños de Ebro/Mañueta,2021-01-31,0,78,1.00
01013,Barrundia,2021-01-31,0,1180,1.00
01014,Berantevilla,2021-01-31,0,455,1.00
01016,Bernedo,2021-01-31,0,1052,1.00
01017,Campezo/Kanpezu,2021-01-31,0,717,1.00
01018,Zigoitia,2021-01-31,1,1520,1.00
01019,Kripan,2021-01-31,0,116,1.00
01020,Kuartango,2021-01-31,3,561,0.99
01021,Elburgo/Burgelu,2021-01-31,2,403,1.00
01022,Elciego,2021-01-31,3,212,0.99
01023,Elvillar/Bilar,2021-01-31,0,104,1.00
01027,Iruraiz-Gauna,2021-01-31,0,498,1.00
01028,Labastida/Bastida,2021-01-31,3,483,0.99
01030,Lagrán,2021-01-31,0,354,1.00
01031,Laguardia,2021-01-31,0,676,1.00
01032,Lanciego/Lantziego,2021-01-31,0,178,1.00
01033,Lapuebla de Labarca,2021-01-31,4,101,0.96
01034,Leza,2021-01-31,0,96,1.00
01036,Laudio/Llodio,2021-01-31,41,1251,0.97
01037,Arraia-Maeztu,2021-01-31,2,1089,1.00
01039,Moreda de Álava,2021-01-31,0,60,1.00
01041,Navaridas,2021-01-31,0,93,1.00
01043,Oyón/Oion,2021-01-31,5,339,0.99
01044,Peñacerrada-Urizaharra,2021-01-31,2,553,1.00
01046,Erriberagoitia/Ribera Alta,2021-01-31,0,1190,1.00
01047,Ribera Baja/Erribera Beitia,2021-01-31,0,584,1.00
01049,Añana,2021-01-31,0,168,1.00
01051,Agurain/Salvatierra,2021-01-31,0,601,1.00
01052,Samaniego,2021-01-31,1,75,0.99
01053,San Millán/Donemiliaga,2021-01-31,3,1002,1.00
01054,Urkabustaiz,2021-01-31,7,720,0.99
01055,Valdegovía/Gaubea,2021-01-31,1,1356,1.00
