id,name,date,incomplete,total,percentage
26001,Ábalos,2021-01-31,32,114,0.72
26002,Agoncillo,2021-01-31,29,344,0.92
26003,Aguilar del Río Alhama,2021-01-31,81,159,0.49
26004,Ajamil,2021-01-31,11,91,0.88
26005,Albelda de Iregua,2021-01-31,42,342,0.88
26006,Alberite,2021-01-31,25,178,0.86
26007,Alcanadre,2021-01-31,71,221,0.68
26008,Aldeanueva de Ebro,2021-01-31,16,277,0.94
26009,Alesanco,2021-01-31,9,168,0.95
26010,Alesón,2021-01-31,13,61,0.79
26011,Alfaro,2021-01-31,86,785,0.89
26012,Almarza de Cameros,2021-01-31,15,57,0.74
26013,Anguciana,2021-01-31,17,71,0.76
26014,Anguiano,2021-01-31,20,155,0.87
26015,Arenzana de Abajo,2021-01-31,24,75,0.68
26016,Arenzana de Arriba,2021-01-31,9,29,0.69
26017,Arnedillo,2021-01-31,46,188,0.76
26018,Arnedo,2021-01-31,118,962,0.88
26019,Arrúbal,2021-01-31,44,155,0.72
26020,Ausejo,2021-01-31,70,205,0.66
26021,Autol,2021-01-31,79,388,0.80
26022,Azofra,2021-01-31,20,112,0.82
26023,Badarán,2021-01-31,36,46,0.22
26024,Bañares,2021-01-31,60,142,0.58
26025,Baños de Rioja,2021-01-31,16,31,0.48
26026,Baños de Río Tobía,2021-01-31,15,64,0.77
26027,Berceo,2021-01-31,20,25,0.20
26028,Bergasa,2021-01-31,16,52,0.69
26029,Bergasillas Bajera,2021-01-31,3,34,0.91
26030,Bezares,2021-01-31,10,19,0.47
26031,Bobadilla,2021-01-31,5,6,0.17
26032,Brieva de Cameros,2021-01-31,3,73,0.96
26033,Briñas,2021-01-31,18,86,0.79
26034,Briones,2021-01-31,45,166,0.73
26035,Cabezón de Cameros,2021-01-31,6,22,0.73
26036,Calahorra,2021-01-31,89,921,0.90
26037,Camprovín,2021-01-31,8,16,0.50
26038,Canales de la Sierra,2021-01-31,2,70,0.97
26039,Canillas de Río Tuerto,2021-01-31,13,16,0.19
26040,Cañas,2021-01-31,15,17,0.12
26041,Cárdenas,2021-01-31,15,15,0.00
26042,Casalarreina,2021-01-31,58,171,0.66
26043,Castañares de Rioja,2021-01-31,2,91,0.98
26044,Castroviejo,2021-01-31,10,40,0.75
26045,Cellorigo,2021-01-31,1,22,0.95
26046,Cenicero,2021-01-31,34,253,0.87
26047,Cervera del Río Alhama,2021-01-31,121,416,0.71
26048,Cidamón,2021-01-31,1,8,0.88
26049,Cihuri,2021-01-31,13,107,0.88
26050,Cirueña,2021-01-31,33,295,0.89
26051,Clavijo,2021-01-31,35,140,0.75
26052,Cordovín,2021-01-31,24,28,0.14
26053,Corera,2021-01-31,20,39,0.49
26054,Cornago,2021-01-31,71,276,0.74
26055,Corporales,2021-01-31,0,26,1.00
26056,Cuzcurrita de Río Tirón,2021-01-31,43,131,0.67
26057,Daroca de Rioja,2021-01-31,10,32,0.69
26058,Enciso,2021-01-31,7,200,0.97
26059,Entrena,2021-01-31,41,296,0.86
26060,Estollo,2021-01-31,22,30,0.27
26061,Ezcaray,2021-01-31,9,556,0.98
26062,Foncea,2021-01-31,13,51,0.75
26063,Fonzaleche,2021-01-31,24,129,0.81
26064,Fuenmayor,2021-01-31,78,301,0.74
26065,Galbárruli,2021-01-31,24,89,0.73
26066,Galilea,2021-01-31,27,45,0.40
26067,Gallinero de Cameros,2021-01-31,0,20,1.00
26068,Gimileo,2021-01-31,15,43,0.65
26069,Grañón,2021-01-31,3,148,0.98
26070,Grávalos,2021-01-31,15,76,0.80
26071,Haro,2021-01-31,101,874,0.88
26072,Herce,2021-01-31,8,148,0.95
26073,Herramélluri,2021-01-31,9,30,0.70
26074,Hervías,2021-01-31,22,81,0.73
26075,Hormilla,2021-01-31,43,129,0.67
26076,Hormilleja,2021-01-31,31,105,0.70
